,average_age,chances_pp,games,goals,goals_against_ev,goals_ev,goals_pp,goals_sh,losses,losses_ot,losses_shootout,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,pen_min_per_game,pen_min_per_game_opp,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team_name,total_goals_per_game,wins,wins_shootout
0,32.1,461,82,305,128,192,102,7,16,8,3,461,209,67,10,,85.47,13.5,13.1,124,0.7559999999999999,22.13,0.9059999999999999,10.8,2796,2180,-0.14,1.03,Detroit Red Wings*,6.27,58,4
1,27.3,490,82,314,121,185,102,25,21,9,6,476,211,73,11,,84.66,17.6,17.7,113,0.6890000000000001,20.82,0.9129999999999999,11.1,2811,2344,-0.08,1.18,Ottawa Senators*,6.4,52,2
2,29.2,531,82,294,163,174,95,17,22,8,2,445,260,81,13,,81.8,13.5,16.2,112,0.6829999999999999,17.89,0.897,11.2,2553,2497,-0.13,0.29,Carolina Hurricanes*,6.76,52,8
3,29.7,498,82,265,128,155,88,10,23,6,1,504,218,82,7,,83.73,18.1,17.0,112,0.6829999999999999,17.67,0.897,10.8,2333,2099,0.04,0.61,Dallas Stars*,5.89,53,12
4,26.9,477,82,281,158,165,101,10,24,6,5,439,239,59,17,,86.56,14.0,15.2,110,0.6709999999999999,21.17,0.9059999999999999,11.0,2510,2502,-0.01,0.5,Buffalo Sabres*,6.34,52,5
5,27.6,512,82,259,129,146,94,12,25,8,3,533,227,82,13,,84.62,18.5,18.0,106,0.6459999999999999,18.36,0.9159999999999999,10.6,2379,2661,-0.07,0.32,Nashville Predators*,5.93,49,6
6,28.0,478,82,218,107,121,87,8,25,11,7,508,200,80,7,,84.25,17.9,16.5,103,0.628,18.2,0.915,9.4,2299,2260,0.08,0.3,Calgary Flames*,5.1,46,2
7,28.2,444,82,267,150,164,80,19,26,11,6,465,259,97,6,,79.14,14.5,14.0,101,0.616,18.02,0.893,10.3,2552,2370,-0.1,0.0,Philadelphia Flyers*,6.41,45,4
8,30.0,441,82,242,156,152,78,3,27,9,4,349,229,63,6,,81.95,11.5,14.2,101,0.616,17.69,0.9059999999999999,9.7,2393,2403,-0.11,0.05,New Jersey Devils*,5.74,46,9
9,28.2,442,82,257,123,163,83,4,26,12,4,486,215,79,9,,83.74,14.4,13.7,100,0.61,18.78,0.9109999999999999,10.2,2448,2358,-0.14,0.38,New York Rangers*,5.76,44,7
10,26.5,500,82,266,147,164,91,10,27,11,7,399,242,77,11,,80.7,12.7,14.9,99,0.604,18.2,0.892,10.7,2483,2180,0.06,0.36,San Jose Sharks*,6.2,44,1
11,28.2,480,82,254,125,155,87,9,27,12,7,510,229,84,13,,83.53,17.6,17.0,98,0.598,18.13,0.909,9.7,2585,2431,0.06,0.37,Mighty Ducks of Anaheim*,5.89,43,3
12,29.6,473,82,283,170,180,89,11,30,9,6,448,257,69,12,,84.6,14.0,15.4,95,0.579,18.82,0.8959999999999999,11.4,2464,2415,0.07,0.39,Colorado Avalanche*,6.59,43,3
13,28.7,485,82,256,161,146,88,15,28,13,9,478,251,76,5,,84.1,14.4,15.5,95,0.579,18.14,0.884,10.2,2442,2094,0.09,0.15,Edmonton Oilers*,6.18,41,7
14,27.9,463,82,243,147,142,89,10,31,9,3,481,247,91,6,,81.08,16.0,15.0,93,0.5670000000000001,19.22,0.903,9.8,2470,2507,0.04,-0.01,Montreal Canadiens*,5.98,42,2
15,27.9,526,82,256,148,150,96,6,32,8,4,512,255,93,10,,81.84,17.9,17.9,92,0.561,18.25,0.898,10.7,2358,2466,0.1,0.11,Vancouver Canucks,6.23,42,4
16,29.3,485,82,252,173,154,81,11,33,6,4,391,260,72,11,,81.59,11.5,13.7,92,0.561,16.7,0.887,9.5,2594,2260,-0.08,-0.18,Tampa Bay Lightning*,6.24,43,6
17,29.4,501,82,257,152,133,107,14,33,8,7,496,270,99,12,,80.04,16.8,16.9,90,0.5489999999999999,21.36,0.895,10.9,2323,2509,0.05,-0.11,Toronto Maple Leafs,6.43,41,3
18,28.9,527,82,281,158,163,100,13,33,8,5,492,275,102,10,,79.27,16.1,17.4,90,0.5489999999999999,18.98,0.8909999999999999,10.9,2522,2483,-0.1,-0.03,Atlanta Thrashers,6.78,41,5
19,28.6,541,82,249,153,151,77,15,35,5,1,489,270,104,12,,78.73,17.6,20.4,89,0.5429999999999999,14.23,0.8909999999999999,10.2,2394,2459,0.11,-0.15,Los Angeles Kings,6.33,42,6
20,27.6,411,82,240,149,168,63,5,34,11,5,514,257,91,12,,82.3,15.3,13.0,85,0.518,15.33,0.912,8.7,2724,2853,-0.07,-0.28,Florida Panthers,6.06,37,4
21,27.7,454,82,231,150,138,77,11,36,8,3,436,215,55,7,,87.39,14.5,15.4,84,0.512,16.96,0.914,10.3,2194,2460,0.08,0.28,Minnesota Wild,5.44,38,5
22,28.4,541,82,246,159,137,96,9,39,5,3,513,271,98,11,,80.9,18.2,18.0,81,0.494,17.74,0.892,10.4,2318,2479,0.12,-0.19,Phoenix Coyotes,6.3,38,4
23,27.7,450,82,230,161,140,76,5,40,6,3,476,278,99,15,,79.2,15.2,14.0,78,0.47600000000000003,16.89,0.892,8.9,2481,2549,-0.04,-0.62,New York Islanders,6.2,36,9
24,27.4,451,82,223,173,141,64,10,43,4,3,523,279,95,8,,81.84,17.0,15.4,74,0.451,14.19,0.9,9.6,2250,2762,0.02,-0.66,Columbus Blue Jackets,6.12,35,8
25,28.0,418,82,230,170,157,62,9,37,16,8,479,266,78,10,,83.72,14.2,12.8,74,0.451,14.83,0.902,9.1,2511,2633,0.08,-0.36,Boston Bruins,6.05,29,2
26,27.6,490,82,237,166,143,72,15,41,12,6,550,306,116,18,,78.91,18.0,16.3,70,0.42700000000000005,14.69,0.8959999999999999,9.4,2445,2880,-0.02,-0.86,Washington Capitals,6.62,29,7
27,26.8,417,82,211,179,152,51,6,43,13,6,547,285,88,12,,83.91,18.5,15.2,65,0.396,12.23,0.885,8.4,2480,2417,0.04,-0.86,Chicago Blackhawks,6.05,26,2
28,26.8,495,82,244,181,136,94,13,46,14,6,533,316,113,16,,78.8,18.8,16.7,58,0.354,18.99,0.8859999999999999,10.6,2297,2723,-0.01,-0.89,Pittsburgh Penguins,6.83,22,1
29,29.0,512,82,197,194,112,75,6,46,15,8,461,292,82,8,,82.21,16.5,17.5,57,0.348,14.65,0.887,8.3,2335,2510,0.07,-1.09,St. Louis Blues,5.96,21,4
