,average_age,chances_pp,games,goals,goals_against_ev,goals_ev,goals_pp,goals_sh,losses,losses_ot,losses_shootout,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,pen_min_per_game,pen_min_per_game_opp,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team_name,total_goals_per_game,wins,wins_shootout
0,28.7,360,82,257,137,152,87,12,18,11,5,304,204,51,11,99.3,83.22,12.8,14.1,117,0.713,24.17,0.9109999999999999,9.2,2720,2228,-0.04,0.61,San Jose Sharks*,5.62,53,6
1,28.4,313,82,274,129,188,74,8,19,10,6,306,196,54,7,102.5,82.35,12.5,12.8,116,0.7070000000000001,23.64,0.925,10.9,2482,2524,-0.06,0.89,Boston Bruins*,5.73,53,4
2,31.2,353,82,295,165,193,90,6,21,10,4,327,244,71,4,99.6,78.29,10.0,10.9,112,0.6829999999999999,25.5,0.894,9.7,2965,2274,0.0,0.62,Detroit Red Wings*,6.57,51,6
3,27.2,337,82,272,154,176,85,7,24,8,5,387,245,75,11,99.5,80.62,12.7,11.4,108,0.659,25.22,0.9009999999999999,9.8,2747,2418,-0.06,0.27,Washington Capitals*,6.3,50,4
4,30.3,307,82,244,138,168,58,12,27,4,2,324,209,65,4,100.8,79.94,12.9,13.1,106,0.6459999999999999,18.89,0.914,8.8,2698,2415,-0.05,0.38,New Jersey Devils*,5.52,51,6
5,25.9,363,82,264,139,180,70,10,24,12,7,330,216,64,6,99.8,80.61,14.1,15.2,104,0.634,19.28,0.9109999999999999,9.7,2683,2344,0.01,0.6,Chicago Blackhawks*,5.85,46,4
6,27.9,357,82,246,139,169,67,7,27,10,7,371,220,69,5,101.8,81.4,16.5,16.3,100,0.61,18.77,0.9109999999999999,10.4,2335,2392,-0.02,0.3,Vancouver Canucks*,5.68,45,3
7,26.6,360,82,264,160,189,62,7,28,9,6,347,239,60,13,101.6,82.71,13.6,14.2,99,0.604,17.22,0.9059999999999999,10.8,2381,2484,-0.02,0.28,Pittsburgh Penguins*,6.13,45,6
8,27.0,316,82,264,164,173,71,16,27,11,6,393,238,67,1,100.3,82.95,17.5,14.8,99,0.604,22.47,0.9129999999999999,10.7,2441,2668,-0.04,0.28,Philadelphia Flyers*,6.12,44,4
9,28.9,358,82,254,173,184,61,6,30,6,2,349,248,58,15,99.4,83.38,15.8,15.6,98,0.598,17.04,0.899,9.5,2643,2441,0.0,0.07,Calgary Flames*,6.12,46,3
10,27.9,374,82,239,153,158,70,8,30,7,5,301,226,59,9,99.3,80.4,9.8,12.5,97,0.591,18.72,0.909,8.8,2675,2419,-0.05,0.11,Carolina Hurricanes*,5.67,45,3
