,average_age,chances_pp,games,goals,goals_pp,goals_sh,losses,losses_ot,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team,total_goals_per_game,wins
0,29.7,361,82,197,60,8,27,8,408,184,69,7,100.8,83.09,102,0.622,16.62,0.922,8.8,2241,2294,0.13,0.3,Anaheim Ducks,4.83,47
1,29.3,316,82,207,52,13,40,8,354,266,75,10,100.3,78.81,76,0.46299999999999997,16.46,0.9059999999999999,9.8,2115,2776,-0.12,-0.8,Atlanta Thrashers,5.95,34
2,26.5,339,82,209,63,11,37,7,332,225,64,12,99.6,80.72,83,0.506,18.58,0.914,8.4,2500,2510,0.17,-0.04,Phoenix Coyotes,5.43,38
3,28.1,319,82,206,56,9,29,12,332,215,71,6,100.4,78.61,94,0.573,17.55,0.9159999999999999,8.8,2339,2492,-0.08,-0.2,Boston Bruins,5.29,41
4,26.8,366,82,251,66,9,31,12,333,233,56,8,100.2,83.18,90,0.5489999999999999,18.03,0.903,10.1,2478,2318,-0.11,0.05,Buffalo Sabres,6.06,39
5,29.5,352,82,226,59,9,30,10,389,224,72,8,100.3,81.49,94,0.573,16.76,0.9059999999999999,9.8,2316,2330,0.1,0.13,Calgary Flames,5.56,42
6,29.3,420,82,250,79,4,33,6,355,246,75,13,99.3,78.87,92,0.561,18.81,0.898,9.4,2669,2362,-0.18,-0.15,Carolina Hurricanes,6.11,43
7,26.8,365,82,234,58,17,34,8,385,231,69,6,100.4,82.08,88,0.537,15.89,0.905,10.2,2298,2336,0.12,0.16,Chicago Blackhawks,5.78,40
8,28.5,335,82,224,49,2,31,7,301,216,56,5,100.1,81.4,95,0.579,14.63,0.9079999999999999,9.5,2349,2226,0.09,0.24,Colorado Avalanche,5.49,44
9,27.2,356,82,190,53,8,36,12,378,210,63,5,99.0,83.33,80,0.488,14.89,0.91,8.0,2381,2240,0.15,-0.16,Columbus Blue Jackets,5.01,34
10,29.0,354,82,237,64,13,30,7,354,204,51,8,101.1,85.59,97,0.591,18.08,0.9079999999999999,10.8,2187,2128,0.11,0.54,Dallas Stars,5.48,45
11,32.1,391,82,252,81,5,21,7,357,179,57,7,99.9,84.03,115,0.701,20.72,0.909,8.9,2820,1926,0.04,0.93,Detroit Red Wings,5.38,54
12,27.1,344,82,220,57,7,35,6,366,247,56,10,100.6,84.7,88,0.537,16.57,0.9079999999999999,10.2,2156,2563,0.12,-0.07,Edmonton Oilers,5.93,41
13,28.1,313,82,211,60,4,35,9,374,220,66,3,100.4,82.35,85,0.518,19.17,0.922,8.3,2549,2748,-0.17,-0.29,Florida Panthers,5.39,38
14,27.7,367,82,226,64,11,43,7,309,263,68,4,99.8,77.99,71,0.433,17.44,0.903,9.6,2349,2615,0.19,-0.24,Los Angeles Kings,6.06,32
15,27.7,338,82,220,64,3,28,10,330,210,49,10,101.3,85.15,98,0.598,18.93,0.9159999999999999,9.9,2218,2467,0.1,0.16,Minnesota Wild,5.38,44
16,27.6,374,82,257,90,8,25,10,342,216,60,3,102.2,82.46,104,0.634,24.06,0.919,10.8,2383,2583,-0.14,0.35,Montreal Canadiens,5.9,47
17,28.1,358,82,227,53,7,32,9,335,224,49,10,100.3,85.37,91,0.555,14.8,0.9109999999999999,9.4,2425,2433,0.12,0.13,Nashville Predators,5.6,41
18,29.2,320,82,198,50,6,29,7,314,193,54,7,99.9,82.8,99,0.604,15.63,0.9179999999999999,8.4,2362,2249,-0.11,0.0,New Jersey Devils,4.91,46
19,28.3,330,82,189,48,10,38,9,375,240,68,15,98.6,81.87,79,0.48200000000000004,14.55,0.907,7.8,2435,2479,-0.05,-0.65,New York Islanders,5.33,35
20,27.4,370,82,205,61,4,27,13,343,190,53,6,99.4,84.55,97,0.591,16.49,0.9129999999999999,7.9,2579,2119,-0.12,0.05,New York Rangers,5.02,42
21,28.5,328,82,258,60,18,31,8,380,242,72,6,100.6,81.05,94,0.573,18.29,0.904,10.4,2471,2448,-0.11,0.06,Ottawa Senators,6.2,43
22,28.1,385,82,245,84,13,29,11,388,227,65,6,101.5,83.25,95,0.579,21.82,0.915,10.4,2359,2604,-0.12,0.06,Philadelphia Flyers,5.87,42
23,26.9,378,82,240,77,6,27,8,357,212,68,10,102.0,80.95,102,0.622,20.37,0.9179999999999999,10.6,2269,2518,-0.14,0.24,Pittsburgh Penguins,5.65,47
24,27.7,374,82,216,70,7,23,10,310,187,44,9,99.5,85.81,108,0.659,18.72,0.9079999999999999,8.9,2428,1975,0.12,0.47,San Jose Sharks,5.06,49
25,28.4,334,82,202,47,3,36,13,359,232,56,13,99.4,84.4,79,0.48200000000000004,14.07,0.9,9.4,2141,2240,0.16,-0.24,St. Louis Blues,5.39,33
26,27.9,296,82,221,57,7,42,9,312,266,56,7,98.3,82.05,71,0.433,19.26,0.89,9.4,2354,2298,-0.13,-0.67,Tampa Bay Lightning,5.98,31
27,28.4,343,82,228,61,4,35,11,352,256,77,10,98.8,78.13,83,0.506,17.78,0.8959999999999999,9.0,2542,2395,-0.06,-0.42,Toronto Maple Leafs,5.99,36
28,28.1,369,82,207,63,8,33,10,368,206,64,7,100.6,82.61,88,0.537,17.07,0.914,9.2,2252,2364,0.11,0.08,Vancouver Canucks,5.22,39
29,27.3,346,82,238,65,5,31,8,349,227,68,8,99.6,80.52,94,0.573,18.79,0.902,9.4,2538,2252,-0.19,-0.06,Washington Capitals,5.77,43
