,Adjusted GAA,Age,GA Pct -,Games Played,Games Started,Goalie Point Shares,Goals Against,Goals Against Average,Goals Saved Above Average,Losses,Minutes,Player,Quality Start Percentage,Quality Starts,Really Bad Starts,Save Percentage,Saves,Shots Against,Shutouts,Team,Ties OT Losses,Wins
0,2.82,25,100,54,53,8.6,123,2.38,-0.43,12,3106,Frederik Andersen,.604,32,9,.914,1313,1436,3,Anaheim Ducks,5,35
1,3.09,21,101,23,21,4.0,58,2.60,-0.47,8,1340,John Gibson,.619,13,4,.914,616,674,1,Anaheim Ducks,0,13
2,3.18,35,,5,2,0.5,9,2.60,,0,207,Jason LaBarbera,1.000,2,0,.909,90,99,0,Anaheim Ducks,1,2
3,4.92,34,,8,6,-0.3,23,4.19,,4,329,Ilya Bryzgalov,.333,2,3,.847,127,150,0,Anaheim Ducks,1,1
4,2.73,27,91,70,67,14.0,156,2.30,15.65,21,4063,Tuukka Rask,.627,42,8,.922,1855,2011,3,Boston Bruins,13,34
5,2.80,25,96,18,14,2.7,35,2.33,1.28,5,900,Niklas Svedberg,.643,9,2,.918,390,425,2,Boston Bruins,1,7
6,7.68,21,,1,1,-0.3,3,5.76,,1,31,Malcolm Subban,.000,0,1,.500,3,6,0,Boston Bruins,0,0
7,3.89,26,114,37,35,5.7,120,3.27,-14.42,21,2204,Jhonas Enroth,.457,16,6,.903,1117,1237,1,Buffalo Sabres,2,13
8,3.58,26,96,27,27,6.1,77,2.99,3.32,17,1544,Michal Neuvirth,.556,15,3,.918,864,941,0,Buffalo Sabres,3,6
9,3.30,26,89,16,15,3.9,41,2.76,5.26,8,891,Anders Lindback,.533,8,1,.924,501,542,0,Buffalo Sabres,2,4
10,4.00,21,,1,1,0.2,3,3.00,,1,60,Andrey Makarov,1.000,1,0,.917,33,36,0,Buffalo Sabres,0,0
11,5.03,24,,5,4,0.4,18,4.32,,4,250,Matt Hackett,.250,1,1,.884,137,155,0,Buffalo Sabres,1,0
12,2.80,32,96,52,44,8.8,113,2.36,4.45,19,2871,Jonas Hiller,.523,23,3,.918,1263,1376,1,Calgary Flames,4,26
13,3.08,28,103,34,32,4.8,75,2.60,-2.28,9,1731,Karri Ramo,.438,14,5,.912,777,852,2,Calgary Flames,3,15
14,3.06,23,,6,6,0.8,14,2.52,,2,333,Joni Ortio,.500,3,2,.908,139,153,1,Calgary Flames,0,4
15,2.86,30,105,51,50,7.4,121,2.40,-5.69,24,3026,Cam Ward,.520,26,7,.910,1230,1351,1,Carolina Hurricanes,5,22
16,3.25,28,117,34,32,3.8,87,2.72,-12.40,17,1920,Anton Khudobin,.500,16,9,.900,787,874,1,Carolina Hurricanes,6,8
17,2.70,30,89,57,57,11.9,126,2.27,15.77,20,3333,Corey Crawford,.667,38,4,.924,1535,1661,2,Chicago Blackhawks,5,32
18,2.31,26,75,14,13,3.6,27,1.95,8.76,4,833,Scott Darling,.769,10,0,.936,392,419,1,Chicago Blackhawks,0,9
19,2.27,25,75,14,12,3.3,25,1.89,8.20,4,792,Antti Raanta,.667,8,1,.936,364,389,2,Chicago Blackhawks,1,7
