,Adjusted GAA,Age,GA Pct -,Games Played,Games Started,Goalie Point Shares,Goals Against,Goals Against Average,Goals Saved Above Average,Losses,Minutes,Player,Quality Start Percentage,Quality Starts,Really Bad Starts,Save Percentage,Saves,Shots Against,Shutouts,Team,Ties OT Losses,Wins
0,2.63,24,85,60,60,13.2,139,2.43,25.30,18,3428,John Gibson,.650,39,4,.926,1733,1872,4,Anaheim Ducks,7,31
1,2.53,37,82,28,21,5.4,53,2.35,11.86,6,1353,Ryan Miller,.619,13,3,.928,686,739,4,Anaheim Ducks,6,12
2,2.64,31,,5,1,0.7,7,2.31,,1,182,Reto Berra,1.000,1,0,.926,88,95,0,Anaheim Ducks,0,1
3,2.53,30,94,54,53,9.3,125,2.36,7.79,14,3173,Tuukka Rask,.566,30,6,.917,1388,1513,3,Boston Bruins,5,34
4,2.76,31,99,31,29,5.0,76,2.56,0.89,6,1781,Anton Khudobin,.552,16,4,.913,800,876,1,Boston Bruins,7,16
5,3.26,26,104,53,50,8.0,143,3.01,-6.08,26,2852,Robin Lehner,.480,24,8,.908,1417,1560,3,Buffalo Sabres,9,14
6,3.86,31,124,36,29,3.1,105,3.55,-20.57,16,1774,Chad Johnson,.414,12,6,.891,857,962,0,Buffalo Sabres,3,10
7,2.25,24,,5,3,1.0,8,2.00,,2,240,Linus Ullmark,.667,2,0,.935,115,123,0,Buffalo Sabres,0,1
8,0.00,25,,1,0,0.2,0,0.00,,1,39,Adam Wilcox,,0,0,1.000,14,14,0,Buffalo Sabres,0,0
9,2.86,35,95,55,55,10.2,141,2.65,6.98,22,3191,Mike Smith,.582,32,9,.916,1545,1686,3,Calgary Flames,6,25
10,3.15,25,109,21,16,2.4,49,2.92,-4.06,6,1008,David Rittich,.625,10,3,.904,463,512,0,Calgary Flames,3,8
11,3.07,24,,11,9,1.1,29,2.88,,5,605,Jon Gillies,.556,5,2,.896,251,280,0,Calgary Flames,1,3
12,5.73,30,,4,2,-0.3,12,5.29,,2,136,Eddie Lack,.000,0,1,.813,52,64,0,Calgary Flames,0,1
13,2.95,33,108,43,42,5.8,112,2.73,-7.82,14,2459,Cam Ward,.500,21,10,.906,1075,1187,2,Carolina Hurricanes,4,23
14,3.44,29,127,43,40,3.5,131,3.18,-28.22,21,2475,Scott Darling,.350,14,7,.888,1040,1171,0,Carolina Hurricanes,7,13
15,2.46,33,81,28,27,6.2,60,2.27,13.90,9,1584,Corey Crawford,.630,17,3,.929,782,842,2,Chicago Blackhawks,2,16
16,3.22,25,105,35,30,4.7,85,2.97,-4.17,16,1715,Anton Forsberg,.467,14,7,.908,836,921,0,Chicago Blackhawks,4,10
17,4.05,26,120,13,10,1.4,42,3.78,-7.07,6,667,Jean-Francois Berube,.300,3,3,.894,356,398,0,Chicago Blackhawks,1,3
18,3.65,32,116,15,13,1.8,46,3.36,-6.33,7,821,Jeff Glass,.385,5,2,.898,406,452,0,Chicago Blackhawks,3,3
19,4.53,23,,2,2,0.2,7,3.96,,1,106,Collin Delia,.500,1,0,.889,56,63,0,Chicago Blackhawks,0,1
20,0.00,36,,1,0,0.1,0,0.00,,0,14,Scott Foster,,0,0,1.000,7,7,0,Chicago Blackhawks,0,0
21,2.89,29,91,51,47,10.2,128,2.68,11.99,16,2861,Semyon Varlamov,.596,28,5,.920,1467,1595,2,Colorado Avalanche,6,24
22,3.09,29,99,37,34,6.2,95,2.85,0.84,13,2001,Jonathan Bernier,.529,18,5,.913,997,1092,2,Colorado Avalanche,3,19
23,2.06,29,,1,1,0.3,2,2.06,,1,58,Andrew Hammond,1.000,1,0,.939,31,33,0,Colorado Avalanche,0,0
24,2.61,29,90,65,65,12.9,158,2.42,16.92,22,3912,Sergei Bobrovsky,.585,38,10,.921,1835,1993,5,Columbus Blue Jackets,6,37
25,3.60,23,117,18,17,2.2,58,3.32,-8.50,8,1049,Joonas Korpisalo,.412,7,3,.897,506,564,0,Columbus Blue Jackets,1,8
26,2.68,31,95,53,51,8.7,120,2.49,6.12,17,2887,Ben Bishop,.529,27,8,.916,1317,1437,5,Dallas Stars,5,26
27,2.75,34,100,37,30,5.3,83,2.56,0.03,14,1944,Kari Lehtonen,.633,19,7,.912,863,946,1,Dallas Stars,3,15
28,2.96,34,,2,1,0.2,5,2.96,,1,101,Mike McKenna,.000,0,1,.900,45,50,0,Dallas Stars,0,1
29,3.08,33,103,60,57,9.4,160,2.85,-4.65,27,3368,Jimmy Howard,.491,28,6,.910,1610,1770,1,Detroit Red Wings,9,22
30,3.14,25,103,22,18,3.3,57,2.89,-1.71,7,1184,Petr Mrazek,.389,7,4,.910,573,630,3,Detroit Red Wings,3,8
31,4.57,26,,7,7,0.1,27,4.26,,5,380,Jared Coreau,.143,1,2,.867,176,203,0,Detroit Red Wings,1,0
32,3.27,30,105,67,67,10.3,188,3.02,-9.30,31,3730,Cam Talbot,.478,32,11,.908,1848,2036,1,Edmonton Oilers,3,31
33,3.49,24,133,14,10,0.8,40,3.24,-9.90,7,740,Laurent Brossoit,.500,5,2,.883,303,343,0,Edmonton Oilers,1,3
34,3.20,32,,9,5,1.2,23,2.94,,2,469,Al Montoya,.200,1,1,.906,221,244,0,Edmonton Oilers,2,2
35,3.23,29,100,44,42,7.7,120,2.99,0.51,14,2411,James Reimer,.524,22,8,.913,1253,1373,4,Florida Panthers,6,22
36,2.66,38,81,35,33,8.5,81,2.47,19.32,11,1966,Roberto Luongo,.667,22,3,.929,1062,1143,3,Florida Panthers,2,18
37,3.17,28,,9,7,1.5,24,2.92,,4,493,Harri Sateri,.714,5,0,.911,247,271,0,Florida Panthers,0,4
38,5.11,34,,2,0,0.0,5,5.11,,1,59,Antti Niemi,,0,0,.872,34,39,0,Florida Panthers,0,0
