,average_age,chances_pp,games,goals,goals_against_ev,goals_ev,goals_pp,goals_sh,losses,losses_ot,losses_shootout,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,pen_min_per_game,pen_min_per_game_opp,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team_name,total_goals_per_game,wins,wins_shootout
0,27.2,313,82,318,152,230,79,4,15,13,6,316,233,67,8,102.7,78.8,11.6,11.2,121,0.738,25.24,0.91,11.6,2693,2535,-0.14,0.9,Washington Capitals*,6.72,54,5
1,29.3,309,82,264,135,184,65,8,20,11,6,324,215,49,9,101.3,84.88,14.1,11.5,113,0.6890000000000001,21.04,0.919,9.9,2602,2272,0.05,0.65,San Jose Sharks*,5.84,51,7
2,26.6,294,82,271,153,197,52,13,22,8,6,266,209,40,4,99.0,84.96,11.3,11.2,112,0.6829999999999999,17.69,0.902,9.4,2798,1982,0.02,0.77,Chicago Blackhawks*,5.85,52,9
3,28.2,314,82,225,141,162,46,3,25,7,6,317,202,49,6,100.1,84.54,11.3,10.8,107,0.652,14.65,0.919,8.4,2502,2427,0.06,0.34,Phoenix Coyotes*,5.21,50,14
4,30.5,272,82,222,131,158,51,7,27,7,5,240,191,41,5,100.2,82.92,10.5,10.3,103,0.628,18.75,0.914,8.8,2459,1997,-0.07,0.31,New Jersey Devils*,5.04,48,6
5,28.1,323,82,272,149,191,68,8,28,5,4,320,222,59,6,101.5,81.56,15.5,14.1,103,0.628,21.05,0.909,10.6,2534,2306,-0.01,0.6,Vancouver Canucks*,6.02,49,4
6,30.3,307,82,229,162,156,59,8,24,14,9,267,216,43,1,98.9,83.9,8.8,9.6,102,0.622,19.22,0.914,8.1,2737,2386,0.07,0.23,Detroit Red Wings*,5.43,44,6
7,26.2,307,82,241,131,163,64,4,27,9,8,304,219,60,6,99.9,80.26,11.9,11.5,101,0.616,20.85,0.907,9.7,2389,2000,0.05,0.32,Los Angeles Kings*,5.61,46,10
8,27.8,326,82,257,175,186,56,7,28,7,2,327,237,52,8,99.6,84.1,14.6,14.7,101,0.616,17.18,0.9,9.3,2688,2350,-0.07,0.17,Pittsburgh Penguins*,6.02,47,8
9,27.6,286,82,225,153,165,47,5,29,6,4,258,225,59,5,100.0,77.13,8.7,9.6,100,0.61,16.43,0.909,8.7,2508,2364,0.06,0.06,Nashville Predators*,5.49,47,8
10,27.8,313,82,235,149,172,55,4,27,10,6,284,207,38,3,100.2,86.62,11.2,10.1,100,0.61,17.57,0.9229999999999999,8.9,2588,2351,-0.08,0.26,Buffalo Sabres*,5.39,45,4
11,26.4,310,82,244,154,173,56,8,30,9,5,303,233,60,9,101.3,80.2,12.5,13.3,95,0.579,18.06,0.9129999999999999,10.4,2287,2553,0.02,0.16,Colorado Avalanche*,5.82,43,7
12,27.9,290,82,225,174,165,49,5,32,6,5,318,238,50,4,98.0,84.28,13.9,13.1,94,0.573,16.9,0.9009999999999999,9.0,2436,2302,-0.06,-0.22,Ottawa Senators*,5.65,44,5
13,28.1,265,82,206,150,146,44,6,30,13,9,272,200,37,3,99.4,86.4,11.6,11.6,91,0.555,16.6,0.922,7.5,2599,2444,-0.06,0.01,Boston Bruins*,4.95,39,10
14,28.8,268,82,204,141,150,43,7,32,10,7,305,210,54,1,99.8,82.3,13.9,12.4,90,0.5489999999999999,16.04,0.9159999999999999,8.6,2350,2251,0.04,-0.03,Calgary Flames,5.05,40,3
15,27.9,308,82,225,167,159,53,6,32,10,5,342,223,45,6,100.0,86.84,16.1,15.6,90,0.5489999999999999,17.21,0.9109999999999999,8.9,2445,2439,0.06,0.08,St. Louis Blues,5.46,40,7
16,27.9,300,82,238,166,162,63,8,32,11,8,323,251,67,9,100.8,79.26,16.1,15.8,89,0.5429999999999999,21.0,0.9109999999999999,9.4,2472,2736,0.09,-0.07,Anaheim Ducks,5.96,39,5
17,28.3,328,82,237,167,160,61,8,31,14,10,288,254,65,8,100.0,77.43,11.7,12.5,88,0.537,18.6,0.904,9.1,2523,2490,0.09,-0.12,Dallas Stars,5.99,37,7
18,27.7,318,82,236,157,158,68,5,35,6,3,334,225,57,7,99.5,82.93,16.6,15.2,88,0.537,21.38,0.905,9.0,2589,2320,-0.06,0.08,Philadelphia Flyers*,5.62,41,4
19,27.5,261,82,217,141,149,57,3,33,10,5,311,223,53,8,100.4,82.96,11.4,10.1,88,0.537,21.84,0.9209999999999999,9.0,2345,2447,-0.07,-0.14,Montreal Canadiens*,5.37,39,7
20,26.8,301,82,222,158,159,55,5,33,11,4,318,218,50,6,100.3,84.28,14.1,13.2,87,0.53,18.27,0.9129999999999999,9.0,2425,2450,-0.05,0.0,New York Rangers,5.37,38,3
21,28.6,309,82,219,173,151,59,3,36,8,7,306,246,53,13,99.9,82.68,11.3,11.2,84,0.512,19.09,0.9009999999999999,9.4,2266,2415,0.07,-0.26,Minnesota Wild,5.67,38,5
22,27.5,316,82,234,189,170,51,9,34,13,6,320,256,57,4,100.5,82.19,12.8,13.0,83,0.506,16.14,0.9079999999999999,9.5,2409,2716,-0.06,-0.33,Atlanta Thrashers,5.98,35,4
23,28.9,329,82,230,171,163,56,7,37,10,5,320,256,62,8,99.6,80.63,11.8,11.3,80,0.488,17.02,0.904,9.4,2402,2480,-0.05,-0.37,Carolina Hurricanes,5.93,35,4
24,27.0,326,82,217,159,148,63,2,36,12,7,336,260,67,6,99.4,80.06,16.8,14.3,80,0.488,19.33,0.9009999999999999,9.0,2367,2256,-0.03,-0.56,Tampa Bay Lightning,5.82,34,4
25,28.3,306,82,222,182,158,49,7,37,11,6,300,264,71,3,99.2,76.33,11.6,12.0,79,0.48200000000000004,16.01,0.902,8.6,2493,2592,-0.02,-0.53,New York Islanders,5.93,34,8
26,26.1,308,82,216,152,152,56,6,35,15,10,334,259,61,8,99.0,81.74,13.2,11.5,79,0.48200000000000004,18.18,0.905,9.2,2338,2282,0.11,-0.42,Columbus Blue Jackets,5.79,32,2
27,28.1,309,82,208,167,151,44,7,37,13,10,286,244,59,8,100.8,79.37,11.9,12.8,77,0.47,14.24,0.9159999999999999,8.7,2331,2800,-0.03,-0.47,Florida Panthers,5.51,32,6
28,27.0,315,82,214,183,162,44,4,38,14,4,288,267,73,6,98.9,74.65,13.3,13.5,74,0.451,13.97,0.892,7.9,2671,2440,-0.03,-0.68,Toronto Maple Leafs,5.87,30,4
29,27.1,301,82,214,185,148,52,6,47,8,6,305,284,67,5,99.3,78.03,13.8,12.3,62,0.37799999999999995,17.28,0.899,8.9,2321,2460,0.09,-0.76,Edmonton Oilers,6.07,27,8
