,Age,Assists,Defensive Point Shares,ES Assists,ES Blocks,ES Face-Off Losses,ES Face-Off Pct,ES Face-Off Wins,ES Goals,ES Hits,GW Goals,Games Played,Goals,Offenisve Point Shares,PP Assists,PP Goals,Penalty Minutes,Player,Plus Minus,Point Shares,Points,Position,SH Assists,SH Goals,Shooting Perecentage,Shots,Team,Time on Ice,Time on Ice Avg
0,31,58,2.1,43,88,503,50.3,509,7,99,3,74,15,5.5,14,6,49,Ryan Getzlaf,7,7.6,73,C,1,2,10.9,138,Anaheim Ducks,1559,21:04
1,32,36,2.4,24,75,764,57.4,1029,14,146,2,82,22,4.1,12,8,83,Ryan Kesler,8,6.5,58,C,0,0,11.8,186,Anaheim Ducks,1747,21:18
2,31,34,1.8,19,35,13,35.0,7,14,81,3,82,19,4.0,15,5,76,Corey Perry,2,5.8,53,RW,0,0,8.8,215,Anaheim Ducks,1453,17:43
3,23,18,1.9,11,32,85,42.2,62,28,81,10,71,33,6.0,7,5,12,Rickard Rakell,10,7.8,51,C,0,0,18.6,177,Anaheim Ducks,1234,17:23
4,26,26,2.1,22,46,6,14.3,1,17,47,5,79,23,4.0,4,5,20,Jakob Silfverberg,10,6.1,49,RW,0,1,10.1,227,Anaheim Ducks,1460,18:29
5,25,28,5.2,17,134,0,,0,5,29,3,80,11,3.1,10,5,20,Cam Fowler,7,8.3,39,D,1,1,5.9,186,Anaheim Ducks,1988,24:51
6,29,19,1.9,18,27,10,44.4,8,13,76,2,82,16,2.2,0,0,26,Andrew Cogliano,11,4.2,35,LW,1,3,9.0,178,Anaheim Ducks,1241,15:08
7,21,14,1.3,13,24,4,50.0,4,13,247,3,77,14,1.9,1,1,62,Nick Ritchie,4,3.2,28,LW,0,0,9.4,149,Anaheim Ducks,1000,12:59
8,34,19,1.1,13,45,451,62.3,744,4,51,1,72,9,0.9,6,5,42,Antoine Vermette,-7,2.0,28,C,0,0,10.2,88,Anaheim Ducks,1145,15:54
9,25,21,3.8,9,128,0,,0,1,75,0,71,3,1.1,12,2,30,Sami Vatanen,3,4.9,24,D,0,0,2.6,117,Anaheim Ducks,1538,21:40
10,23,14,4.5,10,94,0,100.0,2,5,98,2,66,6,1.1,4,1,36,Hampus Lindholm,13,5.6,20,D,0,0,6.4,94,Anaheim Ducks,1482,22:27
11,25,12,4.7,11,79,0,,0,4,227,1,82,5,0.6,0,0,82,Josh Manson,14,5.3,17,D,1,1,5.7,88,Anaheim Ducks,1527,18:38
12,21,10,0.7,10,14,6,14.3,1,5,42,2,53,5,0.5,0,0,18,Ondrej Kase,-1,1.2,15,RW,0,0,6.5,77,Anaheim Ducks,625,11:47
