,average_age,chances_pp,games,goals,goals_pp,goals_sh,losses,losses_ot,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team,total_goals_per_game,wins
0,27.9,300,82,233,63,8,32,11,323,243,67,9,100.6,79.26,89,0.5429999999999999,21.0,0.914,9.4,2472,2728,0.09,-0.07,Anaheim Ducks,5.96,39
1,27.5,316,82,230,51,9,34,13,320,250,57,4,100.4,82.19,83,0.506,16.14,0.9109999999999999,9.5,2409,2708,-0.06,-0.33,Atlanta Thrashers,5.98,35
2,28.2,314,82,211,46,3,25,7,317,196,49,6,100.2,84.54,107,0.652,14.65,0.922,8.4,2502,2420,0.06,0.34,Phoenix Coyotes,5.21,50
3,28.1,265,82,196,44,6,30,13,272,191,37,3,100.0,86.4,91,0.555,16.6,0.9229999999999999,7.5,2599,2442,-0.06,0.01,Boston Bruins,4.95,39
4,27.8,313,82,231,55,4,27,10,284,201,38,3,101.0,86.62,100,0.61,17.57,0.924,8.9,2588,2567,-0.08,0.26,Buffalo Sabres,5.39,45
5,28.8,268,82,201,43,7,32,10,305,203,54,1,100.1,82.3,90,0.5489999999999999,16.04,0.9159999999999999,8.6,2350,2367,0.04,-0.03,Calgary Flames,5.05,40
6,28.9,329,82,226,56,7,37,10,320,251,62,8,99.8,80.63,80,0.488,17.02,0.9079999999999999,9.4,2402,2559,-0.05,-0.37,Carolina Hurricanes,5.93,35
7,26.6,294,82,262,52,13,22,8,266,203,40,4,99.6,84.96,112,0.6829999999999999,17.69,0.903,9.4,2798,2054,0.02,0.77,Chicago Blackhawks,5.85,52
8,26.4,310,82,237,56,8,30,9,303,228,60,9,101.5,80.2,95,0.579,18.06,0.917,10.4,2287,2619,0.02,0.16,Colorado Avalanche,5.82,43
9,26.1,308,82,214,56,6,35,15,334,249,61,8,99.5,81.74,79,0.48200000000000004,18.18,0.902,9.2,2338,2511,0.11,-0.42,Columbus Blue Jackets,5.79,32
10,28.3,328,82,230,61,8,31,14,288,244,65,8,99.8,77.43,88,0.537,18.6,0.9079999999999999,9.1,2524,2551,0.09,-0.12,Dallas Stars,5.99,37
11,30.3,307,82,223,59,8,24,14,267,207,43,1,99.7,83.9,102,0.622,19.22,0.915,8.1,2737,2410,0.07,0.23,Detroit Red Wings,5.43,44
12,27.1,301,82,206,52,6,47,8,305,278,67,5,99.2,78.03,62,0.37799999999999995,17.28,0.9,8.9,2321,2710,0.09,-0.76,Edmonton Oilers,6.07,27
13,28.1,309,82,202,44,7,37,13,286,234,59,8,100.3,79.37,77,0.47,14.24,0.92,8.7,2331,2789,-0.03,-0.47,Florida Panthers,5.51,32
14,26.2,307,82,231,64,4,27,9,304,211,60,6,100.4,80.26,101,0.616,20.85,0.909,9.7,2389,2255,0.05,0.32,Los Angeles Kings,5.61,46
15,28.6,309,82,214,59,3,36,8,306,239,53,13,99.7,82.68,84,0.512,19.09,0.904,9.4,2266,2406,0.07,-0.26,Minnesota Wild,5.67,38
16,27.5,261,82,210,57,3,33,10,311,218,53,8,100.8,82.96,88,0.537,21.84,0.919,9.0,2346,2630,-0.07,-0.14,Montreal Canadiens,5.37,39
17,27.6,286,82,217,47,5,29,6,258,221,59,5,99.7,77.13,100,0.61,16.43,0.91,8.7,2508,2389,0.06,0.06,Nashville Predators,5.49,47
18,30.5,272,82,216,51,7,27,7,240,186,41,5,100.4,82.92,103,0.628,18.75,0.917,8.8,2459,2211,-0.07,0.31,New Jersey Devils,5.04,48
19,28.3,306,82,214,49,7,37,11,300,258,71,3,99.1,76.33,79,0.48200000000000004,16.01,0.903,8.6,2493,2615,-0.02,-0.53,New York Islanders,5.93,34
20,26.8,301,82,219,55,5,33,11,318,214,50,6,100.4,84.28,87,0.53,18.27,0.9159999999999999,9.0,2425,2440,-0.05,0.0,New York Rangers,5.37,38
21,27.9,290,82,220,49,5,32,6,318,233,50,4,99.1,84.28,94,0.573,16.9,0.903,9.0,2436,2333,-0.06,-0.22,Ottawa Senators,5.65,44
22,27.7,318,82,232,68,5,35,6,334,222,57,7,99.7,82.93,88,0.537,21.38,0.907,9.0,2589,2342,-0.06,0.08,Philadelphia Flyers,5.62,41
23,27.8,326,82,249,56,7,28,7,327,235,52,8,99.5,84.1,101,0.616,17.18,0.904,9.3,2688,2340,-0.07,0.17,Pittsburgh Penguins,6.02,47
24,29.3,309,82,257,65,8,20,11,324,209,49,9,101.5,84.88,113,0.6890000000000001,21.04,0.92,9.9,2602,2567,0.05,0.65,San Jose Sharks,5.84,51
25,27.9,308,82,218,53,6,32,10,342,218,45,6,100.1,86.84,90,0.5489999999999999,17.21,0.9159999999999999,8.9,2445,2463,0.06,0.08,St. Louis Blues,5.46,40
26,27.0,326,82,213,63,2,36,12,336,253,67,6,99.4,80.06,80,0.488,19.33,0.904,9.0,2367,2569,-0.03,-0.56,Tampa Bay Lightning,5.82,34
27,27.0,315,82,210,44,4,38,14,288,263,73,6,97.8,74.65,74,0.451,13.97,0.8959999999999999,7.9,2671,2430,-0.03,-0.68,Toronto Maple Leafs,5.87,30
28,28.1,323,82,268,68,8,28,5,320,218,59,6,101.4,81.56,103,0.628,21.05,0.9129999999999999,10.6,2534,2412,-0.01,0.6,Vancouver Canucks,6.02,49
29,27.2,313,82,313,79,4,15,13,316,227,67,8,102.4,78.8,121,0.738,25.24,0.9109999999999999,11.6,2693,2534,-0.14,0.9,Washington Capitals,6.72,54
