,average_age,chances_pp,games,goals,goals_against_ev,goals_ev,goals_pp,goals_sh,losses,losses_ot,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,pen_min_per_game,pen_min_per_game_opp,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team_name,ties,total_goals_per_game,wins
0,31.9,359,82,251,132,169,73,9,17,4,343,187,48,7,,86.01,12.7,12.9,116,0.7070000000000001,20.33,0.9129999999999999,9.9,2538,2159,0.05,0.83,Detroit Red Wings*,10,5.34,51
1,28.1,283,82,236,151,183,39,14,24,9,349,201,45,5,,87.11,17.6,15.2,101,0.616,13.78,0.902,9.1,2595,2057,-0.09,0.33,Boston Bruins*,6,5.33,43
2,29.6,349,82,249,150,186,54,9,25,4,328,207,51,6,,84.45,14.7,15.5,100,0.61,15.47,0.899,10.6,2339,2044,-0.08,0.44,Toronto Maple Leafs*,10,5.56,43
3,27.9,369,82,248,139,174,59,15,27,3,381,199,54,6,,85.83,15.1,15.1,99,0.604,15.99,0.915,11.1,2227,2335,0.02,0.62,San Jose Sharks*,8,5.45,44
4,27.9,344,82,212,121,143,62,7,28,1,315,169,41,7,,86.98,12.2,12.6,99,0.604,18.02,0.922,9.4,2252,2177,0.06,0.58,Colorado Avalanche*,8,4.65,45
5,29.3,356,82,227,125,160,62,5,27,4,379,188,56,7,,85.22,16.1,15.5,98,0.598,17.42,0.898,9.5,2378,1847,0.07,0.54,St. Louis Blues*,8,5.06,43
6,28.9,300,82,234,142,187,39,8,27,3,293,192,40,10,,86.35,15.0,15.7,97,0.591,13.0,0.91,9.6,2442,2139,-0.11,0.41,Philadelphia Flyers*,10,5.2,42
7,27.5,363,82,239,158,163,59,17,28,4,366,220,52,10,,85.79,15.2,16.0,96,0.585,16.25,0.904,10.3,2319,2285,-0.08,0.15,New York Islanders*,8,5.6,42
8,29.4,302,82,216,142,158,54,4,27,1,340,207,63,2,,81.47,14.9,13.0,96,0.585,17.88,0.9,9.5,2271,2077,0.08,0.19,Chicago Blackhawks*,13,5.16,41
9,27.2,340,82,228,144,167,53,8,27,6,356,210,60,6,,83.15,13.9,14.6,95,0.579,15.59,0.9109999999999999,10.5,2179,2349,0.07,0.29,Phoenix Coyotes*,9,5.34,40
10,28.9,353,82,214,135,136,73,5,27,4,366,190,49,6,,86.61,16.2,15.6,95,0.579,20.68,0.907,10.1,2110,2051,0.05,0.35,Los Angeles Kings*,11,4.93,40
11,28.9,261,82,205,136,159,44,2,28,4,265,187,43,8,,83.77,12.1,11.8,95,0.579,16.86,0.902,8.4,2445,1900,-0.07,0.15,New Jersey Devils*,9,4.78,41
12,26.3,372,82,254,145,182,69,3,30,3,379,211,57,9,,84.96,16.0,15.7,94,0.573,18.55,0.899,10.9,2326,2078,0.07,0.59,Vancouver Canucks*,7,5.67,42
13,26.3,331,82,243,155,177,55,11,27,7,307,208,48,5,,84.36,16.3,16.6,94,0.573,16.62,0.902,9.8,2469,2125,-0.07,0.36,Ottawa Senators*,9,5.5,39
14,26.1,333,82,205,125,142,51,12,28,4,348,182,50,7,,85.63,15.4,14.9,92,0.561,15.32,0.914,9.1,2256,2120,0.06,0.34,Edmonton Oilers,12,4.72,38
15,29.2,391,82,217,152,150,63,4,26,5,332,217,54,11,,83.73,12.3,15.9,91,0.555,16.11,0.902,9.2,2347,2214,-0.09,-0.09,Carolina Hurricanes*,16,5.29,35
16,30.5,350,82,215,146,148,60,7,28,5,319,213,59,8,,81.5,11.5,13.1,90,0.5489999999999999,17.14,0.9,9.2,2335,2135,0.07,0.09,Dallas Stars,13,5.22,36
17,28.4,301,82,207,167,155,45,7,31,3,277,209,38,4,,86.28,11.6,12.5,87,0.53,14.95,0.92,9.9,2092,2597,-0.08,-0.1,Montreal Canadiens*,12,5.07,36
18,30.1,299,82,228,174,168,58,2,33,2,325,240,58,8,,82.15,12.6,13.1,85,0.518,19.4,0.898,9.9,2293,2357,-0.1,-0.25,Washington Capitals,11,5.71,36
19,26.0,375,82,213,153,156,50,7,35,1,304,200,41,6,,86.51,14.6,16.0,82,0.5,13.33,0.9059999999999999,9.3,2295,2120,-0.07,0.09,Buffalo Sabres,11,5.04,35
20,28.9,326,82,227,173,171,48,8,38,4,398,258,80,5,,79.9,21.3,16.8,80,0.488,14.72,0.9009999999999999,9.5,2392,2618,-0.05,-0.43,New York Rangers,4,5.91,36
21,27.6,364,82,201,149,136,55,10,35,3,356,220,66,5,,81.46,19.2,19.1,79,0.48200000000000004,15.11,0.902,9.1,2207,2242,0.08,-0.15,Calgary Flames,12,5.13,32
22,27.3,373,82,195,167,129,55,11,35,9,362,238,62,9,,82.87,14.6,14.0,73,0.445,14.75,0.8959999999999999,10.0,1954,2296,0.11,-0.41,Minnesota Wild,12,5.28,26
23,26.8,337,82,196,172,142,48,6,41,0,354,230,50,8,,85.88,12.8,13.4,69,0.42100000000000004,14.24,0.9009999999999999,9.7,2019,2313,0.1,-0.31,Nashville Predators,13,5.2,28
24,27.0,373,82,175,143,128,43,4,42,3,330,198,46,9,,86.06,15.1,17.0,69,0.42100000000000004,11.53,0.912,8.2,2142,2253,0.08,-0.2,Mighty Ducks of Anaheim,8,4.55,29
25,26.5,335,82,198,182,146,47,5,41,5,352,249,57,10,,83.81,15.0,14.0,69,0.42100000000000004,14.03,0.8959999999999999,8.9,2215,2394,-0.04,-0.66,Pittsburgh Penguins,8,5.45,28
26,26.4,312,82,178,170,126,46,6,40,4,273,219,40,9,,85.35,12.8,12.8,69,0.42100000000000004,14.74,0.9129999999999999,8.2,2179,2523,-0.08,-0.58,Tampa Bay Lightning,11,4.84,27
27,26.1,341,82,180,167,122,50,8,44,6,393,250,76,7,,80.66,24.1,22.1,60,0.366,14.66,0.9059999999999999,8.2,2205,2666,-0.07,-0.92,Florida Panthers,10,5.24,22
28,28.0,356,82,164,195,111,50,3,47,5,306,255,52,8,,83.01,14.4,16.2,57,0.348,14.04,0.897,8.0,2046,2469,0.14,-0.97,Columbus Blue Jackets,8,5.11,22
29,27.1,306,82,187,211,147,37,3,47,5,358,288,65,12,,81.84,15.5,14.2,54,0.32899999999999996,12.09,0.9009999999999999,9.4,1984,2911,-0.04,-1.27,Atlanta Thrashers,11,5.79,19
