,Adjusted GAA,Age,GA Pct -,Games Played,Games Started,Goalie Point Shares,Goals Against,Goals Against Average,Goals Saved Above Average,Losses,Minutes,Player,Quality Start Percentage,Quality Starts,Really Bad Starts,Save Percentage,Saves,Shots Against,Shutouts,Team,Ties OT Losses,Wins
53,2.42,28,98,49,49,7.4,100,2.07,1.93,17,2904,Jonathan Quick,.531,26,6,.915,1083,1183,6,Los Angeles Kings,4,27
54,2.14,24,77,19,18,4.2,33,1.81,10.08,6,1095,Martin Jones,.722,13,1,.934,467,500,4,Los Angeles Kings,0,12
55,2.34,27,80,19,15,3.8,32,1.97,7.98,5,975,Ben Scrivens,.667,10,0,.931,432,464,3,Los Angeles Kings,4,7
56,1.94,29,77,29,26,5.8,46,1.66,13.45,7,1668,Josh Harding,.808,21,3,.933,644,690,3,Minnesota Wild,3,18
57,2.84,23,99,26,25,4.3,60,2.43,0.49,8,1480,Darcy Kuemper,.480,12,4,.915,642,702,2,Minnesota Wild,4,12
58,2.48,33,,12,11,1.5,24,2.12,,1,679,Ilya Bryzgalov,.545,6,2,.911,245,269,3,Minnesota Wild,3,7
59,3.56,35,117,21,19,2.3,55,3.02,-7.95,11,1094,Niklas Backstrom,.474,9,3,.899,491,546,0,Minnesota Wild,2,5
60,3.77,29,,2,1,0.5,4,3.01,,0,80,John Curry,1.000,1,0,.930,53,57,0,Minnesota Wild,0,1
61,2.72,26,85,59,59,13.9,134,2.32,23.51,20,3464,Carey Price,.644,38,7,.927,1694,1828,6,Montreal Canadiens,5,34
62,2.96,31,106,24,21,3.4,56,2.51,-3.01,8,1338,Peter Budaj,.429,9,3,.909,559,615,1,Montreal Canadiens,3,10
63,2.21,24,,3,2,0.9,5,1.84,,0,163,Dustin Tokarski,1.000,2,0,.946,88,93,1,Montreal Canadiens,0,2
64,3.08,28,105,40,34,5.6,91,2.62,-4.32,11,2085,Carter Hutton,.441,15,8,.910,915,1006,1,Nashville Predators,4,20
