,Adjusted GAA,Age,GA Pct -,Games Played,Games Started,Goalie Point Shares,Goals Against,Goals Against Average,Goals Saved Above Average,Losses,Minutes,Player,Quality Start Percentage,Quality Starts,Really Bad Starts,Save Percentage,Saves,Shots Against,Shutouts,Team,Ties OT Losses,Wins
0,2.56,23,88,52,49,10.3,109,2.22,15.36,16,2950,John Gibson,.571,28,7,.924,1328,1437,6,Anaheim Ducks,9,25
1,2.89,28,98,39,33,6.0,83,2.50,1.98,7,1993,Jonathan Bernier,.576,19,4,.915,899,982,2,Anaheim Ducks,4,21
2,0.00,27,,1,0,0.1,0,0.00,,0,10,Dustin Tokarski,,0,0,1.000,5,5,0,Anaheim Ducks,0,0
3,2.58,29,98,65,63,9.8,137,2.23,2.33,20,3680,Tuukka Rask,.492,31,14,.915,1473,1610,8,Boston Bruins,5,37
4,3.05,30,111,16,14,1.9,39,2.64,-3.95,6,885,Anton Khudobin,.357,5,2,.904,366,405,0,Boston Bruins,1,7
5,5.88,23,,1,1,-0.1,3,5.88,,1,31,Malcolm Subban,.000,0,1,.813,13,16,0,Boston Bruins,0,0
6,4.51,24,,8,3,-0.1,22,3.97,,4,333,Zane McIntyre,.000,0,1,.858,133,155,0,Boston Bruins,1,0
7,3.10,25,92,59,58,12.9,152,2.68,13.29,26,3405,Robin Lehner,.552,32,6,.920,1758,1910,2,Buffalo Sabres,8,23
8,3.07,26,89,26,23,6.0,66,2.67,8.17,10,1484,Anders Nilsson,.478,11,2,.923,791,857,1,Buffalo Sabres,4,10
9,3.06,23,,1,1,0.2,3,3.06,,1,59,Linus Ullmark,1.000,1,0,.917,33,36,0,Buffalo Sabres,0,0
10,2.95,31,104,49,45,7.3,121,2.55,-5.21,18,2844,Brian Elliott,.578,26,4,.910,1217,1338,2,Calgary Flames,3,26
11,3.01,30,104,36,36,5.4,87,2.59,-3.14,15,2013,Chad Johnson,.500,18,7,.910,882,969,3,Calgary Flames,1,18
12,1.00,23,,1,1,0.3,1,1.00,,0,60,Jon Gillies,1.000,1,0,.964,27,28,0,Calgary Flames,0,1
13,3.00,24,,1,0,0.0,1,3.00,,0,20,David Rittich,,0,0,.900,9,10,0,Calgary Flames,0,0
14,3.12,32,109,61,61,8.5,162,2.69,-13.93,22,3618,Cam Ward,.492,30,9,.905,1549,1711,2,Carolina Hurricanes,12,26
15,3.08,29,113,20,18,2.3,48,2.64,-5.42,7,1090,Eddie Lack,.500,9,3,.902,444,492,1,Carolina Hurricanes,3,8
16,3.99,35,,4,3,0.1,12,3.42,,2,210,Michael Leighton,.333,1,1,.870,80,92,0,Carolina Hurricanes,0,2
17,0.00,38,,1,0,0.0,0,0.00,,0,0,Jorge Alves,,0,0,,0,0,0,Carolina Hurricanes,0,0
18,0.00,21,,1,0,0.3,0,0.00,,0,30,Alex Nedeljkovic,,0,0,1.000,17,17,0,Carolina Hurricanes,0,0
19,2.96,32,94,55,55,11.0,138,2.55,8.34,18,3247,Corey Crawford,.527,29,7,.918,1553,1691,2,Chicago Blackhawks,4,32
20,2.74,28,88,32,27,6.2,67,2.38,8.90,5,1689,Scott Darling,.630,17,1,.924,810,877,2,Chicago Blackhawks,5,18
21,3.45,24,111,50,48,7.1,140,2.98,-13.56,31,2820,Calvin Pickard,.438,21,11,.904,1321,1461,2,Colorado Avalanche,2,15
22,3.92,28,118,24,23,3.1,76,3.38,-11.53,17,1348,Semyon Varlamov,.478,11,5,.898,669,745,1,Colorado Avalanche,0,6
23,4.09,27,,10,8,0.8,32,3.54,,6,543,Jeremy Smith,.375,3,3,.888,254,286,0,Colorado Avalanche,1,1
24,5.02,21,,3,3,0.0,13,4.35,,2,179,Spencer Martin,.000,0,1,.865,83,96,0,Colorado Avalanche,1,0
25,2.36,28,79,63,63,14.9,127,2.06,33.45,17,3707,Sergei Bobrovsky,.651,41,5,.931,1727,1854,7,Columbus Blue Jackets,5,41
26,3.34,22,110,14,13,2.0,38,2.88,-3.30,5,791,Joonas Korpisalo,.462,6,2,.905,363,401,1,Columbus Blue Jackets,1,7
27,2.71,33,,7,5,1.4,15,2.39,,1,376,Curtis McElhinney,.600,3,0,.924,183,198,0,Columbus Blue Jackets,2,2
28,5.12,24,,1,1,0.0,4,4.10,,1,59,Anton Forsberg,.000,0,0,.852,23,27,0,Columbus Blue Jackets,0,0
