,Adjusted GAA,Age,GA Pct -,Games Played,Games Started,Goalie Point Shares,Goals Against,Goals Against Average,Goals Saved Above Average,Losses,Minutes,Player,Quality Start Percentage,Quality Starts,Really Bad Starts,Save Percentage,Saves,Shots Against,Shutouts,Team,Ties OT Losses,Wins
29,3.30,33,113,59,52,7.1,151,2.85,-17.21,25,3177,Kari Lehtonen,.519,27,12,.902,1395,1546,3,Dallas Stars,7,22
30,3.82,33,125,37,30,3.0,95,3.30,-18.84,12,1729,Antti Niemi,.467,14,7,.892,785,880,0,Dallas Stars,4,12
31,3.53,24,115,50,44,6.5,145,3.04,-18.48,21,2858,Petr Mrazek,.432,19,9,.901,1317,1462,1,Detroit Red Wings,9,18
32,2.45,32,84,26,24,5.1,49,2.10,9.42,11,1397,Jimmy Howard,.667,16,4,.927,626,675,1,Detroit Red Wings,1,10
33,3.96,25,131,14,14,1.0,41,3.46,-9.67,4,712,Jared Coreau,.357,5,6,.887,321,362,2,Detroit Red Wings,3,5
34,2.75,29,93,73,73,14.0,171,2.39,12.21,22,4294,Cam Talbot,.589,43,10,.919,1946,2117,7,Edmonton Oilers,8,42
35,2.35,23,,8,4,1.2,11,1.99,,1,332,Laurent Brossoit,.500,2,0,.928,142,153,0,Edmonton Oilers,0,4
36,3.65,32,,7,5,0.2,17,3.10,,3,329,Jonas Gustavsson,.400,2,3,.878,122,139,0,Edmonton Oilers,1,1
37,2.92,28,93,43,39,8.1,98,2.53,7.75,16,2325,James Reimer,.487,19,4,.920,1124,1222,3,Florida Panthers,5,18
38,3.09,37,99,40,39,7.4,104,2.68,1.32,15,2327,Roberto Luongo,.538,21,1,.915,1113,1217,1,Florida Panthers,6,17
39,4.02,30,,7,4,0.2,18,3.45,,5,313,Reto Berra,.000,0,2,.876,127,145,0,Florida Panthers,0,0
40,2.44,34,96,53,51,8.1,107,2.12,4.29,20,3029,Peter Budaj,.608,31,7,.917,1179,1286,7,Los Angeles Kings,3,27
41,2.58,31,96,17,17,2.7,35,2.26,1.43,5,931,Jonathan Quick,.647,11,2,.917,386,421,2,Los Angeles Kings,2,8
42,2.93,30,,7,6,0.7,17,2.49,,3,410,Ben Bishop,.500,3,2,.900,153,170,0,Los Angeles Kings,2,2
43,3.38,29,,13,8,0.4,27,2.94,,7,550,Jeff Zatkoff,.250,2,4,.879,196,223,0,Los Angeles Kings,1,2
44,0.00,25,,1,0,0.1,0,0.00,,0,20,Jack Campbell,,0,0,1.000,5,5,0,Los Angeles Kings,0,0
45,2.60,30,88,65,63,13.1,141,2.25,18.41,19,3758,Devan Dubnyk,.619,39,7,.923,1701,1842,5,Minnesota Wild,5,40
46,3.65,26,113,18,17,2.6,55,3.13,-6.36,5,1053,Darcy Kuemper,.294,5,3,.902,507,562,0,Minnesota Wild,3,8
47,1.51,29,,2,2,0.5,3,1.51,,1,119,Alex Stalock,1.000,2,0,.944,51,54,0,Minnesota Wild,0,1
48,2.57,29,89,62,62,12.6,138,2.23,17.25,20,3708,Carey Price,.613,38,8,.923,1656,1794,3,Montreal Canadiens,5,37
49,3.09,31,102,19,18,3.3,50,2.67,-0.76,6,1125,Al Montoya,.667,12,2,.912,519,569,2,Montreal Canadiens,4,8
50,1.48,23,,2,2,0.6,3,1.48,,0,122,Charlie Lindgren,1.000,2,0,.949,56,59,0,Montreal Canadiens,0,2
51,2.79,34,95,61,61,11.3,144,2.42,8.05,19,3568,Pekka Rinne,.557,34,7,.918,1613,1757,3,Nashville Predators,9,31
52,2.70,21,88,21,19,4.4,47,2.35,6.14,8,1200,Juuse Saros,.684,13,1,.923,567,614,1,Nashville Predators,3,10
53,5.41,25,,4,2,-0.2,14,4.73,,2,178,Marek Mazanec,.000,0,2,.839,73,87,0,Nashville Predators,0,0
54,3.27,30,106,60,59,9.5,163,2.82,-8.87,27,3473,Cory Schneider,.458,27,7,.908,1618,1781,2,New Jersey Devils,11,20
55,3.05,27,97,26,23,4.9,65,2.64,2.33,13,1476,Keith Kinkaid,.522,12,4,.916,713,778,1,New Jersey Devils,3,8
56,3.11,31,100,51,49,8.6,126,2.69,-0.26,18,2813,Thomas Greiss,.612,30,11,.913,1327,1453,3,New York Islanders,5,26
57,3.25,31,98,28,26,5.4,75,2.80,1.59,9,1605,Jaroslav Halak,.538,14,3,.915,810,885,2,New York Islanders,5,12
58,3.99,25,,14,7,0.8,30,3.42,,2,527,Jean-Francois Berube,.429,3,2,.889,241,271,0,New York Islanders,2,3
59,3.17,34,104,57,55,9.1,148,2.74,-5.21,20,3240,Henrik Lundqvist,.582,32,8,.910,1502,1650,2,New York Rangers,4,31
60,2.60,27,90,30,26,5.4,61,2.26,6.67,8,1617,Antti Raanta,.692,18,1,.922,721,782,4,New York Rangers,2,16
61,1.53,25,,2,1,0.2,2,1.53,,0,79,Magnus Hellberg,1.000,1,0,.929,26,28,0,New York Rangers,0,1
62,2.63,35,85,40,40,9.2,92,2.28,15.92,11,2421,Craig Anderson,.625,25,4,.926,1155,1247,5,Ottawa Senators,4,25
63,2.89,26,99,40,38,6.7,96,2.50,0.49,14,2304,Mike Condon,.500,19,7,.914,1019,1115,5,Ottawa Senators,6,19
64,7.50,22,,1,0,-0.2,4,6.00,,1,40,Chris Driedger,,0,0,.733,11,15,0,Ottawa Senators,0,0
65,4.67,28,,6,4,-0.3,14,4.08,,2,206,Andrew Hammond,.250,1,3,.837,72,86,0,Ottawa Senators,0,0
66,3.07,28,106,58,54,8.2,143,2.66,-8.34,21,3225,Steve Mason,.481,26,11,.908,1413,1556,3,Philadelphia Flyers,8,26
67,3.26,28,126,28,24,1.9,64,2.82,-13.29,11,1364,Michal Neuvirth,.417,10,4,.891,522,586,0,Philadelphia Flyers,1,11
68,2.39,23,,7,4,1.4,13,2.07,,1,376,Anthony Stolarz,.500,2,1,.928,168,181,1,Philadelphia Flyers,1,2
69,2.78,22,88,49,47,10.3,111,2.41,14.48,10,2766,Matt Murray,.553,26,4,.923,1339,1450,4,Pittsburgh Penguins,4,32
70,3.50,32,105,38,34,6.4,107,3.02,-4.80,10,2125,Marc-Andre Fleury,.471,16,5,.909,1074,1181,1,Pittsburgh Penguins,7,18
71,0.00,26,,1,0,0.1,0,0.00,,0,20,Mike Condon,,0,0,1.000,7,7,0,Pittsburgh Penguins,0,0
72,3.06,21,,1,1,0.0,3,3.06,,1,59,Tristan Jarry,.000,0,0,.880,22,25,0,Pittsburgh Penguins,0,0
73,2.76,27,102,65,65,9.9,152,2.40,-2.72,23,3800,Martin Jones,.600,39,8,.912,1573,1725,2,San Jose Sharks,6,35
74,2.32,27,80,20,17,4.2,37,2.00,9.13,6,1111,Aaron Dell,.706,12,1,.931,496,533,1,San Jose Sharks,1,11
75,2.79,26,98,61,60,9.8,138,2.42,2.20,20,3418,Jake Allen,.550,33,11,.915,1482,1620,4,St. Louis Blues,5,33
76,2.76,31,101,30,21,3.8,58,2.39,-0.62,8,1459,Carter Hutton,.524,11,3,.913,605,663,4,St. Louis Blues,2,13
77,6.11,25,,1,1,-0.1,5,5.09,,1,59,Pheonix Copley,.000,0,1,.828,24,29,0,St. Louis Blues,0,0
78,3.01,22,96,50,47,9.3,123,2.61,5.08,17,2831,Andrei Vasilevskiy,.532,25,5,.917,1357,1480,2,Tampa Bay Lightning,7,23
79,2.95,30,102,32,31,4.9,77,2.55,-1.71,12,1813,Ben Bishop,.516,16,4,.911,793,870,1,Tampa Bay Lightning,3,16
80,3.23,34,,7,4,0.5,13,2.80,,1,279,Peter Budaj,.250,1,0,.898,115,128,0,Tampa Bay Lightning,0,3
81,0.00,24,,1,0,0.0,0,0.00,,0,11,Kristers Gudlevskis,,0,0,1.000,3,3,0,Tampa Bay Lightning,0,0
82,3.10,27,95,66,66,13.1,169,2.67,8.58,16,3799,Frederik Andersen,.576,38,11,.918,1883,2052,4,Toronto Maple Leafs,14,33
83,3.32,33,100,14,10,2.5,36,2.85,0.17,7,759,Curtis McElhinney,.600,6,0,.914,382,418,1,Toronto Maple Leafs,0,6
84,2.49,22,,2,2,0.4,4,1.99,,1,121,Antoine Bibeau,1.000,2,0,.927,51,55,0,Toronto Maple Leafs,0,1
85,4.59,28,,6,4,0.2,18,3.94,,3,274,Jhonas Enroth,.000,0,0,.872,123,141,0,Toronto Maple Leafs,1,0
86,3.25,36,100,54,54,10.3,150,2.80,0.32,29,3212,Ryan Miller,.481,26,7,.914,1587,1737,3,Vancouver Canucks,6,18
87,3.05,27,104,26,23,3.8,62,2.63,-2.11,11,1417,Jacob Markstrom,.522,12,2,.910,630,692,0,Vancouver Canucks,3,10
88,3.05,29,,5,5,1.1,13,2.64,,3,295,Richard Bachman,.400,2,0,.920,149,162,0,Vancouver Canucks,0,2
89,,27,87,63,63,12.3,127,2.07,19.25,13,3680,Braden Holtby,.619,39,8,.925,1563,1690,9,Washington Capitals,6,42
90,,25,85,24,19,4.4,43,2.04,7.63,6,1265,Philipp Grubauer,.684,13,1,.926,542,585,3,Washington Capitals,2,13
91,3.34,23,107,56,53,8.1,146,2.89,-9.96,19,3034,Connor Hellebuyck,.472,25,9,.907,1426,1572,4,Winnipeg Jets,4,26
92,3.40,26,112,28,20,3.2,67,2.92,-7.29,12,1378,Michael Hutchinson,.400,8,1,.903,623,690,1,Winnipeg Jets,3,9
93,4.10,29,,8,8,0.7,26,3.55,,4,440,Ondrej Pavelec,.250,2,2,.888,207,233,0,Winnipeg Jets,0,4
94,5.06,21,,1,1,0.2,4,4.05,,0,59,Eric Comrie,.000,0,0,.897,35,39,0,Winnipeg Jets,0,1
