,average_age,chances_pp,games,goals,goals_against_ev,goals_ev,goals_pp,goals_sh,losses,losses_ot,losses_shootout,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,pen_min_per_game,pen_min_per_game_opp,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team_name,total_goals_per_game,wins,wins_shootout
0,26.8,150,48,155,72,119,25,5,7,5,5,141,102,18,5,101.7,87.23,9.2,9.8,77,0.802,16.67,0.922,10.0,1494,1199,-0.07,1.04,Chicago Blackhawks*,5.35,36,6
1,29.0,170,48,165,82,118,42,2,12,0,0,167,119,34,3,102.5,79.64,11.7,12.1,72,0.75,24.71,0.915,11.3,1438,1403,-0.05,0.91,Pittsburgh Penguins*,5.92,36,3
2,28.8,135,48,140,80,100,29,5,12,6,3,162,118,30,5,101.5,81.48,11.1,9.5,66,0.688,21.48,0.914,9.9,1347,1340,-0.02,0.43,Anaheim Ducks*,5.38,30,6
3,27.8,203,48,149,87,104,42,0,14,5,2,173,126,35,2,100.9,79.77,13.3,14.9,63,0.6559999999999999,20.69,0.904,9.9,1468,1293,-0.02,0.46,Montreal Canadiens*,5.73,29,3
4,27.8,122,48,131,75,104,18,5,14,6,3,163,109,21,2,100.5,87.12,12.2,8.7,62,0.6459999999999999,14.75,0.92,8.2,1557,1205,-0.02,0.44,Boston Bruins*,5.0,28,4
5,26.3,149,48,129,86,92,29,3,17,2,1,150,115,23,5,99.4,84.67,11.1,11.3,60,0.625,19.46,0.902,9.3,1336,1161,0.02,0.31,St. Louis Blues*,5.08,29,5
6,26.5,166,48,133,81,96,33,2,16,5,4,161,118,27,1,99.2,83.23,10.0,9.3,59,0.615,19.88,0.9,9.2,1431,1065,-0.02,0.29,Los Angeles Kings*,5.23,27,2
7,28.2,165,48,127,85,94,26,2,15,7,6,169,121,27,3,100.4,84.02,12.7,13.1,59,0.615,15.76,0.917,9.0,1350,1389,-0.06,0.07,Vancouver Canucks*,5.17,26,5
8,26.0,166,48,145,91,113,31,1,17,5,5,157,133,19,4,102.5,87.9,16.2,12.3,57,0.594,18.67,0.919,11.5,1264,1375,0.02,0.27,Toronto Maple Leafs*,5.79,26,0
9,26.6,164,48,149,90,99,44,3,18,3,0,163,130,36,4,101.2,77.91,10.8,11.5,57,0.594,26.83,0.9159999999999999,10.8,1350,1551,-0.09,0.31,Washington Capitals*,5.81,27,3
