,average_age,chances_pp,games,goals,goals_against_ev,goals_ev,goals_pp,goals_sh,losses,losses_ot,losses_shootout,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,pen_min_per_game,pen_min_per_game_opp,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team_name,total_goals_per_game,wins,wins_shootout
10,28.9,169,48,124,82,79,34,3,16,7,4,147,116,22,4,99.7,85.03,10.9,10.9,57,0.594,20.12,0.919,7.6,1526,1332,0.01,0.17,San Jose Sharks*,5.0,25,8
11,27.4,157,48,116,79,85,25,2,17,6,4,167,104,20,1,99.6,88.02,13.6,13.8,56,0.583,15.92,0.9329999999999999,7.0,1591,1502,0.02,0.27,Ottawa Senators*,4.58,25,4
12,28.2,185,48,124,75,85,34,3,16,8,5,164,115,30,5,100.2,81.71,9.8,11.5,56,0.583,18.38,0.917,8.4,1447,1322,0.01,0.2,Detroit Red Wings*,4.98,24,2
13,27.2,153,48,130,73,97,24,5,18,4,4,148,112,28,4,100.8,81.08,9.3,9.5,56,0.583,15.69,0.92,8.5,1483,1319,0.0,0.38,New York Rangers*,5.04,26,4
14,26.3,155,48,120,88,90,22,3,17,7,4,144,119,25,2,101.2,82.64,12.6,12.8,55,0.573,14.19,0.92,9.0,1283,1436,0.01,0.03,Columbus Blue Jackets,4.98,24,5
15,27.8,151,48,122,99,90,27,1,19,3,2,135,127,26,0,98.9,80.74,11.4,11.8,55,0.573,17.88,0.904,8.5,1382,1299,-0.05,-0.16,Minnesota Wild*,5.19,26,4
16,28.7,156,48,139,108,102,31,2,17,7,3,142,139,28,0,99.1,80.28,9.6,10.3,55,0.573,19.87,0.899,9.1,1485,1352,0.03,0.03,New York Islanders*,5.79,24,4
17,28.4,169,48,125,80,94,25,2,18,9,6,169,131,34,2,100.2,79.88,10.5,8.7,51,0.531,14.79,0.914,8.2,1482,1314,0.03,-0.1,Phoenix Coyotes,5.33,21,4
18,26.4,145,48,128,110,105,20,1,21,3,3,138,144,28,3,99.6,79.71,11.1,10.5,51,0.531,13.79,0.9009999999999999,9.1,1389,1424,-0.03,-0.36,Winnipeg Jets,5.67,24,2
19,27.9,171,48,133,85,93,37,2,22,3,2,184,141,26,3,99.1,85.87,15.7,12.6,49,0.51,21.64,0.902,9.5,1394,1094,0.03,-0.14,Philadelphia Flyers,5.71,23,1
20,27.3,163,48,125,94,88,23,7,21,6,4,178,143,37,7,100.5,79.21,13.1,12.0,48,0.5,14.11,0.9109999999999999,8.8,1339,1546,0.07,-0.31,Buffalo Sabres,5.58,21,7
21,30.8,176,48,112,79,71,28,11,19,10,7,169,129,32,6,97.8,81.07,10.6,10.8,48,0.5,15.91,0.894,8.0,1362,1070,0.04,-0.31,New Jersey Devils,5.02,19,2
22,28.2,171,48,130,92,97,29,2,22,4,1,179,142,34,3,101.1,81.01,13.0,11.7,48,0.5,16.96,0.904,10.2,1261,1317,0.05,-0.21,Dallas Stars,5.67,22,2
23,26.4,169,48,125,98,85,34,4,22,7,3,175,134,29,1,100.6,83.43,10.8,10.9,45,0.469,20.12,0.917,9.6,1285,1521,-0.03,-0.22,Edmonton Oilers,5.4,19,2
24,29.0,155,48,128,127,91,31,6,25,4,3,151,160,28,2,97.9,81.46,10.8,9.9,42,0.43799999999999994,20.0,0.889,9.9,1293,1412,0.02,-0.65,Calgary Flames,6.0,19,0
25,26.9,165,48,128,107,100,24,3,25,4,1,161,160,36,4,98.7,77.64,11.2,9.0,42,0.43799999999999994,14.55,0.899,8.2,1545,1420,0.02,-0.65,Carolina Hurricanes,6.0,19,1
26,27.3,140,48,111,89,84,24,1,23,9,6,139,139,34,4,99.7,75.54,9.8,9.4,41,0.42700000000000005,17.14,0.902,8.8,1244,1255,0.09,-0.5,Nashville Predators,5.21,16,2
27,27.7,163,48,148,113,116,31,0,26,4,3,155,150,30,4,101.0,80.65,12.0,13.0,40,0.41700000000000004,19.02,0.899,11.1,1323,1451,-0.07,-0.11,Tampa Bay Lightning,6.21,18,1
28,26.7,140,48,116,108,90,21,3,25,7,2,183,152,36,3,98.6,80.33,12.5,9.2,39,0.406,15.0,0.899,8.1,1415,1443,0.02,-0.73,Colorado Avalanche,5.58,16,2
29,27.8,142,48,112,122,76,29,4,27,6,1,151,171,39,1,96.6,74.17,11.3,10.0,36,0.375,20.42,0.887,7.8,1400,1419,0.05,-1.18,Florida Panthers,5.9,15,3
