,Adjusted GAA,Age,GA Pct -,Games Played,Games Started,Goalie Point Shares,Goals Against,Goals Against Average,Goals Saved Above Average,Losses,Minutes,Player,Quality Start Percentage,Quality Starts,Really Bad Starts,Save Percentage,Saves,Shots Against,Shutouts,Team,Ties OT Losses,Wins
0,2.94,28,88,49,46,10.8,114,2.56,16.06,16,2672,Jonas Hiller,.565,26,5,.924,1379,1493,5,Anaheim Ducks,3,26
1,2.71,30,96,13,11,2.2,29,2.39,1.32,3,729,Dan Ellis,.545,6,2,.917,319,348,0,Anaheim Ducks,1,8
2,2.62,28,,10,9,2.1,20,2.28,,2,527,Ray Emery,.556,5,0,.926,252,272,0,Anaheim Ducks,0,7
3,3.97,27,127,21,16,1.7,57,3.43,-12.05,9,996,Curtis McElhinney,.375,6,6,.890,459,516,2,Anaheim Ducks,1,6
4,9.00,21,,1,0,-0.4,5,7.50,,0,40,Timo Pielmeier,,0,0,.583,7,12,0,Anaheim Ducks,0,0
5,2.84,30,91,68,67,14.7,168,2.48,17.12,20,4060,Ilya Bryzgalov,.597,40,6,.921,1957,2125,7,Phoenix Coyotes,10,36
6,3.74,31,104,17,15,2.9,48,3.26,-1.92,6,883,Jason LaBarbera,.667,10,3,.909,481,529,2,Phoenix Coyotes,3,7
7,1.85,27,,1,0,0.1,1,1.85,,0,32,Matt Climie,,0,0,.938,15,16,0,Phoenix Coyotes,0,0
8,2.28,36,71,57,55,16.2,112,2.00,45.77,11,3364,Tim Thomas,.745,41,3,.938,1699,1811,9,Boston Bruins,9,35
9,3.05,23,94,29,27,5.7,71,2.67,4.44,14,1594,Tuukka Rask,.593,16,4,.918,795,866,2,Boston Bruins,2,11
10,2.96,30,96,66,65,12.4,165,2.59,6.10,22,3829,Ryan Miller,.600,39,9,.916,1799,1964,5,Buffalo Sabres,8,34
11,3.12,22,107,14,13,2.0,35,2.73,-2.16,2,769,Jhonas Enroth,.538,7,2,.907,342,377,1,Buffalo Sabres,2,9
12,3.45,36,,7,4,0.5,18,2.96,,5,365,Patrick Lalime,.000,0,1,.890,145,163,0,Buffalo Sabres,0,0
13,3.02,34,108,71,71,10.0,182,2.63,-13.43,24,4156,Miikka Kiprusoff,.549,39,14,.906,1753,1935,6,Calgary Flames,6,37
14,2.94,27,106,17,11,2.1,36,2.58,-1.94,5,838,Henrik Karlsson,.545,6,3,.908,355,391,0,Calgary Flames,6,4
15,2.93,26,89,74,73,16.8,184,2.56,22.90,26,4318,Cam Ward,.589,43,8,.923,2191,2375,4,Carolina Hurricanes,10,37
16,4.54,24,144,12,8,0.5,43,3.98,-13.12,5,648,Justin Peters,.375,3,1,.875,300,343,0,Carolina Hurricanes,1,3
17,2.63,26,95,57,55,10.0,128,2.30,6.59,18,3337,Corey Crawford,.618,34,6,.917,1417,1545,4,Chicago Blackhawks,6,33
18,3.46,35,118,29,27,3.3,82,3.02,-12.39,11,1631,Marty Turco,.370,10,5,.897,717,799,1,Chicago Blackhawks,3,11
19,3.69,28,121,45,39,4.7,130,3.20,-22.50,21,2439,Peter Budaj,.333,13,7,.895,1104,1234,1,Colorado Avalanche,4,15
20,3.78,29,119,33,31,3.9,99,3.28,-15.63,15,1810,Craig Anderson,.484,15,9,.897,858,957,0,Colorado Avalanche,3,13
21,4.43,25,125,12,12,1.4,44,3.83,-8.81,8,690,Brian Elliott,.250,3,3,.891,360,404,0,Colorado Avalanche,1,2
22,3.49,22,114,54,53,7.0,153,3.03,-18.75,21,3027,Steve Mason,.472,25,14,.901,1388,1541,3,Columbus Blue Jackets,7,24
23,3.13,33,114,36,29,4.0,88,2.72,-10.73,14,1938,Mathieu Garon,.345,10,5,.901,799,887,3,Columbus Blue Jackets,6,10
24,6.00,27,,1,0,0.0,2,6.00,,0,20,David LeNeveu,,0,0,.833,10,12,0,Columbus Blue Jackets,0,0
25,2.93,27,98,69,68,12.5,175,2.55,2.98,24,4119,Kari Lehtonen,.559,38,8,.914,1868,2043,3,Dallas Stars,11,34
26,3.26,30,103,19,14,2.5,40,2.83,-1.15,5,847,Andrew Raycroft,.500,7,4,.910,406,446,2,Dallas Stars,0,8
27,0.00,23,,1,0,0.1,0,0.00,,0,10,Richard Bachman,,0,0,1.000,4,4,0,Dallas Stars,0,0
28,3.20,26,105,63,63,9.9,168,2.79,-8.58,17,3615,Jimmy Howard,.476,30,8,.908,1662,1830,2,Detroit Red Wings,5,37
29,3.15,38,,11,10,1.4,29,2.77,,3,629,Chris Osgood,.500,5,2,.903,269,298,0,Detroit Red Wings,2,5
30,3.00,30,96,15,9,2.4,31,2.58,1.41,5,721,Joey MacDonald,.333,3,2,.917,341,372,1,Detroit Red Wings,3,5
31,12.31,21,,1,0,-0.2,3,12.31,,0,15,Thomas McCollum,,0,0,.625,5,8,0,Detroit Red Wings,0,0
32,3.11,24,97,35,33,6.9,93,2.71,3.09,13,2061,Devan Dubnyk,.545,18,6,.916,1010,1103,2,Edmonton Oilers,8,12
33,3.93,38,126,47,46,4.5,153,3.40,-32.00,32,2701,Nikolai Khabibulin,.326,15,12,.890,1236,1389,2,Edmonton Oilers,4,10
34,1.62,36,,3,3,1.1,4,1.30,,0,185,Martin Gerber,1.000,3,0,.958,91,95,0,Edmonton Oilers,0,3
35,2.92,34,90,57,57,12.3,137,2.55,15.71,28,3224,Tomas Vokoun,.544,31,8,.922,1616,1753,6,Florida Panthers,5,22
36,3.01,33,102,31,25,4.8,74,2.62,-1.43,11,1696,Scott Clemmensen,.400,10,4,.911,759,833,1,Florida Panthers,7,8
37,3.01,21,,1,0,0.0,2,3.01,,1,40,Jacob Markstrom,,0,0,.857,12,14,0,Florida Panthers,0,0
38,2.56,25,94,61,60,10.7,134,2.24,8.09,22,3591,Jonathan Quick,.617,37,7,.918,1497,1631,6,Los Angeles Kings,3,35
39,2.83,22,100,25,22,3.9,57,2.48,-0.20,8,1378,Jonathan Bernier,.636,14,5,.913,595,652,3,Los Angeles Kings,3,11
40,3.06,32,97,51,50,9.8,132,2.66,4.42,23,2978,Niklas Backstrom,.580,29,9,.916,1434,1566,3,Minnesota Wild,5,22
41,3.11,34,97,32,29,6.1,81,2.71,2.89,11,1793,Jose Theodore,.552,16,2,.916,882,963,1,Minnesota Wild,3,15
42,1.91,24,,4,3,0.8,5,1.59,,1,189,Anton Khudobin,.667,2,1,.942,81,86,1,Minnesota Wild,0,2
43,2.70,23,88,72,70,15.4,165,2.35,22.04,28,4206,Carey Price,.600,42,9,.923,1982,2147,8,Montreal Canadiens,6,38
