ind,games,goals,goals_against_ev,goals_ev,goals_pp,losses,opp_goals,opp_goals_pp,pdo,pen_kill_pct,points,points_pct,power_play_pct,save_pct,shot_pct,sos,srs,team_name,wins,year,cup_champs,rank,avg_corsi_pct,player_point_avg,avg_plus_minus,avg_ops,avg_dps,avg_ps,fenwick_pct,score_balance_pct,ev_goal_diff,special_teams_diff,gf_pg,ga_pg
Vancouver Canucks_2014,82.0,196.0,152.0,146.0,39.0,35.0,223.0,46.0,99.4,83.21,83.0,0.506,15.18,0.908,7.6,0.03,-0.3,Vancouver Canucks,36.0,2014,0.0,25,50.573076923076925,18.178571428571427,-3.6071428571428568,0.9642857142857144,1.3642857142857143,2.803571428571428,51.22692307692307,0.16666666666666666,-6.0,-7.0,2.3902439024390243,2.7195121951219514
New York Islanders_2014,82.0,225.0,196.0,159.0,49.0,37.0,267.0,58.0,98.6,78.11,79.0,0.482,17.75,0.894,8.5,0.0,-0.51,New York Islanders,34.0,2014,0.0,26,49.43333333333334,17.727272727272727,-5.636363636363638,1.124242424242424,0.7393939393939396,2.169696969696969,49.30666666666668,0.2222222222222222,-37.0,-9.0,2.7439024390243905,3.2560975609756095
Calgary Flames_2014,82.0,209.0,188.0,151.0,39.0,40.0,241.0,43.0,98.9,81.7,77.0,0.47,15.66,0.899,9.2,0.04,-0.35,Calgary Flames,35.0,2014,0.0,27,45.86666666666667,18.0,-5.7666666666666675,1.0066666666666666,1.0633333333333337,2.416666666666666,46.91481481481482,0.16666666666666666,-37.0,-4.0,2.548780487804878,2.9390243902439024
Edmonton Oilers_2014,82.0,203.0,196.0,149.0,46.0,44.0,270.0,50.0,99.2,82.14,67.0,0.409,16.97,0.903,9.0,0.07,-0.75,Edmonton Oilers,29.0,2014,0.0,28,44.14814814814814,17.966666666666665,-10.7,0.9966666666666668,0.7266666666666666,2.086666666666668,43.918518518518525,0.2222222222222222,-47.0,-4.0,2.475609756097561,3.292682926829268
Florida Panthers_2014,82.0,196.0,193.0,153.0,27.0,45.0,268.0,63.0,98.5,75.95,66.0,0.402,10.04,0.897,7.7,0.01,-0.87,Florida Panthers,29.0,2014,0.0,29,50.38214285714286,15.21875,-5.8125,0.8062499999999998,0.728125,1.90625,50.08214285714287,0.0,-40.0,-36.0,2.3902439024390243,3.268292682926829
Buffalo Sabres_2014,82.0,157.0,175.0,109.0,36.0,51.0,248.0,51.0,98.4,81.39,52.0,0.317,14.06,0.913,7.0,0.02,-1.09,Buffalo Sabres,21.0,2014,0.0,30,43.12500000000001,11.617647058823529,-11.147058823529413,0.2764705882352941,0.8147058823529415,1.5470588235294118,42.928125,0.1111111111111111,-66.0,-15.0,1.9146341463414633,3.024390243902439
Chicago Blackhawks_2013,48.0,155.0,72.0,119.0,25.0,7.0,102.0,18.0,101.7,87.23,77.0,0.802,16.67,0.922,10.0,-0.07,1.04,Chicago Blackhawks,36.0,2013,1.0,1,54.17272727272727,16.25,8.916666666666666,1.2875,1.270833333333333,2.958333333333333,55.15,0.2777777777777778,47.0,7.0,3.2291666666666665,2.125
Pittsburgh Penguins_2013,48.0,165.0,82.0,118.0,42.0,12.0,119.0,34.0,102.5,79.64,72.0,0.75,24.71,0.915,11.3,-0.05,0.91,Pittsburgh Penguins,36.0,2013,0.0,3,48.29166666666666,16.692307692307693,6.307692307692308,1.3576923076923075,0.946153846153846,2.669230769230769,49.0625,0.3333333333333333,36.0,8.0,3.4375,2.4791666666666665
Anaheim Ducks_2013,48.0,140.0,80.0,100.0,29.0,12.0,118.0,30.0,101.5,81.48,66.0,0.688,21.48,0.914,9.9,-0.02,0.43,Anaheim Ducks,30.0,2013,0.0,9,47.40000000000001,15.166666666666664,4.208333333333333,1.033333333333333,1.0458333333333336,2.458333333333333,47.99090909090908,0.2222222222222222,20.0,-1.0,2.9166666666666665,2.4583333333333335
Montreal Canadiens_2013,48.0,149.0,87.0,104.0,42.0,14.0,126.0,35.0,100.9,79.77,63.0,0.6559999999999999,20.69,0.904,9.9,-0.02,0.46,Montreal Canadiens,29.0,2013,0.0,10,52.16666666666666,17.0,2.8260869565217392,1.2956521739130438,0.917391304347826,2.5086956521739125,52.319047619047616,0.4444444444444444,17.0,7.0,3.1041666666666665,2.625
Boston Bruins_2013,48.0,131.0,75.0,104.0,18.0,14.0,109.0,21.0,100.5,87.12,62.0,0.6459999999999999,14.75,0.92,8.2,-0.02,0.44,Boston Bruins,28.0,2013,0.0,2,53.26363636363635,14.166666666666664,4.791666666666667,0.9166666666666664,1.1375,2.520833333333333,52.67272727272727,0.2777777777777778,29.0,-3.0,2.7291666666666665,2.2708333333333335
St Louis Blues_2013,48.0,129.0,86.0,92.0,29.0,17.0,115.0,23.0,99.4,84.67,60.0,0.625,19.46,0.902,9.3,0.02,0.31,St Louis Blues,29.0,2013,0.0,11,52.01666666666666,12.74074074074074,0.2962962962962963,0.7814814814814814,1.0333333333333334,2.0222222222222217,53.0625,0.16666666666666666,6.0,6.0,2.6875,2.3958333333333335
Los Angeles Kings_2013,48.0,133.0,81.0,96.0,33.0,16.0,118.0,27.0,99.2,83.23,59.0,0.615,19.88,0.9,9.2,-0.02,0.29,Los Angeles Kings,27.0,2013,0.0,4,56.1909090909091,14.708333333333336,2.0416666666666665,0.9708333333333335,1.0916666666666666,2.3375,55.3090909090909,0.2777777777777778,15.0,6.0,2.7708333333333335,2.4583333333333335
Vancouver Canucks_2013,48.0,127.0,85.0,94.0,26.0,15.0,121.0,27.0,100.4,84.02,59.0,0.615,15.76,0.917,9.0,-0.06,0.07,Vancouver Canucks,26.0,2013,0.0,12,50.42400000000002,12.074074074074074,1.4444444444444444,0.7629629629629627,0.9111111111111112,2.025925925925926,49.50800000000001,0.16666666666666666,9.0,-1.0,2.6458333333333335,2.5208333333333335
Toronto Maple Leafs_2013,48.0,145.0,91.0,113.0,31.0,17.0,133.0,19.0,102.5,87.9,57.0,0.594,18.67,0.919,11.5,0.02,0.27,Toronto Maple Leafs,26.0,2013,0.0,13,43.99130434782609,15.6,0.44,1.2039999999999995,0.7519999999999999,2.3959999999999995,44.07391304347827,0.3333333333333333,22.0,12.0,3.0208333333333335,2.7708333333333335
Washington Capitals_2013,48.0,149.0,90.0,99.0,44.0,18.0,130.0,36.0,101.2,77.91,57.0,0.594,26.83,0.916,10.8,-0.09,0.31,Washington Capitals,27.0,2013,0.0,14,48.25652173913044,15.8,1.4,1.1839999999999995,0.7840000000000003,2.3720000000000003,48.30869565217391,0.2222222222222222,9.0,8.0,3.1041666666666665,2.7083333333333335
San Jose Sharks_2013,48.0,124.0,82.0,79.0,34.0,16.0,116.0,22.0,99.7,85.03,57.0,0.594,20.12,0.919,7.6,0.01,0.17,San Jose Sharks,25.0,2013,0.0,5,50.85217391304349,12.875,-1.7083333333333333,0.7416666666666663,1.0750000000000002,2.1958333333333333,51.39565217391304,0.2222222222222222,-3.0,12.0,2.5833333333333335,2.4166666666666665
Ottawa Senators_2013,48.0,116.0,79.0,85.0,25.0,17.0,104.0,20.0,99.6,88.02,56.0,0.583,15.92,0.933,7.0,0.02,0.27,Ottawa Senators,25.0,2013,0.0,6,53.68333333333334,11.037037037037036,1.1851851851851851,0.577777777777778,1.0111111111111108,2.081481481481481,52.57083333333333,0.1111111111111111,6.0,5.0,2.4166666666666665,2.1666666666666665
Detroit Red Wings_2013,48.0,124.0,75.0,85.0,34.0,16.0,115.0,30.0,100.2,81.71,56.0,0.583,18.38,0.917,8.4,0.01,0.2,Detroit Red Wings,24.0,2013,0.0,7,53.46956521739129,13.708333333333336,1.6666666666666667,0.8208333333333336,1.1,2.270833333333333,53.5695652173913,0.2222222222222222,10.0,4.0,2.5833333333333335,2.3958333333333335
New York Rangers_2013,48.0,130.0,73.0,97.0,24.0,18.0,112.0,28.0,100.8,81.08,56.0,0.583,15.69,0.92,8.5,0.0,0.38,New York Rangers,26.0,2013,0.0,8,50.184615384615384,12.185185185185185,3.814814814814815,0.8148148148148145,1.0074074074074073,2.1555555555555554,51.469230769230776,0.2222222222222222,24.0,-4.0,2.7083333333333335,2.3333333333333335
Columbus Blue Jackets_2013,48.0,120.0,88.0,90.0,22.0,17.0,119.0,25.0,101.2,82.64,55.0,0.573,14.19,0.92,9.0,0.01,0.03,Columbus Blue Jackets,24.0,2013,0.0,17,47.79583333333333,11.961538461538463,0.4230769230769231,0.6576923076923078,0.9423076923076924,2.011538461538461,46.27916666666667,0.1111111111111111,2.0,-3.0,2.5,2.4791666666666665
Minnesota Wild_2013,48.0,122.0,99.0,90.0,27.0,19.0,127.0,26.0,98.9,80.74,55.0,0.573,17.88,0.904,8.5,-0.05,-0.16,Minnesota Wild,26.0,2013,0.0,15,48.61904761904761,14.318181818181818,-1.4545454545454546,0.8090909090909091,1.05,2.122727272727273,48.70952380952381,0.2777777777777778,-9.0,1.0,2.5416666666666665,2.6458333333333335
New York Islanders_2013,48.0,139.0,108.0,102.0,31.0,17.0,139.0,28.0,99.1,80.28,55.0,0.573,19.87,0.899,9.1,0.03,0.03,New York Islanders,24.0,2013,0.0,16,49.44347826086957,15.208333333333336,-1.0833333333333333,1.0375000000000003,0.7999999999999998,2.1125000000000003,50.14782608695651,0.2777777777777778,-6.0,3.0,2.8958333333333335,2.8958333333333335
Phoenix Coyotes_2013,48.0,125.0,80.0,94.0,25.0,18.0,131.0,34.0,100.2,79.88,51.0,0.531,14.79,0.914,8.2,0.03,-0.1,Phoenix Coyotes,21.0,2013,0.0,18,50.5875,12.730769230769232,1.1923076923076923,0.7692307692307689,0.823076923076923,1.9038461538461533,50.71250000000001,0.3333333333333333,14.0,-9.0,2.6041666666666665,2.7291666666666665
Winnipeg Jets_2013,48.0,128.0,110.0,105.0,20.0,21.0,144.0,28.0,99.6,79.71,51.0,0.531,13.79,0.901,9.1,-0.03,-0.36,Winnipeg Jets,24.0,2013,0.0,19,49.20454545454547,14.391304347826088,-1.5217391304347827,0.9217391304347826,0.7347826086956523,1.943478260869565,48.90454545454546,0.2777777777777778,-5.0,-8.0,2.6666666666666665,3.0
Philadelphia Flyers_2013,48.0,133.0,85.0,93.0,37.0,22.0,141.0,26.0,99.1,85.87,49.0,0.51,21.64,0.902,9.5,0.03,-0.14,Philadelphia Flyers,23.0,2013,0.0,20,46.58399999999999,13.346153846153848,-3.6538461538461537,0.9230769230769232,0.6423076923076925,1.757692307692308,47.212,0.2222222222222222,8.0,11.0,2.7708333333333335,2.9375
Buffalo Sabres_2013,48.0,125.0,94.0,88.0,23.0,21.0,143.0,37.0,100.5,79.21,48.0,0.5,14.11,0.911,8.8,0.07,-0.31,Buffalo Sabres,21.0,2013,0.0,21,45.02608695652174,12.52,-1.76,0.7280000000000002,0.652,1.7960000000000005,44.79130434782609,0.16666666666666666,-6.0,-14.0,2.6041666666666665,2.9791666666666665
New Jersey Devils_2013,48.0,112.0,79.0,71.0,28.0,19.0,129.0,32.0,97.8,81.07,48.0,0.5,15.91,0.894,8.0,0.04,-0.31,New Jersey Devils,19.0,2013,0.0,22,55.83600000000001,10.333333333333334,-2.0,0.5111111111111111,0.8555555555555555,1.5370370370370372,55.816,0.1111111111111111,-8.0,-4.0,2.3333333333333335,2.6875
Dallas Stars_2013,48.0,130.0,92.0,97.0,29.0,22.0,142.0,34.0,101.1,81.01,48.0,0.5,16.96,0.904,10.2,0.05,-0.21,Dallas Stars,22.0,2013,0.0,23,48.816,12.74074074074074,-1.5185185185185186,0.7777777777777778,0.6333333333333334,1.7037037037037035,46.93600000000001,0.2222222222222222,5.0,-5.0,2.7083333333333335,2.9583333333333335
Edmonton Oilers_2013,48.0,125.0,98.0,85.0,34.0,22.0,134.0,29.0,100.6,83.43,45.0,0.469,20.12,0.917,9.6,-0.03,-0.22,Edmonton Oilers,19.0,2013,0.0,24,43.61666666666667,13.153846153846152,-2.5,0.7923076923076926,0.7269230769230768,1.942307692307693,44.14583333333334,0.2777777777777778,-13.0,5.0,2.6041666666666665,2.7916666666666665
Calgary Flames_2013,48.0,128.0,127.0,91.0,31.0,25.0,160.0,28.0,97.9,81.46,42.0,0.438,20.0,0.889,9.9,0.02,-0.65,Calgary Flames,19.0,2013,0.0,25,47.16666666666668,13.230769230769232,-6.269230769230768,0.8653846153846156,0.4692307692307693,1.5115384615384608,47.56666666666667,0.2222222222222222,-36.0,3.0,2.6666666666666665,3.3333333333333335
Carolina Hurricanes_2013,48.0,128.0,107.0,100.0,24.0,25.0,160.0,36.0,98.7,77.64,42.0,0.438,14.55,0.899,8.2,0.02,-0.65,Carolina Hurricanes,19.0,2013,0.0,26,51.94545454545453,13.32,-3.28,0.8959999999999998,0.4959999999999999,1.7000000000000002,50.76818181818181,0.2222222222222222,-7.0,-12.0,2.6666666666666665,3.3333333333333335
Nashville Predators_2013,48.0,111.0,89.0,84.0,24.0,23.0,139.0,34.0,99.7,75.54,41.0,0.4270000000000001,17.14,0.902,8.8,0.09,-0.5,Nashville Predators,16.0,2013,0.0,27,47.15833333333334,11.230769230769232,-2.230769230769231,0.5538461538461538,0.7384615384615383,1.5692307692307688,47.71250000000001,0.05555555555555555,-5.0,-10.0,2.3125,2.8958333333333335
Tampa Bay Lightning_2013,48.0,148.0,113.0,116.0,31.0,26.0,150.0,30.0,101.0,80.65,40.0,0.417,19.02,0.899,11.1,-0.07,-0.11,Tampa Bay Lightning,18.0,2013,0.0,28,47.47199999999999,15.333333333333336,0.1851851851851852,1.1296296296296298,0.562962962962963,1.8888888888888888,47.588,0.2222222222222222,3.0,1.0,3.0833333333333335,3.125
Colorado Avalanche_2013,48.0,116.0,108.0,90.0,21.0,25.0,152.0,36.0,98.6,80.33,39.0,0.406,15.0,0.899,8.1,0.02,-0.73,Colorado Avalanche,16.0,2013,0.0,29,48.94583333333333,11.807692307692307,-4.230769230769232,0.6423076923076925,0.5423076923076924,1.4807692307692308,49.087499999999984,0.1111111111111111,-18.0,-15.0,2.4166666666666665,3.1666666666666665
Florida Panthers_2013,48.0,112.0,122.0,76.0,29.0,27.0,171.0,39.0,96.6,74.17,36.0,0.375,20.42,0.887,7.8,0.05,-1.18,Florida Panthers,15.0,2013,0.0,30,48.8875,10.148148148148149,-8.74074074074074,0.5222222222222221,0.3407407407407408,1.051851851851852,48.125,0.2222222222222222,-46.0,-10.0,2.3333333333333335,3.5625
Vancouver Canucks_2012,82.0,249.0,139.0,177.0,57.0,22.0,198.0,40.0,101.2,86.01,111.0,0.677,19.79,0.926,9.3,-0.05,0.57,Vancouver Canucks,51.0,2012,0.0,9,51.68846153846154,23.5,5.7857142857142865,1.6857142857142855,1.55,3.928571428571429,50.6423076923077,0.3888888888888889,38.0,17.0,3.0365853658536586,2.4146341463414633
New York Rangers_2012,82.0,226.0,142.0,170.0,44.0,24.0,187.0,36.0,100.9,86.15,109.0,0.665,15.71,0.92,9.5,-0.02,0.46,New York Rangers,51.0,2012,0.0,3,47.53333333333333,23.153846153846153,5.5769230769230775,1.5192307692307692,1.8730769230769229,4.026923076923077,49.02083333333332,0.2222222222222222,28.0,8.0,2.7560975609756095,2.2804878048780486
St Louis Blues_2012,82.0,210.0,112.0,154.0,45.0,22.0,165.0,40.0,100.7,85.82,109.0,0.665,16.73,0.929,8.2,-0.01,0.54,St Louis Blues,49.0,2012,0.0,5,53.21666666666667,21.115384615384613,8.153846153846152,1.2846153846153845,2.169230769230769,4.15,53.925,0.2222222222222222,42.0,5.0,2.5609756097560976,2.0121951219512195
Pittsburgh Penguins_2012,82.0,282.0,175.0,205.0,57.0,25.0,221.0,33.0,99.8,87.78,108.0,0.659,19.72,0.903,9.8,-0.03,0.71,Pittsburgh Penguins,51.0,2012,0.0,10,54.08076923076922,27.444444444444446,5.37037037037037,2.2703703703703706,1.4111111111111108,4.114814814814815,54.019230769230774,0.3333333333333333,30.0,24.0,3.4390243902439024,2.6951219512195124
Nashville Predators_2012,82.0,237.0,153.0,173.0,54.0,26.0,210.0,40.0,101.0,83.61,104.0,0.634,21.6,0.918,10.3,0.01,0.34,Nashville Predators,48.0,2012,0.0,6,45.977777777777774,21.75862068965517,1.9310344827586208,1.5068965517241382,1.3724137931034486,3.4965517241379307,46.44814814814816,0.3888888888888889,20.0,14.0,2.8902439024390243,2.5609756097560976
Philadelphia Flyers_2012,82.0,264.0,141.0,188.0,66.0,26.0,232.0,58.0,100.4,81.82,103.0,0.628,19.7,0.905,9.8,0.0,0.39,Philadelphia Flyers,47.0,2012,0.0,7,50.618518518518506,24.48275862068965,4.103448275862069,1.9344827586206896,1.186206896551724,3.544827586206896,50.89629629629631,0.4444444444444444,47.0,8.0,3.2195121951219514,2.8292682926829267
Detroit Red Wings_2012,82.0,248.0,139.0,189.0,48.0,28.0,203.0,50.0,101.2,81.75,102.0,0.622,16.11,0.91,9.1,0.0,0.55,Detroit Red Wings,48.0,2012,0.0,11,54.87826086956521,25.26923076923077,8.038461538461537,1.807692307692308,1.6923076923076923,4.019230769230768,54.73478260869565,0.2777777777777778,50.0,-2.0,3.024390243902439,2.475609756097561
New Jersey Devils_2012,82.0,228.0,145.0,155.0,46.0,28.0,209.0,27.0,99.7,89.58,102.0,0.622,17.23,0.908,9.6,0.0,0.23,New Jersey Devils,48.0,2012,0.0,2,49.18571428571429,19.566666666666666,-1.9666666666666663,1.2233333333333334,1.403333333333333,3.0533333333333337,49.26785714285713,0.3888888888888889,10.0,19.0,2.7804878048780486,2.548780487804878
Boston Bruins_2012,82.0,269.0,149.0,209.0,43.0,29.0,202.0,43.0,101.2,83.46,102.0,0.622,17.2,0.919,9.8,-0.07,0.75,Boston Bruins,49.0,2012,0.0,12,53.08636363636364,28.41666666666667,11.791666666666664,2.35,1.779166666666666,4.795833333333335,52.8590909090909,0.3333333333333333,60.0,0.0,3.2804878048780486,2.4634146341463414
Chicago Blackhawks_2012,82.0,248.0,152.0,192.0,42.0,26.0,238.0,51.0,99.2,78.11,101.0,0.616,15.16,0.902,9.3,0.02,0.14,Chicago Blackhawks,45.0,2012,0.0,13,52.1,22.724137931034484,2.896551724137931,1.6551724137931036,1.1310344827586205,3.16551724137931,51.85555555555555,0.2777777777777778,40.0,-9.0,3.024390243902439,2.902439024390244
Phoenix Coyotes_2012,82.0,216.0,150.0,170.0,34.0,27.0,204.0,36.0,100.9,85.54,97.0,0.591,13.55,0.925,8.6,0.01,0.16,Phoenix Coyotes,42.0,2012,0.0,4,49.51153846153846,20.571428571428573,3.3571428571428568,1.2321428571428572,1.4892857142857143,3.417857142857144,48.67307692307693,0.2222222222222222,20.0,-2.0,2.6341463414634148,2.4878048780487805
San Jose Sharks_2012,82.0,228.0,126.0,159.0,57.0,29.0,210.0,52.0,99.6,76.89,96.0,0.585,21.11,0.916,7.9,0.0,0.22,San Jose Sharks,43.0,2012,0.0,14,51.39199999999999,22.592592592592588,1.9259259259259256,1.4444444444444444,1.5481481481481478,3.5333333333333345,52.61200000000001,0.3333333333333333,33.0,5.0,2.7804878048780486,2.5609756097560976
Los Angeles Kings_2012,82.0,194.0,127.0,130.0,49.0,27.0,179.0,38.0,99.1,87.03,95.0,0.579,16.96,0.923,7.5,0.01,0.19,Los Angeles Kings,40.0,2012,1.0,1,53.82400000000001,18.962962962962962,0.925925925925926,0.9407407407407408,1.9074074074074068,3.4518518518518517,53.076,0.2222222222222222,3.0,11.0,2.3658536585365852,2.182926829268293
Florida Panthers_2012,82.0,203.0,153.0,140.0,53.0,26.0,227.0,49.0,99.4,79.5,94.0,0.573,18.53,0.914,8.1,-0.03,-0.33,Florida Panthers,38.0,2012,0.0,15,49.06071428571428,17.766666666666666,-3.433333333333333,0.9666666666666668,1.1633333333333329,2.623333333333333,49.075,0.2222222222222222,-13.0,4.0,2.475609756097561,2.768292682926829
Ottawa Senators_2012,82.0,249.0,172.0,185.0,49.0,31.0,240.0,57.0,100.1,81.61,92.0,0.561,18.15,0.91,9.4,-0.02,0.09,Ottawa Senators,41.0,2012,0.0,16,52.24399999999999,24.18518518518519,2.962962962962963,1.8259259259259264,1.1370370370370373,3.4259259259259265,51.08800000000001,0.2777777777777778,13.0,-8.0,3.0365853658536586,2.926829268292683
Washington Capitals_2012,82.0,222.0,167.0,174.0,41.0,32.0,230.0,49.0,100.4,81.58,92.0,0.561,16.73,0.909,9.5,-0.03,-0.13,Washington Capitals,42.0,2012,0.0,8,48.99565217391304,23.28,-0.68,1.5239999999999996,1.376,3.4319999999999995,49.24347826086955,0.2777777777777778,7.0,-8.0,2.707317073170732,2.8048780487804876
Calgary Flames_2012,82.0,202.0,166.0,150.0,46.0,29.0,226.0,42.0,100.3,84.33,90.0,0.5489999999999999,17.69,0.914,8.8,0.01,-0.28,Calgary Flames,37.0,2012,0.0,17,47.6962962962963,18.571428571428573,-4.5,1.0607142857142855,1.239285714285714,2.8178571428571435,47.159259259259265,0.2222222222222222,-16.0,4.0,2.4634146341463414,2.7560975609756095
Dallas Stars_2012,82.0,211.0,153.0,166.0,33.0,35.0,222.0,52.0,99.8,82.84,89.0,0.5429999999999999,13.52,0.91,8.8,0.03,-0.1,Dallas Stars,42.0,2012,0.0,18,50.24347826086956,22.76,0.88,1.3119999999999996,1.4679999999999995,3.3760000000000003,50.65652173913043,0.2222222222222222,13.0,-19.0,2.573170731707317,2.707317073170732
Buffalo Sabres_2012,82.0,218.0,162.0,162.0,44.0,32.0,230.0,47.0,100.6,81.71,89.0,0.5429999999999999,17.05,0.914,8.8,0.0,-0.15,Buffalo Sabres,39.0,2012,0.0,19,49.20357142857142,18.966666666666665,-1.1666666666666667,1.1333333333333329,1.1233333333333333,2.7933333333333343,48.332142857142856,0.2222222222222222,0.0,-3.0,2.658536585365854,2.8048780487804876
Colorado Avalanche_2012,82.0,208.0,150.0,153.0,41.0,35.0,220.0,47.0,99.2,83.03,88.0,0.537,18.39,0.912,7.7,0.01,-0.13,Colorado Avalanche,41.0,2012,0.0,20,51.176923076923096,19.25,-2.821428571428572,1.1,1.3357142857142856,2.9821428571428568,50.35,0.16666666666666666,3.0,-6.0,2.5365853658536586,2.682926829268293
Tampa Bay Lightning_2012,82.0,235.0,194.0,189.0,41.0,36.0,281.0,59.0,100.1,79.23,84.0,0.512,15.24,0.887,10.4,-0.01,-0.57,Tampa Bay Lightning,38.0,2012,0.0,21,46.8,20.032258064516128,-4.741935483870968,1.4258064516129028,0.6161290322580646,2.3096774193548395,47.61724137931036,0.2777777777777778,-5.0,-18.0,2.8658536585365852,3.426829268292683
Winnipeg Jets_2012,82.0,225.0,176.0,173.0,45.0,35.0,246.0,58.0,99.8,80.14,84.0,0.512,17.93,0.902,8.9,-0.04,-0.3,Winnipeg Jets,37.0,2012,0.0,22,49.60833333333333,22.884615384615387,-1.5384615384615383,1.5384615384615388,1.1038461538461537,3.119230769230769,50.3375,0.3333333333333333,-3.0,-13.0,2.7439024390243905,3.0
Carolina Hurricanes_2012,82.0,213.0,184.0,150.0,49.0,33.0,243.0,49.0,99.5,80.56,82.0,0.5,16.67,0.911,8.5,-0.02,-0.39,Carolina Hurricanes,33.0,2012,0.0,23,48.07692307692307,20.185185185185187,-5.333333333333333,1.329629629629629,1.1074074074074078,2.937037037037037,47.50384615384615,0.16666666666666666,-34.0,0.0,2.597560975609756,2.9634146341463414
Minnesota Wild_2012,82.0,177.0,158.0,122.0,39.0,36.0,226.0,51.0,98.9,82.11,81.0,0.494,15.12,0.915,7.6,0.02,-0.58,Minnesota Wild,35.0,2012,0.0,24,43.81290322580646,12.794117647058822,-5.647058823529411,0.4705882352941178,1.0294117647058825,2.0,44.458064516129035,0.16666666666666666,-36.0,-12.0,2.158536585365854,2.7560975609756095
Anaheim Ducks_2012,82.0,204.0,168.0,152.0,45.0,36.0,231.0,51.0,99.6,81.98,80.0,0.488,16.61,0.905,8.8,0.04,-0.29,Anaheim Ducks,34.0,2012,0.0,25,47.4125,21.6,-3.32,1.2520000000000002,1.392,3.1,47.6,0.2222222222222222,-16.0,-6.0,2.4878048780487805,2.817073170731707
Toronto Maple Leafs_2012,82.0,231.0,195.0,173.0,49.0,37.0,264.0,55.0,99.5,77.27,80.0,0.488,18.35,0.898,9.8,0.02,-0.38,Toronto Maple Leafs,35.0,2012,0.0,26,48.134615384615394,21.13793103448276,-5.206896551724138,1.4551724137931032,0.8275862068965515,2.679310344827587,47.1576923076923,0.3333333333333333,-22.0,-6.0,2.817073170731707,3.2195121951219514
New York Islanders_2012,82.0,203.0,200.0,147.0,45.0,37.0,255.0,46.0,98.2,80.51,79.0,0.482,18.52,0.898,8.1,0.05,-0.58,New York Islanders,34.0,2012,0.0,27,47.148,20.037037037037038,-10.444444444444443,1.0703703703703702,0.9888888888888892,2.437037037037037,48.216,0.3333333333333333,-53.0,-1.0,2.475609756097561,3.1097560975609757
Montreal Canadiens_2012,82.0,212.0,156.0,154.0,43.0,35.0,226.0,36.0,100.4,88.57,78.0,0.476,14.29,0.912,8.8,0.0,-0.17,Montreal Canadiens,31.0,2012,0.0,28,47.86774193548386,16.757575757575758,-2.4242424242424243,1.0242424242424242,1.103030303030303,2.5939393939393933,47.36129032258064,0.2222222222222222,-2.0,7.0,2.5853658536585367,2.7560975609756095
Edmonton Oilers_2012,82.0,212.0,170.0,148.0,54.0,40.0,239.0,52.0,100.1,82.43,74.0,0.451,20.61,0.909,9.5,0.01,-0.32,Edmonton Oilers,32.0,2012,0.0,29,46.473076923076924,19.964285714285715,-4.642857142857143,1.2071428571428566,1.1142857142857143,2.8392857142857144,46.82692307692307,0.2777777777777778,-22.0,2.0,2.5853658536585367,2.9146341463414633
Columbus Blue Jackets_2012,82.0,202.0,176.0,142.0,49.0,46.0,262.0,64.0,99.2,76.64,65.0,0.396,15.46,0.899,8.1,0.08,-0.65,Columbus Blue Jackets,29.0,2012,0.0,30,47.089655172413785,16.59375,-6.9375,0.9531249999999998,0.753125,2.090625,47.29310344827587,0.1111111111111111,-34.0,-15.0,2.4634146341463414,3.1951219512195124
Vancouver Canucks_2011,82.0,262.0,133.0,180.0,72.0,19.0,185.0,45.0,101.3,85.58,117.0,0.713,24.32,0.927,9.8,-0.07,0.87,Vancouver Canucks,54.0,2011,0.0,2,50.46296296296296,24.17241379310345,8.551724137931034,1.7862068965517246,1.7137931034482756,4.182758620689656,50.39629629629629,0.3333333333333333,47.0,27.0,3.1951219512195124,2.2560975609756095
Washington Capitals_2011,82.0,224.0,143.0,166.0,46.0,23.0,197.0,43.0,100.2,85.62,107.0,0.652,17.49,0.92,8.5,-0.06,0.27,Washington Capitals,48.0,2011,0.0,6,50.93703703703704,19.466666666666665,3.966666666666667,1.18,1.5599999999999996,3.2666666666666666,51.04814814814816,0.2222222222222222,23.0,3.0,2.731707317073171,2.402439024390244
Philadelphia Flyers_2011,82.0,259.0,149.0,194.0,49.0,23.0,223.0,54.0,101.1,82.75,106.0,0.6459999999999999,16.61,0.912,9.8,-0.04,0.4,Philadelphia Flyers,47.0,2011,0.0,5,48.57619047619047,29.65217391304348,9.478260869565217,2.247826086956522,1.6956521739130432,4.600000000000001,49.19047619047619,0.3333333333333333,45.0,-5.0,3.158536585365854,2.7195121951219514
Pittsburgh Penguins_2011,82.0,238.0,145.0,166.0,49.0,25.0,199.0,45.0,100.1,86.11,106.0,0.6459999999999999,15.76,0.917,8.8,-0.05,0.43,Pittsburgh Penguins,49.0,2011,0.0,9,52.68148148148148,20.931034482758623,4.551724137931036,1.3655172413793102,1.6034482758620692,3.5137931034482763,52.23703703703704,0.2222222222222222,21.0,4.0,2.902439024390244,2.426829268292683
