,Adjusted GAA,Age,GA Pct -,Games Played,Games Started,Goalie Point Shares,Goals Against,Goals Against Average,Goals Saved Above Average,Losses,Minutes,Player,Quality Start Percentage,Quality Starts,Really Bad Starts,Save Percentage,Saves,Shots Against,Shutouts,Team,Ties OT Losses,Wins
54,3.66,26,124,31,26,3.0,89,3.11,-17.06,11,1720,Al Montoya,.500,13,8,.893,743,832,0,New York Islanders,5,9
55,4.41,30,,8,6,0.3,22,3.73,,2,354,Rick DiPietro,.167,1,2,.876,155,177,0,New York Islanders,3,3
56,3.64,21,,6,6,0.9,15,3.04,,4,296,Kevin Poulin,.333,2,1,.907,147,162,0,New York Islanders,0,2
57,3.31,21,,4,3,0.6,10,2.75,,2,218,Anders Nilsson,.667,2,0,.911,102,112,1,New York Islanders,0,1
58,2.32,29,81,62,62,14.1,123,1.97,28.57,18,3754,Henrik Lundqvist,.645,40,3,.930,1630,1753,8,New York Rangers,5,39
59,2.90,34,111,21,20,2.5,50,2.46,-5.13,6,1220,Martin Biron,.350,7,4,.904,469,519,2,New York Rangers,2,12
60,3.37,30,100,63,60,11.7,165,2.83,0.75,22,3492,Craig Anderson,.567,34,9,.914,1752,1917,3,Ottawa Senators,6,33
61,2.41,20,,5,5,1.3,10,2.01,,2,299,Robin Lehner,.800,4,0,.935,144,154,1,Ottawa Senators,0,3
62,2.93,25,,10,9,1.4,22,2.48,,3,532,Ben Bishop,.556,5,1,.909,221,243,0,Ottawa Senators,2,3
63,4.00,31,,14,8,0.8,36,3.35,,4,645,Alex Auld,.250,2,2,.884,274,310,0,Ottawa Senators,2,2
64,2.93,31,105,59,57,8.6,141,2.48,-6.64,16,3415,Ilya Bryzgalov,.561,32,14,.909,1413,1554,6,Philadelphia Flyers,7,33
65,3.56,23,117,29,25,3.3,78,3.02,-11.51,10,1550,Sergei Bobrovsky,.440,11,5,.899,691,769,0,Philadelphia Flyers,2,14
66,2.79,27,100,67,64,10.7,153,2.36,-0.13,17,3896,Marc-Andre Fleury,.563,36,7,.913,1615,1768,3,Pittsburgh Penguins,4,42
67,3.70,34,135,16,14,0.9,42,3.11,-10.96,7,811,Brent Johnson,.286,4,5,.883,317,359,0,Pittsburgh Penguins,2,6
68,4.42,25,,5,4,-0.1,16,3.72,,1,258,Brad Thiessen,.500,2,1,.858,97,113,0,Pittsburgh Penguins,0,3
69,2.87,28,99,68,68,11.6,159,2.42,2.25,22,3936,Antti Niemi,.529,36,9,.915,1706,1865,6,San Jose Sharks,9,34
70,2.70,26,98,19,14,3.0,40,2.30,0.81,7,1043,Thomas Greiss,.500,7,2,.915,432,472,0,San Jose Sharks,1,9
71,2.32,26,86,46,46,9.1,90,1.97,14.71,12,2747,Jaroslav Halak,.630,29,5,.926,1121,1211,6,St. Louis Blues,7,26
72,1.83,26,69,38,36,9.0,58,1.56,26.04,10,2235,Brian Elliott,.778,28,1,.940,914,972,9,St. Louis Blues,4,23
73,3.38,34,115,48,44,5.4,118,2.85,-15.02,16,2484,Mathieu Garon,.455,20,7,.901,1073,1191,1,Tampa Bay Lightning,4,23
74,4.35,42,131,40,31,3.2,128,3.66,-30.64,16,2099,Dwayne Roloson,.290,9,9,.886,998,1126,1,Tampa Bay Lightning,3,13
75,3.56,31,,3,2,0.1,7,3.12,,1,135,Sebastien Caron,.500,1,1,.877,50,57,0,Tampa Bay Lightning,0,1
76,4.19,22,,5,5,0.2,14,3.45,,3,244,Dustin Tokarski,.200,1,2,.879,102,116,0,Tampa Bay Lightning,1,1
77,3.47,27,113,42,36,5.4,112,2.92,-12.83,17,2301,Jonas Gustavsson,.389,14,2,.902,1035,1147,4,Toronto Maple Leafs,4,17
78,3.67,23,115,34,34,4.4,97,3.10,-12.79,14,1879,James Reimer,.382,13,9,.900,877,974,3,Toronto Maple Leafs,4,14
79,3.66,25,113,12,11,1.7,35,3.13,-3.96,5,672,Ben Scrivens,.455,5,1,.903,324,359,0,Toronto Maple Leafs,2,4
80,4.85,24,,2,1,-0.2,7,4.25,,1,99,Jussi Rynnas,.000,0,1,.825,33,40,0,Toronto Maple Leafs,0,0
81,2.85,32,93,55,54,10.7,127,2.41,9.35,14,3162,Roberto Luongo,.593,32,7,.919,1450,1577,5,Vancouver Canucks,8,31
82,2.32,25,73,33,28,8.4,60,1.96,21.71,8,1833,Cory Schneider,.714,20,2,.937,885,945,3,Vancouver Canucks,1,20
83,2.97,35,96,48,46,8.4,108,2.51,4.31,17,2583,Tomas Vokoun,.500,23,8,.917,1191,1299,4,Washington Capitals,2,25
84,3.33,23,113,38,30,4.7,95,2.82,-10.61,13,2020,Michal Neuvirth,.500,15,4,.903,881,976,3,Washington Capitals,5,13
85,3.00,22,,7,6,1.4,15,2.50,,2,361,Braden Holtby,.500,3,1,.922,177,192,1,Washington Capitals,1,4
86,3.46,24,108,68,67,10.6,191,2.91,-14.96,28,3932,Ondrej Pavelec,.522,35,12,.906,1845,2036,4,Winnipeg Jets,9,29
87,3.08,35,118,20,15,1.8,43,2.59,-6.51,7,995,Chris Mason,.400,6,3,.898,379,422,2,Winnipeg Jets,1,8
88,0.00,27,,1,0,0.1,0,0.00,,0,20,Peter Mannino,,0,0,1.000,4,4,0,Winnipeg Jets,0,0
