,Adjusted GAA,Age,GA Pct -,Games Played,Games Started,Goalie Point Shares,Goals Against,Goals Against Average,Goals Saved Above Average,Losses,Minutes,Player,Quality Start Percentage,Quality Starts,Really Bad Starts,Save Percentage,Saves,Shots Against,Shutouts,Team,Ties OT Losses,Wins
0,3.03,29,104,73,72,11.4,182,2.57,-7.26,30,4253,Jonas Hiller,.542,39,14,.910,1839,2021,4,Anaheim Ducks,12,29
1,3.23,27,,4,4,0.5,11,2.74,,1,241,Jeff Deslauriers,.500,2,0,.903,102,113,0,Anaheim Ducks,0,3
2,5.88,26,,1,0,-0.2,3,4.41,,0,41,Iiro Tarkki,,0,0,.700,7,10,0,Anaheim Ducks,0,1
3,3.15,31,,10,5,1.2,19,2.72,,5,419,Dan Ellis,.200,1,1,.911,195,214,0,Anaheim Ducks,0,1
4,2.61,29,81,67,67,16.7,144,2.21,34.63,18,3903,Mike Smith,.627,42,9,.930,1922,2066,8,Phoenix Coyotes,10,38
5,3.02,32,102,19,14,2.8,43,2.54,-0.98,9,1015,Jason LaBarbera,.571,8,1,.912,443,486,0,Phoenix Coyotes,3,3
6,1.67,28,,2,1,0.4,2,1.67,,0,72,Curtis McElhinney,1.000,1,0,.944,34,36,0,Phoenix Coyotes,0,1
7,2.79,37,92,59,55,11.5,132,2.36,11.44,19,3352,Tim Thomas,.545,30,3,.920,1527,1659,5,Boston Bruins,1,35
8,2.42,24,82,23,22,4.9,44,2.05,9.69,8,1289,Tuukka Rask,.591,13,4,.929,577,621,3,Boston Bruins,3,11
9,4.37,36,,5,4,-0.1,16,3.68,,2,261,Marty Turco,.250,1,2,.855,94,110,0,Boston Bruins,0,2
10,1.00,25,,1,1,0.6,1,1.00,,0,60,Anton Khudobin,1.000,1,0,.978,44,45,0,Boston Bruins,0,1
11,3.00,31,97,61,60,11.4,150,2.54,4.59,21,3536,Ryan Miller,.550,33,7,.916,1638,1788,6,Buffalo Sabres,7,31
12,3.22,23,96,26,22,4.9,63,2.70,2.37,11,1399,Jhonas Enroth,.682,15,4,.917,693,756,1,Buffalo Sabres,4,8
13,1.38,28,,2,0,0.2,1,1.38,,0,43,Drew MacIntyre,,0,0,.944,17,18,0,Buffalo Sabres,0,0
14,2.78,35,92,70,68,14.1,162,2.35,14.38,22,4128,Miikka Kiprusoff,.588,40,6,.921,1878,2040,4,Calgary Flames,11,35
15,3.80,23,,7,7,1.4,21,3.19,,3,394,Leland Irving,.714,5,1,.912,218,239,0,Calgary Flames,3,1
16,3.70,28,,9,7,1.1,24,3.17,,4,454,Henrik Karlsson,.286,2,1,.900,215,239,0,Calgary Flames,2,1
17,3.25,27,98,68,68,13.4,182,2.74,3.29,23,3988,Cam Ward,.559,38,10,.915,1961,2143,5,Carolina Hurricanes,13,30
18,2.95,25,,7,6,1.9,16,2.48,,3,387,Justin Peters,.833,5,0,.931,217,233,1,Carolina Hurricanes,2,2
19,4.06,35,,10,8,0.6,31,3.40,,6,546,Brian Boucher,.250,2,2,.881,229,260,0,Carolina Hurricanes,1,1
20,0.00,23,,2,0,0.1,0,0.00,,1,36,Mike Murphy,,0,0,1.000,9,9,0,Carolina Hurricanes,0,0
21,3.23,27,112,57,55,7.3,146,2.72,-15.70,17,3218,Corey Crawford,.491,27,13,.903,1361,1507,0,Chicago Blackhawks,7,30
22,3.31,29,115,34,27,3.8,83,2.81,-10.89,9,1774,Ray Emery,.444,12,5,.900,751,834,0,Chicago Blackhawks,4,15
23,3.07,23,101,53,52,9.4,136,2.59,-0.77,24,3151,Semyon Varlamov,.538,28,10,.913,1428,1564,4,Colorado Avalanche,3,26
24,2.67,34,94,32,30,5.7,69,2.28,4.49,11,1820,Jean-Sebastien Giguere,.633,19,4,.919,781,850,2,Colorado Avalanche,3,15
25,4.03,23,122,46,45,5.1,143,3.39,-25.84,26,2534,Steve Mason,.422,19,15,.894,1212,1355,1,Columbus Blue Jackets,3,16
26,3.09,32,102,36,32,5.7,86,2.60,-2.05,18,1983,Curtis Sanford,.563,18,6,.911,885,971,1,Columbus Blue Jackets,4,10
27,2.74,22,,11,5,1.4,16,2.30,,2,417,Allen York,.600,3,0,.920,183,199,0,Columbus Blue Jackets,0,3
28,0.00,24,,1,0,0.0,0,0.00,,0,3,Shawn Hunwick,,0,0,,0,0,0,Columbus Blue Jackets,0,0
29,2.75,28,90,59,59,12.3,136,2.33,14.36,22,3497,Kari Lehtonen,.610,36,7,.922,1603,1739,4,Dallas Stars,4,32
30,3.28,24,104,18,15,2.7,43,2.77,-1.76,5,933,Richard Bachman,.600,9,2,.910,434,477,1,Dallas Stars,1,8
31,4.19,31,,10,8,1.3,31,3.51,,8,529,Andrew Raycroft,.375,3,2,.898,272,303,0,Dallas Stars,0,2
32,2.50,27,92,57,57,10.3,119,2.12,10.35,17,3360,Jimmy Howard,.614,35,8,.920,1377,1496,6,Detroit Red Wings,4,35
33,2.53,31,102,14,12,1.9,29,2.16,-0.47,5,806,Joey MacDonald,.417,5,1,.912,301,330,0,Detroit Red Wings,1,8
34,3.88,35,135,15,13,0.9,44,3.28,-11.32,6,805,Ty Conklin,.385,5,4,.884,334,378,1,Detroit Red Wings,1,5
35,3.17,25,99,47,42,8.5,118,2.67,1.32,20,2653,Devan Dubnyk,.548,23,6,.914,1262,1380,2,Edmonton Oilers,3,20
36,3.13,39,104,40,40,6.3,100,2.65,-3.68,20,2261,Nikolai Khabibulin,.500,20,6,.910,1014,1114,2,Edmonton Oilers,7,12
37,3.70,30,,1,0,0.0,2,3.70,,0,32,Yann Danis,,0,0,.833,10,12,0,Edmonton Oilers,0,0
38,2.91,35,96,53,51,9.7,125,2.46,4.87,16,3049,Jose Theodore,.627,32,6,.917,1377,1502,3,Florida Panthers,11,22
39,3.03,34,100,30,25,4.7,67,2.57,-0.16,6,1566,Scott Clemmensen,.640,16,5,.913,706,773,1,Florida Panthers,6,14
40,3.13,22,,7,6,1.6,17,2.66,,4,383,Jacob Markstrom,.500,3,0,.923,205,222,0,Florida Panthers,1,2
41,0.00,24,,1,0,0.0,0,0.00,,0,5,Brian Foster,,0,0,1.000,1,1,0,Florida Panthers,0,0
42,2.28,26,83,69,68,14.7,133,1.95,28.08,21,4099,Jonathan Quick,.632,43,8,.929,1730,1863,10,Los Angeles Kings,13,35
43,2.76,23,106,16,13,2.1,35,2.36,-1.88,6,890,Jonathan Bernier,.462,6,1,.909,348,383,1,Los Angeles Kings,2,5
44,2.87,33,93,46,45,8.8,105,2.43,7.31,18,2590,Niklas Backstrom,.533,24,8,.919,1194,1299,4,Minnesota Wild,7,19
45,3.11,27,95,34,30,6.4,81,2.62,3.82,12,1855,Josh Harding,.600,18,4,.917,900,981,2,Minnesota Wild,4,13
46,2.81,21,,12,7,2.0,22,2.38,,6,556,Matt Hackett,.429,3,2,.922,260,282,0,Minnesota Wild,0,3
47,2.88,24,97,65,65,12.3,160,2.43,5.49,28,3944,Carey Price,.538,35,8,.916,1754,1914,4,Montreal Canadiens,11,26
48,3.01,29,100,17,17,3.1,44,2.55,-0.08,7,1037,Peter Budaj,.471,8,0,.913,464,508,0,Montreal Canadiens,5,5
49,2.82,29,89,73,72,15.5,166,2.39,20.15,18,4169,Pekka Rinne,.611,44,10,.923,1987,2153,5,Nashville Predators,8,43
50,2.88,23,102,16,10,2.1,32,2.42,-0.53,8,792,Anders Lindback,.500,5,2,.912,332,364,0,Nashville Predators,0,5
51,2.85,39,107,59,59,7.9,136,2.41,-8.73,21,3392,Martin Brodeur,.492,29,11,.908,1336,1472,3,New Jersey Devils,4,31
52,2.64,38,95,27,23,4.7,59,2.22,3.08,7,1591,Johan Hedberg,.522,12,1,.918,659,718,4,New Jersey Devils,2,17
53,3.00,36,100,42,41,7.2,101,2.55,0.33,18,2378,Evgeni Nabokov,.561,23,8,.914,1071,1172,2,New York Islanders,3,19
