,average_age,chances_pp,games,goals,goals_pp,goals_sh,losses,losses_ot,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team,total_goals_per_game,wins
0,28.5,271,82,201,45,4,36,12,283,224,51,5,99.5,81.98,80,0.488,16.61,0.909,8.8,2291,2358,0.04,-0.29,Anaheim Ducks,5.3,34
1,28.9,251,82,210,34,6,27,13,249,194,36,6,101.1,85.54,97,0.591,13.55,0.927,8.6,2429,2588,0.01,0.16,Phoenix Coyotes,5.12,42
2,28.8,250,82,260,43,8,29,4,260,199,43,1,101.5,83.46,102,0.622,17.2,0.9209999999999999,9.8,2653,2435,-0.07,0.75,Boston Bruins,5.74,49
3,27.0,258,82,211,44,5,32,11,257,223,47,7,100.3,81.71,89,0.5429999999999999,17.05,0.9159999999999999,8.8,2397,2562,0.0,-0.15,Buffalo Sabres,5.46,39
4,29.6,260,82,199,46,3,29,16,268,217,42,6,100.2,84.33,90,0.5489999999999999,17.69,0.9179999999999999,8.8,2258,2518,0.01,-0.28,Calgary Flames,5.22,37
5,26.5,294,82,212,49,12,33,16,252,237,49,4,99.7,80.56,82,0.5,16.67,0.9129999999999999,8.5,2497,2645,-0.02,-0.39,Carolina Hurricanes,5.56,33
6,27.0,277,82,241,42,7,26,11,233,231,51,3,99.6,78.11,101,0.616,15.16,0.902,9.3,2583,2341,0.02,0.14,Chicago Blackhawks,5.93,45
7,25.9,223,82,199,41,5,35,6,277,218,47,4,99.0,83.03,88,0.537,18.39,0.915,7.7,2583,2414,0.01,-0.13,Colorado Avalanche,5.22,41
8,26.7,317,82,198,49,7,46,7,274,257,64,8,98.4,76.64,65,0.396,15.46,0.903,8.1,2454,2525,0.08,-0.65,Columbus Blue Jackets,5.66,29
9,28.4,244,82,204,33,5,35,5,303,218,52,3,100.3,82.84,89,0.5429999999999999,13.52,0.917,8.8,2315,2519,0.03,-0.1,Dallas Stars,5.28,42
10,30.0,298,82,239,48,2,28,6,274,200,50,11,100.2,81.75,102,0.622,16.11,0.9129999999999999,9.1,2638,2204,0.0,0.55,Detroit Red Wings,5.5,48
11,27.4,262,82,207,54,5,40,10,296,232,52,8,100.4,82.43,74,0.451,20.61,0.912,9.5,2186,2506,0.01,-0.32,Edmonton Oilers,5.5,32
12,29.0,286,82,197,53,4,26,18,239,216,49,6,99.8,79.5,94,0.573,18.53,0.9159999999999999,8.1,2433,2498,-0.03,-0.33,Florida Panthers,5.24,38
13,26.7,289,82,188,49,9,27,15,293,170,38,2,100.0,87.03,95,0.579,16.96,0.925,7.5,2509,2246,0.01,0.19,Los Angeles Kings,4.55,40
14,27.4,258,82,166,39,5,36,11,285,217,51,4,99.4,82.11,81,0.494,15.12,0.919,7.6,2174,2562,0.02,-0.58,Minnesota Wild,4.91,35
15,26.8,301,82,207,43,10,35,16,315,214,36,8,100.1,88.57,78,0.47600000000000003,14.29,0.9159999999999999,8.8,2340,2422,0.0,-0.17,Montreal Canadiens,5.34,31
16,26.8,250,82,232,54,5,26,8,244,205,40,4,101.8,83.61,104,0.634,21.6,0.9209999999999999,10.3,2261,2517,0.01,0.34,Nashville Predators,5.45,48
17,30.1,267,82,216,46,15,28,6,259,205,27,13,100.2,89.58,102,0.622,17.23,0.9109999999999999,9.6,2253,2190,0.0,0.23,New Jersey Devils,5.33,48
18,27.8,243,82,196,45,4,37,11,236,251,46,5,98.4,80.51,79,0.48200000000000004,18.52,0.903,8.1,2410,2455,0.05,-0.58,New York Islanders,5.59,34
19,26.5,280,82,222,44,8,24,7,260,182,36,4,101.3,86.15,109,0.665,15.71,0.924,9.5,2338,2272,-0.02,0.46,New York Rangers,5.04,51
20,27.8,270,82,243,49,9,31,10,310,236,57,7,100.5,81.61,92,0.561,18.15,0.9109999999999999,9.4,2574,2624,-0.02,0.09,Ottawa Senators,5.96,41
21,27.3,335,82,260,66,6,26,9,319,225,58,9,100.3,81.82,103,0.628,19.7,0.9059999999999999,9.8,2641,2323,0.0,0.39,Philadelphia Flyers,6.05,47
22,28.5,289,82,273,57,11,25,6,270,218,33,10,100.1,87.78,108,0.659,19.72,0.9059999999999999,9.8,2779,2240,-0.03,0.71,Pittsburgh Penguins,6.13,51
23,28.1,270,82,219,57,3,29,10,225,205,52,4,99.5,76.89,96,0.585,21.11,0.915,7.9,2773,2337,0.0,0.22,San Jose Sharks,5.34,43
24,26.5,269,82,206,45,7,22,11,282,155,40,3,101.0,85.82,109,0.665,16.73,0.932,8.2,2512,2183,-0.01,0.54,St. Louis Blues,4.57,49
25,29.5,269,82,232,41,2,36,8,284,278,59,12,99.5,79.23,84,0.512,15.24,0.893,10.4,2227,2490,-0.01,-0.57,Tampa Bay Lightning,6.29,38
26,25.9,267,82,227,49,5,37,10,242,259,55,6,99.7,77.27,80,0.488,18.35,0.9,9.8,2322,2520,0.02,-0.38,Toronto Maple Leafs,6.04,35
27,28.5,288,82,241,57,7,22,9,286,191,40,4,101.6,86.01,111,0.677,19.79,0.9259999999999999,9.3,2583,2522,-0.05,0.57,Vancouver Canucks,5.45,51
28,27.6,245,82,218,41,3,32,8,266,226,49,10,100.3,81.58,92,0.561,16.73,0.912,9.5,2295,2467,-0.03,-0.13,Washington Capitals,5.51,42
29,26.2,251,82,221,45,3,35,10,292,242,58,8,99.5,80.14,84,0.512,17.93,0.905,8.9,2471,2462,-0.04,-0.3,Winnipeg Jets,5.74,37
