,average_age,chances_pp,games,goals,goals_against_ev,goals_ev,goals_pp,goals_sh,losses,losses_ot,losses_shootout,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,pen_min_per_game,pen_min_per_game_opp,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team_name,total_goals_per_game,wins,wins_shootout
0,27.6,230,82,261,119,199,50,9,19,9,6,263,177,43,6,102.1,83.65,10.8,9.7,117,0.713,21.74,0.929,9.9,2612,2350,-0.11,0.92,Boston Bruins*,5.34,54,3
1,27.7,275,82,266,147,209,44,10,20,8,6,270,209,48,8,102.0,82.22,10.9,12.6,116,0.7070000000000001,16.0,0.914,10.2,2569,2353,-0.01,0.68,Anaheim Ducks*,5.79,54,3
2,26.9,252,82,250,166,192,50,3,22,8,4,249,220,48,1,101.5,80.72,10.9,10.3,112,0.6829999999999999,19.84,0.9179999999999999,10.1,2420,2610,0.04,0.4,Colorado Avalanche*,5.73,52,5
3,28.7,291,82,249,146,181,50,8,22,9,7,219,200,33,6,99.7,84.93,9.0,10.7,111,0.677,17.18,0.917,8.4,2851,2177,0.0,0.6,San Jose Sharks*,5.48,51,10
4,27.4,283,82,248,140,177,56,6,23,7,3,293,191,42,6,100.6,85.67,14.2,14.2,111,0.677,19.79,0.9129999999999999,10.0,2402,2163,0.01,0.71,St. Louis Blues*,5.35,52,9
5,28.3,278,82,249,160,173,65,4,24,7,3,254,207,38,6,100.1,85.04,10.1,10.9,109,0.665,23.38,0.9129999999999999,9.9,2454,2358,-0.04,0.47,Pittsburgh Penguins*,5.56,51,7
6,27.5,257,82,267,138,202,50,9,21,15,8,248,220,46,6,99.9,81.45,8.5,7.8,107,0.652,19.46,0.905,9.6,2715,1977,0.02,0.6,Chicago Blackhawks*,5.94,46,6
7,27.1,270,82,240,141,172,50,10,27,9,6,270,215,52,8,100.5,80.74,10.3,9.5,101,0.616,18.52,0.9129999999999999,9.5,2446,2247,-0.06,0.25,Tampa Bay Lightning*,5.55,46,8
8,28.3,279,82,215,137,155,48,6,28,8,3,289,204,43,8,100.5,85.12,13.0,11.1,100,0.61,17.2,0.9209999999999999,9.0,2330,2311,-0.05,0.08,Montreal Canadiens*,5.11,46,6
9,27.4,284,82,206,112,150,43,5,28,8,6,296,174,50,6,100.1,83.11,10.7,10.9,100,0.61,15.14,0.92,7.6,2595,2086,0.01,0.4,Los Angeles Kings*,4.63,46,8
10,27.2,252,82,207,135,150,45,4,27,12,8,250,206,53,8,101.0,78.8,9.5,9.4,98,0.598,17.86,0.91,9.1,2180,2176,0.05,0.07,Minnesota Wild*,5.04,43,8
11,27.4,264,82,218,141,156,48,10,31,6,3,232,193,34,7,99.8,85.34,10.0,9.9,96,0.585,18.18,0.9209999999999999,7.9,2719,2290,-0.04,0.26,New York Rangers*,5.01,45,4
12,27.7,294,82,236,157,167,58,8,30,10,8,316,235,48,11,100.2,84.81,14.4,12.9,94,0.573,19.73,0.909,9.4,2490,2342,-0.02,-0.01,Philadelphia Flyers*,5.74,42,3
13,28.6,282,82,222,166,164,50,3,28,15,9,295,230,50,5,100.2,83.05,8.8,8.6,93,0.5670000000000001,17.73,0.9079999999999999,8.8,2456,2400,-0.04,-0.14,Detroit Red Wings*,5.51,39,5
14,26.1,280,82,231,156,163,54,9,32,7,2,280,216,50,8,100.7,82.14,11.1,11.0,93,0.5670000000000001,19.29,0.915,9.3,2431,2524,-0.03,0.16,Columbus Blue Jackets*,5.45,43,5
15,28.2,290,82,235,158,177,46,8,31,11,5,263,228,49,5,100.3,81.37,11.0,11.1,91,0.555,15.86,0.91,8.9,2597,2345,0.05,0.14,Dallas Stars*,5.65,40,4
16,26.5,291,82,235,168,152,68,5,30,14,11,284,240,51,10,100.2,82.04,11.7,12.4,90,0.5489999999999999,23.37,0.917,9.3,2412,2750,-0.02,-0.08,Washington Capitals,5.79,38,10
17,28.7,282,82,216,143,150,56,3,30,15,7,272,231,57,5,100.2,79.04,9.9,8.7,89,0.5429999999999999,19.86,0.912,8.4,2497,2223,0.03,-0.16,Phoenix Coyotes,5.45,37,6
18,26.7,239,82,216,169,166,46,2,32,12,9,238,242,47,0,99.2,80.25,9.9,8.7,88,0.537,19.25,0.905,9.0,2382,2215,0.07,-0.25,Nashville Predators,5.59,38,2
19,30.6,241,82,197,132,141,47,9,29,18,13,264,208,36,4,98.8,86.36,8.0,7.1,88,0.537,19.5,0.9079999999999999,9.0,2199,1810,-0.02,-0.15,New Jersey Devils,4.94,35,0
20,26.6,271,82,236,182,174,50,5,31,14,7,320,265,61,10,99.6,80.94,13.3,11.5,88,0.537,18.45,0.909,8.5,2691,2767,-0.02,-0.37,Ottawa Senators,6.11,37,7
21,26.3,259,82,227,155,174,40,5,35,10,6,291,237,49,6,99.4,83.16,11.9,9.5,84,0.512,15.44,0.909,8.7,2516,2193,0.06,-0.07,Winnipeg Jets,5.66,37,8
22,26.2,252,82,231,176,165,50,7,36,8,4,268,256,58,12,101.0,78.36,12.7,11.4,84,0.512,19.84,0.9129999999999999,9.7,2290,2822,-0.04,-0.34,Toronto Maple Leafs,5.94,38,9
23,27.0,281,82,207,174,153,41,11,35,11,4,241,230,44,8,99.4,81.74,7.9,9.0,83,0.506,14.59,0.9109999999999999,8.0,2561,2537,-0.01,-0.29,Carolina Hurricanes,5.33,36,2
24,28.6,257,82,196,152,146,39,6,35,11,7,274,223,46,4,99.4,83.21,13.6,11.3,83,0.506,15.18,0.9079999999999999,7.6,2527,2156,0.03,-0.3,Vancouver Canucks,5.11,36,5
25,26.2,276,82,225,196,159,49,8,37,11,6,265,267,58,7,98.6,78.11,12.4,11.5,79,0.48200000000000004,17.75,0.894,8.5,2537,2464,0.0,-0.51,New York Islanders,6.0,34,9
26,26.7,249,82,209,188,151,39,12,40,7,3,235,241,43,7,98.9,81.7,10.5,10.6,77,0.47,15.66,0.899,9.2,2199,2345,0.04,-0.35,Calgary Flames,5.49,35,7
27,26.5,271,82,203,196,149,46,4,44,9,3,280,270,50,13,99.2,82.14,11.8,11.8,67,0.409,16.97,0.903,9.0,2208,2665,0.07,-0.75,Edmonton Oilers,5.77,29,4
28,29.0,269,82,196,193,153,27,8,45,8,6,262,268,63,6,98.5,75.95,10.3,10.9,66,0.402,10.04,0.897,7.7,2451,2551,0.01,-0.87,Florida Panthers,5.66,29,8
29,26.6,256,82,157,175,109,36,5,51,10,5,274,248,51,5,98.4,81.39,11.0,9.8,52,0.317,14.06,0.9129999999999999,7.0,2156,2611,0.02,-1.09,Buffalo Sabres,4.94,21,7
