,age,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,expected_plsmns,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,on_ice_shot_pct,on_ice_sv_pct,pdo,player,pos,shot_thru_percentage,takeaways,toi_pbp_per_60_all,toi_pbp_per_60_ev,total_shots_attempted_all,zs_defense_pct,zs_offense_pct,team
30,26,378,336,47.1,0.4,-2.9,286,256,47.2,0.3,42,15,6.7,92.1,98.8,Logan Shaw,RW,53.6,11,11:30,9:20,110.0,53.5,46.5,Anaheim Ducks
31,27,1166,1117,48.9,0.7,-4.2,854,839,49.6,1.4,77,43,7.8,93.3,101.1,Jakob Silfverberg,LW,53.3,40,17:58,14:30,351.0,60.3,39.7,Anaheim Ducks
32,20,16,11,40.7,-3.4,-0.1,12,7,36.8,-5.9,2,0,0.0,100.0,100.0,Troy Terry,C/RW,100.0,0,10:13,10:04,3.0,28.6,71.4,Anaheim Ducks
33,26,278,202,42.1,-2.9,-6.4,214,144,40.2,-4.4,15,20,9.3,90.6,99.8,Sami Vatanen,D,48.9,2,21:06,16:04,45.0,58.1,41.9,Anaheim Ducks
34,35,797,659,45.3,-2.9,-6.5,600,490,45.0,-3.8,64,17,7.3,92.3,99.6,Antoine Vermette,C,64.5,14,13:45,11:41,141.0,57.5,42.5,Anaheim Ducks
35,26,695,577,45.4,-3.2,-10.0,522,432,45.3,-3.5,64,17,4.8,93.6,98.3,Chris Wagner,C,53.8,12,13:27,10:32,145.0,56.8,43.2,Anaheim Ducks
36,24,107,71,39.9,-14.3,-2.3,81,52,39.1,-15.1,7,5,5.7,95.1,100.8,Andy Welinski,D,42.9,1,16:10,14:03,14.0,50.8,49.2,Anaheim Ducks
37,25,433,375,46.4,-2.8,-5.6,327,261,44.4,-3.2,39,4,8.6,92.5,101.1,Josh Archibald,RW,48.8,7,12:04,11:03,80.0,54.4,45.6,Arizona Coyotes
38,20,17,9,34.6,-16.1,-0.9,15,6,28.6,-19.6,1,1,25.0,83.3,108.3,Kyle Capobianco,D,0.0,1,13:33,13:32,1.0,55.6,44.4,Arizona Coyotes
39,19,941,855,47.6,-1.3,-2.2,708,626,46.9,0.0,50,27,8.3,93.3,101.6,Jakob Chychrun,D,43.4,19,20:14,18:01,235.0,44.5,55.5,Arizona Coyotes
40,25,89,78,46.7,-4.8,-1.1,66,61,48.0,-2.0,5,4,9.1,89.4,98.5,Adam Clendening,D,36.4,2,15:56,15:27,11.0,54.5,45.5,Arizona Coyotes
41,27,1168,1021,46.6,-1.2,-7.5,900,708,44.0,-3.0,73,32,9.4,93.1,102.5,Kevin Connauton,D,45.1,13,15:11,14:22,226.0,52.5,47.5,Arizona Coyotes
42,24,855,835,49.4,0.8,2.5,637,605,48.7,1.7,71,24,7.3,90.6,97.9,Nick Cousins,C,66.5,18,12:51,12:25,179.0,59.5,40.5,Arizona Coyotes
43,20,115,107,48.2,-0.6,-0.5,83,75,47.5,0.5,11,3,3.6,85.5,89.1,Lawson Crouse,LW,54.2,2,10:56,10:14,24.0,57.1,42.9,Arizona Coyotes
44,22,16,15,48.4,-7.2,-0.1,11,11,50.0,-5.8,2,0,0.0,87.5,87.5,Laurent Dauphin,C,100.0,0,7:14,7:14,1.0,0.0,100.0,Arizona Coyotes
45,29,1152,1224,51.5,4.1,3.4,895,885,49.7,3.5,69,36,8.6,90.3,98.9,Jason Demers,D,42.2,20,21:08,17:59,225.0,54.3,45.7,Arizona Coyotes
46,22,1216,1158,48.8,0.7,-7.5,943,831,46.8,-0.2,82,62,10.4,90.8,101.2,Max Domi,LW,47.6,40,16:42,13:56,315.0,44.1,55.9,Arizona Coyotes
47,22,384,382,49.9,3.1,-2.9,298,271,47.6,1.2,33,7,7.0,90.9,97.9,Anthony Duclair,LW,58.6,11,13:27,11:25,116.0,48.2,51.8,Arizona Coyotes
48,21,1057,1024,49.2,0.9,-6.1,825,728,46.9,-0.5,78,25,8.8,89.9,98.6,Christian Dvorak,LW,62.4,20,16:25,13:16,242.0,52.4,47.6,Arizona Coyotes
49,26,1464,1551,51.4,5.0,-1.5,1142,1118,49.5,4.0,82,53,7.9,88.8,96.7,Oliver Ekman-Larsson,D,49.8,29,23:39,18:49,406.0,52.3,47.7,Arizona Coyotes
50,20,960,920,48.9,1.0,0.2,728,671,48.0,1.4,79,11,6.8,91.1,97.8,Christian Fischer,RW,64.2,15,13:54,11:39,240.0,53.7,46.3,Arizona Coyotes
51,32,1641,1406,46.1,-2.7,-11.1,1237,1024,45.3,-1.9,78,66,7.0,90.5,97.5,Alex Goligoski,D,42.7,16,23:15,19:18,279.0,55.1,44.9,Arizona Coyotes
52,26,65,81,55.5,3.7,0.1,50,58,53.7,2.3,8,5,5.0,97.3,102.3,Freddie Hamilton,C,53.8,1,10:19,9:56,13.0,47.5,52.5,Arizona Coyotes
53,26,53,60,53.1,9.6,-0.3,38,48,55.8,13.3,5,0,9.4,88.9,98.3,Joel Hanley,D,25.0,0,11:08,11:02,8.0,36.0,64.0,Arizona Coyotes
54,30,847,755,47.1,-4.1,-1.8,595,543,47.7,-1.2,48,37,7.7,92.7,100.4,Niklas Hjalmarsson,D,38.1,16,20:42,17:49,84.0,55.8,44.2,Arizona Coyotes
55,19,1249,1221,49.4,1.7,-0.5,960,902,48.4,2.1,82,50,8.8,90.8,99.5,Clayton Keller,C,55.1,42,18:05,14:48,385.0,40.8,59.2,Arizona Coyotes
56,29,170,146,46.2,-2.8,0.0,126,109,46.4,-1.4,18,3,7.0,92.9,99.9,Mario Kempe,C,69.0,3,11:05,10:22,29.0,53.8,46.2,Arizona Coyotes
57,25,934,897,49.0,1.0,0.1,675,642,48.7,2.4,81,8,4.9,90.0,94.8,Jordan Martinook,LW,53.1,32,14:01,11:59,211.0,64.9,35.1,Arizona Coyotes
58,20,12,6,33.3,-21.6,-0.2,9,5,35.7,-19.2,1,1,0.0,100.0,100.0,Nicholas Merkley,RW,0.0,1,13:30,11:27,1.0,66.7,33.3,Arizona Coyotes
59,24,92,88,48.9,0.3,0.5,72,64,47.1,1.3,9,1,4.3,91.7,95.9,Dakota Mermis,D,63.6,0,10:59,10:50,11.0,44.7,55.3,Arizona Coyotes
60,22,124,88,41.5,-3.9,-2.9,102,69,40.4,-4.4,8,3,12.2,98.6,110.9,Trevor Murphy,D,35.7,3,14:14,13:24,14.0,39.7,60.3,Arizona Coyotes
61,26,454,529,53.8,6.1,-0.8,355,385,52.0,6.4,35,9,9.1,92.9,101.9,Richard Panik,RW,49.6,11,16:08,13:47,133.0,51.0,49.0,Arizona Coyotes
62,21,986,889,47.4,-1.0,-5.6,750,609,44.8,-2.6,74,22,9.2,92.6,101.8,Brendan Perlini,LW,46.1,16,14:31,12:38,280.0,50.0,50.0,Arizona Coyotes
63,32,970,865,47.1,-1.5,-0.5,718,628,46.7,-0.5,76,15,5.9,89.6,95.5,Brad Richardson,C,56.8,24,14:47,12:32,185.0,66.0,34.0,Arizona Coyotes
64,25,832,707,45.9,-2.9,-6.5,629,509,44.7,-2.5,58,6,7.5,91.1,98.6,Tobias Rieder,C,51.3,13,15:16,13:13,156.0,54.8,45.2,Arizona Coyotes
65,27,583,443,43.2,-5.4,-6.6,439,319,42.1,-5.6,53,7,8.1,91.6,99.7,Zac Rinaldo,C,57.1,6,11:17,10:29,98.0,56.8,43.2,Arizona Coyotes
66,28,1003,833,45.4,-4.1,-7.6,741,596,44.6,-3.9,64,31,5.5,92.7,98.1,Luke Schenn,D,37.6,14,16:23,14:23,157.0,59.9,40.1,Arizona Coyotes
67,27,1293,1278,49.7,2.1,-3.2,1003,924,48.0,1.5,82,28,9.3,90.6,99.9,Derek Stepan,C,60.6,42,19:16,15:23,345.0,49.2,50.8,Arizona Coyotes
68,20,283,252,47.1,3.6,0.7,204,183,47.3,4.6,21,2,7.6,95.7,103.4,Dylan Strome,C,46.9,12,12:57,11:24,64.0,40.4,59.6,Arizona Coyotes
69,26,629,584,48.1,-6.6,1.2,445,449,50.2,-4.4,60,9,5.8,91.4,97.2,Noel Acciari,C,58.4,20,12:55,11:24,113.0,67.6,32.4,Boston Bruins
70,25,48,34,41.5,-8.5,-0.4,33,28,45.9,-4.1,5,0,4.8,92.0,96.8,Kenny Agostino,LW,64.7,1,12:03,8:59,17.0,62.5,37.5,Boston Bruins
71,33,634,799,55.8,2.6,7.4,459,605,56.9,4.1,57,21,7.9,90.3,98.2,David Backes,C,66.7,31,15:24,13:07,240.0,52.3,47.7,Boston Bruins
72,29,111,120,51.9,-1.4,0.7,89,100,52.9,1.2,14,2,1.5,86.0,87.5,Matt Beleskey,LW,47.2,5,10:51,9:25,36.0,36.1,63.9,Boston Bruins
73,32,779,1047,57.3,5.6,4.4,606,762,55.7,3.3,64,42,10.1,92.9,103.0,Patrice Bergeron,C,56.3,55,19:26,14:35,398.0,40.6,59.4,Boston Bruins
74,21,298,350,54.0,0.5,2.5,226,249,52.4,-1.0,30,11,8.9,92.1,101.1,Anders Bjork,LW,40.5,16,12:21,11:14,74.0,31.1,68.9,Boston Bruins
75,22,4,4,50.0,-10.3,0.0,2,2,50.0,-13.2,1,0,0.0,100.0,100.0,Anton Blidh,LW,,0,10:23,10:23,0.0,75.0,25.0,Boston Bruins
76,21,1119,1190,51.5,-2.1,8.5,855,880,50.7,-3.3,76,45,8.4,92.3,100.7,Brandon Carlo,D,52.8,26,19:14,16:20,144.0,45.9,54.1,Boston Bruins
77,23,26,25,49.0,-0.2,0.2,17,20,54.1,6.7,3,0,0.0,100.0,100.0,Colby Cave,C,50.0,1,11:27,10:18,4.0,47.4,52.6,Boston Bruins
78,22,82,70,46.1,-4.7,0.0,59,60,50.4,-0.8,6,1,8.2,95.7,103.8,Peter Cehlarik,LW,50.0,0,13:56,11:55,6.0,31.6,68.4,Boston Bruins
79,40,1226,1377,52.9,-1.0,11.9,926,1055,53.3,-0.4,73,74,9.7,91.8,101.5,Zdeno Chara,D,44.6,42,22:54,18:48,323.0,51.4,48.6,Boston Bruins
80,25,71,97,57.7,2.8,1.2,54,82,60.3,9.0,10,2,5.7,88.9,94.5,Austin Czarnik,C,58.3,2,10:55,9:53,12.0,37.3,62.7,Boston Bruins
81,21,764,907,54.3,1.3,9.2,586,687,54.0,1.3,70,21,10.3,92.2,102.5,Jake Debrusk,LW,58.1,31,14:22,12:25,246.0,30.0,70.0,Boston Bruins
82,21,125,147,54.0,0.9,-0.2,98,110,52.9,-1.0,12,3,9.5,92.2,101.7,Ryan Donato,C,57.1,3,14:42,12:14,42.0,36.5,63.5,Boston Bruins
83,39,184,218,54.2,0.3,1.8,132,159,54.6,0.0,20,1,3.3,96.8,100.1,Brian Gionta,RW,71.2,5,13:04,10:50,59.0,49.2,50.8,Boston Bruins
84,24,762,923,54.8,1.9,9.0,561,700,55.5,2.7,61,24,8.4,94.5,102.9,Matt Grzelcyk,D,46.1,26,16:44,15:28,178.0,45.8,54.2,Boston Bruins
85,22,810,977,54.7,1.9,10.4,602,735,55.0,2.2,77,26,9.2,92.5,101.7,Danton Heinen,C/LW,58.4,42,15:01,12:40,231.0,46.7,53.3,Boston Bruins
86,30,234,275,54.0,0.2,2.4,177,214,54.7,0.4,18,4,7.3,89.8,97.2,Nick Holden,D,41.9,4,19:05,15:32,62.0,50.3,49.7,Boston Bruins
87,31,813,969,54.4,1.4,7.3,625,746,54.4,1.4,64,30,10.3,90.4,100.8,David Krejci,C,59.2,25,16:53,14:25,201.0,34.3,65.7,Boston Bruins
88,26,1111,1335,54.6,1.1,9.9,849,989,53.8,0.0,76,71,9.0,90.5,99.5,Torey Krug,D,49.1,35,20:24,16:32,401.0,34.8,65.2,Boston Bruins
89,25,747,754,50.2,-3.8,5.2,546,577,51.4,-2.4,75,28,5.7,91.9,97.5,Sean Kuraly,C,63.8,32,12:15,10:57,210.0,63.9,36.1,Boston Bruins
90,29,849,1100,56.4,4.4,8.4,661,808,55.0,2.2,68,76,12.4,90.6,103.0,Brad Marchand,LW,59.0,58,19:43,14:44,307.0,41.1,58.9,Boston Bruins
