,average_age,chances_pp,games,goals,goals_against_ev,goals_ev,goals_pp,goals_sh,losses,losses_ot,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,pen_min_per_game,pen_min_per_game_opp,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team_name,ties,total_goals_per_game,wins
0,28.7,342,82,248,120,174,61,13,19,1,345,165,42,3,,87.83,13.6,13.9,114,0.695,17.84,0.909,10.1,2445,1814,0.07,1.08,St. Louis Blues*,11,5.04,51
1,30.7,338,82,278,160,194,69,15,22,2,311,210,44,6,,85.85,12.1,12.7,108,0.659,20.41,0.903,10.6,2620,2169,0.05,0.88,Detroit Red Wings*,10,5.95,48
2,29.0,340,82,237,130,161,69,7,22,3,316,179,42,7,,86.71,14.9,16.0,105,0.64,20.29,0.9079999999999999,9.5,2495,1938,-0.13,0.58,Philadelphia Flyers*,12,5.07,45
3,27.8,274,82,251,155,186,55,9,24,5,313,203,39,9,,87.54,15.8,13.8,103,0.628,20.07,0.903,9.2,2716,2100,-0.13,0.46,New Jersey Devils*,8,5.54,45
4,29.0,287,82,227,144,175,43,9,24,2,341,194,47,3,,86.22,12.0,10.8,102,0.622,14.98,0.915,10.0,2269,2270,-0.13,0.28,Washington Capitals*,12,5.13,44
5,28.8,343,82,211,142,148,54,9,23,6,307,184,33,9,,89.25,12.4,13.5,102,0.622,15.74,0.9159999999999999,10.1,2099,2183,0.08,0.41,Dallas Stars*,10,4.82,43
6,28.2,321,82,246,159,178,57,11,27,3,330,222,58,5,,82.42,13.3,13.6,100,0.61,17.76,0.907,11.4,2160,2386,-0.05,0.25,Toronto Maple Leafs*,7,5.71,45
7,27.6,338,82,244,154,184,58,2,27,6,323,209,47,8,,85.45,16.1,16.7,98,0.598,17.16,0.914,11.1,2198,2431,-0.15,0.28,Florida Panthers*,6,5.52,43
8,27.4,302,82,233,142,171,59,3,28,1,335,201,52,7,,84.48,13.4,12.7,96,0.585,19.54,0.912,10.7,2187,2282,0.07,0.46,Colorado Avalanche*,11,5.29,42
9,27.4,310,82,244,168,186,52,6,28,2,273,210,34,8,,87.55,10.2,11.9,95,0.579,16.77,0.898,9.4,2584,2064,-0.12,0.3,Ottawa Senators*,11,5.54,41
10,28.0,356,82,245,150,181,60,4,27,4,373,228,66,12,,82.31,16.0,15.9,94,0.573,16.85,0.9,10.1,2421,2290,0.09,0.3,Los Angeles Kings*,12,5.77,39
11,29.6,310,82,232,178,181,37,14,31,4,306,228,43,7,,85.95,11.3,11.1,90,0.5489999999999999,11.94,0.902,10.5,2212,2334,0.1,0.15,Phoenix Coyotes*,8,5.61,39
12,26.8,346,82,241,169,180,54,7,31,6,321,236,56,11,,82.55,14.7,14.5,88,0.537,15.61,0.9,11.3,2137,2356,-0.09,-0.03,Pittsburgh Penguins*,8,5.82,37
13,26.0,336,82,226,154,164,53,9,26,8,369,212,54,4,,85.37,16.2,14.9,88,0.537,15.77,0.909,9.8,2310,2318,0.05,0.22,Edmonton Oilers*,16,5.34,32
14,27.6,377,82,225,149,147,62,16,30,7,372,214,61,4,,83.6,15.7,14.8,87,0.53,16.45,0.909,10.0,2248,2357,0.1,0.23,San Jose Sharks*,10,5.35,35
15,26.5,351,82,213,140,168,37,8,32,4,361,204,54,10,,85.04,14.2,13.5,85,0.518,10.54,0.9079999999999999,9.6,2228,2207,-0.1,0.01,Buffalo Sabres*,11,5.09,35
