,average_age,chances_pp,games,goals,goals_against_ev,goals_ev,goals_pp,goals_sh,losses,losses_ot,losses_shootout,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,pen_min_per_game,pen_min_per_game_opp,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team_name,total_goals_per_game,wins,wins_shootout
0,32.3,401,82,254,117,172,68,12,19,13,8,408,199,63,11,,84.56,12.0,12.4,113,0.6890000000000001,16.96,0.905,9.1,2771,2020,0.05,0.72,Detroit Red Wings*,5.52,50,2
1,27.2,407,82,308,153,219,71,8,22,7,4,386,242,72,13,,81.35,14.6,15.3,113,0.6890000000000001,17.44,0.9059999999999999,12.3,2417,2541,-0.16,0.64,Buffalo Sabres*,6.71,53,10
2,28.5,398,82,258,133,161,89,4,20,14,10,410,208,61,4,,85.12,17.8,17.8,110,0.6709999999999999,22.36,0.912,9.8,2582,2248,0.06,0.67,Anaheim Ducks*,5.68,48,4
3,27.4,408,82,272,150,187,71,8,23,8,5,390,212,55,2,,85.9,14.4,15.7,110,0.6709999999999999,17.4,0.919,11.8,2261,2561,0.05,0.78,Nashville Predators*,5.9,51,6
4,30.0,427,82,226,129,135,79,3,25,7,4,377,197,59,6,,84.35,13.8,14.9,107,0.652,18.5,0.9079999999999999,9.5,2295,2114,0.08,0.44,Dallas Stars*,5.16,50,9
5,29.4,367,82,216,142,137,65,4,24,9,8,271,201,40,11,,85.24,10.1,12.3,107,0.652,17.71,0.917,8.8,2354,2332,-0.15,0.03,New Jersey Devils*,5.09,49,10
6,26.4,410,82,258,138,157,92,7,26,5,2,330,199,55,4,,83.33,11.6,14.2,107,0.652,22.44,0.9079999999999999,10.9,2346,2148,0.05,0.77,San Jose Sharks*,5.57,51,2
7,26.6,403,82,288,143,197,72,17,25,9,6,394,222,61,12,,84.52,14.3,14.6,105,0.64,17.87,0.9129999999999999,10.8,2651,2479,-0.16,0.64,Ottawa Senators*,6.22,48,2
8,26.0,463,82,277,152,159,94,14,24,11,6,419,246,75,13,,82.1,15.2,16.9,105,0.64,20.3,0.905,11.3,2366,2529,-0.17,0.21,Pittsburgh Penguins*,6.38,47,10
9,28.0,407,82,222,132,142,70,5,26,7,4,436,201,57,8,,86.93,14.7,14.2,105,0.64,17.2,0.9179999999999999,9.0,2405,2398,0.13,0.39,Vancouver Canucks*,5.16,49,5
10,28.2,380,82,235,128,144,72,9,26,8,7,342,191,48,8,,85.96,10.5,11.6,104,0.634,18.95,0.922,9.3,2431,2361,0.11,0.65,Minnesota Wild*,5.2,48,10
