,average_age,chances_pp,games,goals,goals_pp,goals_sh,losses,losses_ot,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team,total_goals_per_game,wins
0,28.5,398,82,254,89,4,20,14,410,198,61,4,,85.12,110,0.6709999999999999,22.36,0.9129999999999999,9.8,2582,2245,0.06,0.67,Anaheim Ducks,5.68,48
1,29.4,407,82,239,67,9,28,11,391,241,79,10,,79.8,97,0.591,16.46,0.909,9.8,2438,2575,-0.16,-0.15,Atlanta Thrashers,5.99,43
2,28.8,400,82,211,66,5,46,5,425,282,92,13,,78.35,67,0.409,16.5,0.888,9.1,2320,2465,0.19,-0.64,Phoenix Coyotes,6.1,31
3,27.8,412,82,210,71,8,41,6,442,285,81,18,,81.67,76,0.46299999999999997,17.23,0.9,8.9,2370,2738,-0.01,-0.87,Boston Bruins,6.2,35
4,27.2,407,82,298,71,8,22,7,386,238,72,13,,81.35,113,0.6890000000000001,17.44,0.907,12.3,2417,2539,-0.16,0.64,Buffalo Sabres,6.71,53
5,28.4,401,82,255,73,15,29,10,414,221,81,5,,80.43,96,0.585,18.2,0.915,11.4,2242,2494,0.12,0.51,Calgary Flames,5.9,43
6,28.2,447,82,241,67,12,34,8,395,248,61,8,,84.56,88,0.537,14.99,0.897,9.4,2559,2327,-0.15,-0.29,Carolina Hurricanes,6.02,40
7,27.5,364,82,195,43,12,42,9,443,251,77,6,,82.62,71,0.433,11.81,0.899,8.9,2201,2399,0.17,-0.52,Chicago Blackhawks,5.6,31
8,28.4,374,82,267,79,7,31,7,353,247,70,9,,80.17,95,0.579,21.12,0.9,10.3,2603,2369,0.13,0.39,Colorado Avalanche,6.38,44
9,27.8,438,82,196,65,6,42,7,453,244,85,10,,81.24,73,0.445,14.84,0.898,8.6,2273,2340,0.16,-0.42,Columbus Blue Jackets,5.49,33
10,30.0,427,82,217,79,3,25,7,377,193,59,6,,84.35,107,0.652,18.5,0.9109999999999999,9.5,2296,2075,0.08,0.44,Dallas Stars,5.16,50
11,32.3,401,82,252,68,12,19,13,408,191,63,11,,84.56,113,0.6890000000000001,16.96,0.907,9.1,2771,2016,0.05,0.72,Detroit Red Wings,5.52,50
12,28.2,373,82,192,53,6,43,7,382,245,59,4,,84.55,71,0.433,14.21,0.904,8.8,2193,2426,0.22,-0.43,Edmonton Oilers,5.4,32
13,29.1,337,82,245,61,5,31,16,443,249,78,6,,82.39,86,0.524,18.1,0.899,9.0,2730,2395,-0.15,-0.27,Florida Panthers,6.15,35
14,29.2,442,82,223,81,6,41,14,411,277,91,6,,77.86,68,0.415,18.33,0.889,8.8,2542,2432,0.18,-0.51,Los Angeles Kings,6.22,27
15,28.2,380,82,225,72,9,26,8,342,184,48,8,,85.96,104,0.634,18.95,0.922,9.3,2431,2360,0.11,0.65,Minnesota Wild,5.2,48
16,28.0,378,82,239,86,17,34,6,419,251,69,6,,83.53,90,0.5489999999999999,22.75,0.909,9.9,2426,2678,-0.08,-0.21,Montreal Canadiens,6.11,42
17,27.4,408,82,266,71,8,23,8,390,207,55,2,,85.9,110,0.6709999999999999,17.4,0.922,11.8,2261,2553,0.05,0.78,Nashville Predators,5.9,51
18,29.4,367,82,206,65,4,24,9,271,193,40,11,,85.24,107,0.652,17.71,0.92,8.8,2354,2326,-0.15,0.03,New Jersey Devils,5.09,49
19,29.7,348,82,240,63,7,30,12,433,235,79,9,,81.76,92,0.561,18.1,0.914,9.8,2459,2667,-0.14,-0.04,New York Islanders,5.95,40
20,28.6,406,82,233,75,11,30,10,400,211,65,6,,83.75,94,0.573,18.47,0.91,9.0,2586,2327,-0.16,0.16,New York Rangers,5.59,42
21,26.6,403,82,286,72,17,25,9,394,216,61,12,,84.52,105,0.64,17.87,0.914,10.8,2651,2475,-0.16,0.64,Ottawa Senators,6.22,48
22,27.3,376,82,213,53,15,48,12,420,297,65,14,,84.52,56,0.341,14.1,0.892,9.0,2361,2664,-0.04,-1.12,Philadelphia Flyers,6.3,22
23,26.0,463,82,267,94,14,24,11,419,240,75,13,,82.1,105,0.64,20.3,0.907,11.3,2366,2526,-0.17,0.21,Pittsburgh Penguins,6.38,47
24,26.4,410,82,256,92,7,26,5,330,197,55,4,,83.33,107,0.652,22.44,0.9109999999999999,10.9,2346,2142,0.05,0.77,San Jose Sharks,5.57,51
25,28.9,381,82,208,46,7,35,13,414,248,83,10,,79.95,81,0.494,12.07,0.899,9.4,2202,2359,0.15,-0.33,St. Louis Blues,5.71,34
26,28.2,374,82,243,69,14,33,5,305,259,66,11,,78.36,93,0.5670000000000001,18.45,0.888,10.0,2418,2225,-0.15,-0.25,Tampa Bay Lightning,6.27,44
27,27.8,401,82,254,71,3,31,11,418,262,90,11,,78.47,91,0.555,17.71,0.8909999999999999,9.5,2681,2321,-0.08,-0.21,Toronto Maple Leafs,6.43,40
28,28.0,407,82,217,70,5,26,7,436,197,57,8,,86.93,105,0.64,17.2,0.92,9.0,2405,2393,0.13,0.39,Vancouver Canucks,5.16,49
29,26.9,408,82,234,67,12,40,14,414,275,82,14,,80.19,70,0.42700000000000005,16.42,0.903,10.2,2295,2723,-0.1,-0.73,Washington Capitals,6.35,28
