,average_age,chances_pp,games,goals,goals_pp,goals_sh,losses,losses_ot,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team,total_goals_per_game,wins
0,28.9,285,82,235,67,7,30,5,305,233,57,7,101.0,81.31,99,0.604,23.51,0.915,10.1,2334,2641,0.05,0.09,Anaheim Ducks,5.78,47
1,26.1,289,82,218,53,6,36,12,285,262,64,10,98.9,77.54,80,0.488,18.34,0.9059999999999999,8.4,2581,2623,-0.01,-0.57,Atlanta Thrashers,6.0,34
2,29.0,289,82,226,46,5,26,13,296,220,64,6,100.9,78.38,99,0.604,15.92,0.919,9.1,2486,2670,0.05,0.11,Phoenix Coyotes,5.57,43
3,28.3,266,82,244,43,11,25,11,265,189,46,5,101.9,82.64,103,0.628,16.17,0.932,9.1,2696,2677,-0.07,0.56,Boston Bruins,5.38,46
4,27.5,279,82,240,54,2,29,10,300,228,51,13,100.0,83.0,96,0.585,19.35,0.9129999999999999,8.9,2690,2504,-0.04,0.15,Buffalo Sabres,5.78,43
5,30.0,318,82,241,62,7,29,12,282,230,53,9,99.9,81.21,94,0.573,19.5,0.9059999999999999,9.6,2501,2326,-0.02,0.14,Calgary Flames,5.94,41
6,26.6,346,82,231,55,7,31,11,272,234,51,6,100.7,81.25,91,0.555,15.9,0.9159999999999999,9.2,2517,2718,-0.04,-0.08,Carolina Hurricanes,5.79,40
7,26.7,277,82,252,64,6,29,9,255,220,53,4,100.3,79.22,97,0.591,23.1,0.91,9.6,2637,2344,0.01,0.41,Chicago Blackhawks,5.89,44
8,25.9,265,82,221,49,8,44,8,314,287,75,11,98.7,76.11,68,0.415,18.49,0.895,9.2,2394,2595,0.05,-0.7,Colorado Avalanche,6.28,30
9,26.8,301,82,210,42,6,35,13,314,250,62,11,98.6,80.25,81,0.494,13.95,0.9,8.4,2506,2440,0.08,-0.45,Columbus Blue Jackets,5.77,34
10,28.0,306,82,222,55,10,29,11,277,226,55,15,100.7,80.14,95,0.579,17.97,0.914,9.8,2269,2493,0.05,-0.02,Dallas Stars,5.61,42
11,30.7,301,82,257,67,5,25,10,300,237,53,7,100.1,82.33,104,0.634,22.26,0.9079999999999999,9.3,2757,2508,0.03,0.27,Detroit Red Wings,6.12,47
12,26.2,304,82,191,44,8,45,12,321,260,74,2,99.0,76.95,62,0.37799999999999995,14.47,0.903,8.7,2188,2587,0.06,-0.87,Edmonton Oilers,5.63,25
13,28.3,267,82,191,35,4,40,12,267,222,41,5,99.3,84.64,72,0.439,13.11,0.9179999999999999,7.7,2493,2600,-0.01,-0.43,Florida Panthers,5.17,30
14,26.3,291,82,209,47,4,30,6,276,196,40,6,100.3,85.51,98,0.598,16.15,0.9159999999999999,8.8,2363,2283,0.03,0.29,Los Angeles Kings,5.09,46
15,28.9,292,82,203,53,7,35,8,309,228,53,7,100.7,82.85,86,0.524,18.15,0.917,9.5,2148,2615,0.03,-0.3,Minnesota Wild,5.35,39
16,27.6,290,82,213,57,5,30,8,327,206,51,6,100.2,84.4,96,0.585,19.66,0.922,8.2,2602,2530,-0.04,0.05,Montreal Canadiens,5.18,44
17,26.7,269,82,213,41,5,27,11,272,190,41,2,101.4,84.93,99,0.604,15.24,0.9259999999999999,9.0,2362,2506,0.01,0.31,Nashville Predators,5.04,44
18,29.9,237,82,171,34,3,39,5,241,207,40,8,98.1,83.4,81,0.494,14.35,0.9059999999999999,7.3,2344,2146,0.02,-0.41,New Jersey Devils,4.67,38
19,26.2,302,82,225,52,15,39,13,310,258,52,7,99.6,83.23,73,0.445,17.22,0.905,9.3,2408,2610,0.01,-0.42,New York Islanders,6.01,30
20,26.2,290,82,224,49,11,33,5,257,195,42,5,100.9,83.66,93,0.5670000000000001,16.9,0.922,9.1,2453,2402,-0.06,0.37,New York Rangers,5.26,44
21,28.1,257,82,190,45,6,40,10,295,245,48,4,98.6,83.73,74,0.451,17.51,0.907,8.0,2381,2552,0.02,-0.69,Ottawa Senators,5.39,32
22,27.6,295,82,256,49,13,23,12,313,216,54,5,101.1,82.75,106,0.6459999999999999,16.61,0.915,9.8,2605,2465,-0.04,0.4,Philadelphia Flyers,5.88,47
23,27.4,311,82,228,49,13,25,8,324,196,45,6,100.5,86.11,106,0.6459999999999999,15.76,0.919,8.8,2582,2346,-0.05,0.43,Pittsburgh Penguins,5.33,49
24,27.9,290,82,243,68,6,25,9,273,208,56,7,100.0,79.49,105,0.64,23.45,0.914,8.6,2832,2365,0.02,0.44,San Jose Sharks,5.62,48
25,25.7,279,82,236,52,7,33,11,279,228,51,1,99.7,81.72,87,0.53,18.64,0.902,9.5,2475,2268,0.04,0.11,St. Louis Blues,5.78,38
26,29.0,336,82,241,69,1,25,11,302,234,49,16,99.5,83.77,103,0.628,20.54,0.903,9.3,2605,2347,-0.05,0.04,Tampa Bay Lightning,5.94,46
27,25.7,326,82,213,52,5,34,11,275,245,62,8,99.7,77.45,85,0.518,15.95,0.907,9.0,2360,2531,0.0,-0.41,Toronto Maple Leafs,5.72,37
28,28.1,296,82,258,72,6,19,9,312,180,45,2,102.2,85.58,117,0.713,24.32,0.9279999999999999,9.8,2624,2467,-0.07,0.87,Vancouver Canucks,5.45,54
29,25.9,263,82,219,46,7,23,11,299,191,43,5,100.4,85.62,107,0.652,17.49,0.92,8.5,2566,2374,-0.06,0.27,Washington Capitals,5.13,48
