,Age,Assists,Defensive Point Shares,ES Assists,ES Blocks,ES Face-Off Losses,ES Face-Off Pct,ES Face-Off Wins,ES Goals,ES Hits,GW Goals,Games Played,Goals,Offenisve Point Shares,PP Assists,PP Goals,Penalty Minutes,Player,Plus Minus,Point Shares,Points,Position,SH Assists,SH Goals,Shooting Perecentage,Shots,Team,Time on Ice,Time on Ice Avg
0,30,50,2.6,33,61,617,49.4,602,7,108,5,77,13,4.4,16,6,55,Ryan Getzlaf,14,7.0,63,C,1,0,7.3,178,Anaheim Ducks,1502,19:30
1,30,28,2.1,16,36,8,20.0,2,22,104,6,82,34,6.8,12,12,68,Corey Perry,2,8.9,62,RW,0,0,15.8,215,Anaheim Ducks,1452,17:42
2,31,32,2.3,22,92,695,58.5,980,15,168,4,79,21,4.1,10,5,78,Ryan Kesler,5,6.4,53,C,0,1,12.8,164,Anaheim Ducks,1543,19:32
3,22,23,1.5,17,30,254,43.7,197,16,121,7,72,20,3.9,6,4,19,Rickard Rakell,-1,5.4,43,C,0,0,11.8,169,Anaheim Ducks,1157,16:04
4,25,19,2.2,16,58,16,20.0,4,18,87,2,82,20,2.8,2,2,32,Jakob Silfverberg,8,5.0,39,RW,1,0,9.3,215,Anaheim Ducks,1392,16:58
5,24,29,4.6,14,105,0,,0,5,85,2,71,9,3.4,15,4,20,Sami Vatanen,8,8.0,38,D,0,0,6.4,140,Anaheim Ducks,1513,21:19
6,28,23,1.7,22,27,11,35.3,6,7,124,3,82,9,1.3,0,0,28,Andrew Cogliano,2,3.0,32,LW,1,2,6.9,131,Anaheim Ducks,1183,14:26
7,22,18,5.2,7,115,0,,0,5,68,1,80,10,2.1,11,4,40,Hampus Lindholm,7,7.3,28,D,0,1,6.7,149,Anaheim Ducks,1760,22:00
8,24,23,3.4,9,112,0,,0,2,43,0,69,5,1.8,14,3,27,Cam Fowler,-8,5.2,28,D,0,0,4.4,113,Anaheim Ducks,1572,22:47
9,27,12,1.1,8,9,4,20.0,1,5,37,1,28,8,2.0,4,3,34,David Perron,12,3.1,20,LW,0,0,15.7,51,Anaheim Ducks,415,14:49
10,28,12,0.9,8,10,6,33.3,3,7,72,1,56,8,1.5,4,1,73,Chris Stewart,2,2.4,20,RW,0,0,10.3,78,Anaheim Ducks,605,10:48
11,30,9,0.8,7,20,83,47.5,75,8,28,1,70,9,1.1,2,1,8,Mike Santorelli,-4,1.9,18,C,0,0,11.1,81,Anaheim Ducks,706,10:06
12,37,9,1.1,8,24,306,51.1,320,5,58,2,59,6,0.2,0,0,34,Shawn Horcoff,1,1.3,15,C,1,1,8.2,73,Anaheim Ducks,784,13:17
13,24,10,4.4,10,67,0,,0,5,158,1,71,5,0.6,0,0,74,Josh Manson,11,5.0,15,D,0,0,5.7,88,Anaheim Ducks,1334,18:47
14,34,11,3.3,7,108,0,,0,2,152,1,71,4,0.3,4,2,99,Kevin Bieksa,-7,3.6,15,D,0,0,3.7,109,Anaheim Ducks,1492,21:01
15,27,9,0.3,8,2,33,32.7,16,1,114,0,56,4,0.1,1,3,54,Patrick Maroon,-13,0.5,13,LW,0,0,6.2,65,Anaheim Ducks,637,11:23
16,27,4,0.5,4,8,2,50.0,2,5,51,2,21,8,1.4,0,3,23,Jamie McGinn,3,1.9,12,LW,0,0,17.0,47,Anaheim Ducks,308,14:41
17,27,8,0.5,8,19,4,42.9,3,4,40,0,43,4,0.0,0,0,14,Carl Hagelin,-10,0.5,12,LW,0,0,4.9,82,Anaheim Ducks,645,15:00
18,30,3,0.4,3,18,5,16.7,1,4,71,2,37,5,0.3,0,0,21,Ryan Garbutt,-4,0.7,8,C,0,1,9.6,52,Anaheim Ducks,423,11:26
19,20,5,1.5,4,22,0,,0,1,6,1,19,3,0.8,1,2,2,Shea Theodore,7,2.3,8,D,0,0,10.7,28,Anaheim Ducks,363,19:07
20,31,3,0.7,3,40,216,52.1,235,2,103,0,49,3,-0.6,0,0,47,Nate Thompson,-1,0.2,6,C,0,1,7.1,42,Anaheim Ducks,568,11:36
21,30,5,2.3,4,55,0,,0,1,123,0,50,1,-0.2,0,0,67,Clayton Stoner,4,2.2,6,D,1,0,3.1,32,Anaheim Ducks,768,15:22
22,24,2,0.2,0,3,2,0.0,0,3,11,1,9,3,0.6,2,0,0,Brandon Pirri,0,0.7,5,C,0,0,17.6,17,Anaheim Ducks,115,12:44
23,20,2,0.4,2,10,2,33.3,1,2,93,0,33,2,-0.4,0,0,37,Nick Ritchie,-2,0.0,4,LW,0,0,3.6,55,Anaheim Ducks,388,11:46
24,24,4,1.8,3,71,0,,0,0,67,0,32,0,-0.3,1,0,8,Simon Despres,2,1.5,4,D,0,0,0.0,32,Anaheim Ducks,628,19:38
25,23,2,0.4,1,10,2,0.0,0,0,18,0,22,1,-0.3,1,1,4,Jiri Sekac,0,0.1,3,LW,0,0,3.4,29,Anaheim Ducks,268,12:11
26,27,3,0.9,3,32,0,,0,0,57,0,29,0,-0.2,0,0,10,Korbinian Holzer,-3,0.7,3,D,0,0,0.0,17,Anaheim Ducks,428,14:45
27,24,2,0.2,2,10,42,52.8,47,0,52,0,17,0,-0.3,0,0,19,Chris Wagner,0,0.0,2,RW,0,0,0.0,28,Anaheim Ducks,180,10:34
28,26,1,0.0,1,0,0,,0,0,0,0,43,0,0.0,0,0,2,Frederik Andersen,0,7.0,1,G,0,0,,0,Anaheim Ducks,2298,53:26
