,average_age,chances_pp,games,goals,goals_against_ev,goals_ev,goals_pp,goals_sh,losses,losses_ot,losses_shootout,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,pen_min_per_game,pen_min_per_game_opp,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team_name,total_goals_per_game,wins,wins_shootout
0,28.5,288,82,249,139,177,57,7,22,9,7,286,198,40,4,101.2,86.01,12.8,12.1,111,0.677,19.79,0.9259999999999999,9.3,2583,2428,-0.05,0.57,Vancouver Canucks*,5.45,51,8
1,26.5,280,82,226,142,170,44,8,24,7,5,260,187,36,4,100.9,86.15,12.9,14.5,109,0.665,15.71,0.92,9.5,2338,2281,-0.02,0.46,New York Rangers*,5.04,51,4
2,26.5,269,82,210,112,154,45,7,22,11,10,282,165,40,3,100.7,85.82,13.0,12.1,109,0.665,16.73,0.929,8.2,2511,2190,-0.01,0.54,St. Louis Blues*,4.57,49,4
3,28.5,289,82,282,175,205,57,11,25,6,3,270,221,33,10,99.8,87.78,10.7,12.3,108,0.659,19.72,0.903,9.8,2779,2247,-0.03,0.71,Pittsburgh Penguins*,6.13,51,9
4,26.8,250,82,237,153,173,54,5,26,8,5,244,210,40,4,101.0,83.61,8.4,7.9,104,0.634,21.6,0.9179999999999999,10.3,2261,2322,0.01,0.34,Nashville Predators*,5.45,48,5
5,27.3,335,82,264,141,188,66,6,26,9,7,319,232,58,9,100.4,81.82,16.1,13.9,103,0.628,19.7,0.905,9.8,2641,2074,0.0,0.39,Philadelphia Flyers*,6.05,47,4
6,30.0,298,82,248,139,189,48,2,28,6,3,274,203,50,11,101.2,81.75,8.5,10.4,102,0.622,16.11,0.91,9.1,2638,2212,0.0,0.55,Detroit Red Wings*,5.5,48,9
7,30.1,267,82,228,145,155,46,15,28,6,4,259,209,27,13,99.7,89.58,11.5,8.9,102,0.622,17.23,0.9079999999999999,9.6,2253,1918,0.0,0.23,New Jersey Devils*,5.33,48,12
8,28.8,250,82,269,149,209,43,8,29,4,3,260,202,43,1,101.2,83.46,13.5,10.4,102,0.622,17.2,0.919,9.8,2653,2283,-0.07,0.75,Boston Bruins*,5.74,49,9
9,27.0,277,82,248,152,192,42,7,26,11,7,233,238,51,3,99.2,78.11,10.3,10.1,101,0.616,15.16,0.902,9.3,2583,2035,0.02,0.14,Chicago Blackhawks*,5.93,45,7
10,28.9,251,82,216,150,170,34,6,27,13,10,249,204,36,6,100.9,85.54,9.2,9.5,97,0.591,13.55,0.925,8.6,2428,2557,0.01,0.16,Phoenix Coyotes*,5.12,42,6
11,28.1,270,82,228,126,159,57,3,29,10,5,225,210,52,4,99.6,76.89,9.6,10.1,96,0.585,21.11,0.9159999999999999,7.9,2773,2099,0.0,0.22,San Jose Sharks*,5.34,43,9
12,26.7,289,82,194,127,130,49,9,27,15,9,293,179,38,2,99.1,87.03,11.3,10.8,95,0.579,16.96,0.9229999999999999,7.5,2509,2163,0.01,0.19,Los Angeles Kings*,4.55,40,6
13,29.0,286,82,203,153,140,53,4,26,18,11,239,227,49,6,99.4,79.5,9.7,10.2,94,0.573,18.53,0.914,8.1,2433,2375,-0.03,-0.33,Florida Panthers*,5.24,38,6
14,27.8,270,82,249,172,185,49,9,31,10,4,310,240,57,7,100.1,81.61,14.0,12.2,92,0.561,18.15,0.91,9.4,2574,2627,-0.02,0.09,Ottawa Senators*,5.96,41,6
15,27.6,245,82,222,167,174,41,3,32,8,4,266,230,49,10,100.4,81.58,9.4,8.3,92,0.561,16.73,0.909,9.5,2295,2475,-0.03,-0.13,Washington Capitals*,5.51,42,4
16,29.6,260,82,202,166,150,46,3,29,16,9,268,226,42,6,100.3,84.33,10.8,10.4,90,0.5489999999999999,17.69,0.914,8.8,2258,2483,0.01,-0.28,Calgary Flames,5.22,37,3
17,28.4,244,82,211,153,166,33,5,35,5,4,303,222,52,3,99.8,82.84,12.6,9.4,89,0.5429999999999999,13.52,0.91,8.8,2314,2253,0.03,-0.1,Dallas Stars,5.28,42,7
18,27.0,258,82,218,162,162,44,5,32,11,7,257,230,47,7,100.6,81.71,11.0,11.7,89,0.5429999999999999,17.05,0.914,8.8,2397,2501,0.0,-0.15,Buffalo Sabres,5.46,39,7
19,25.9,223,82,208,150,153,41,5,35,6,2,277,220,47,4,99.2,83.03,11.0,8.8,88,0.537,18.39,0.912,7.7,2583,2270,0.01,-0.13,Colorado Avalanche,5.22,41,9
20,29.5,269,82,235,194,189,41,2,36,8,3,284,281,59,12,100.1,79.23,10.5,9.8,84,0.512,15.24,0.887,10.4,2227,2340,-0.01,-0.57,Tampa Bay Lightning,6.29,38,3
21,26.2,251,82,225,176,173,45,3,35,10,4,292,246,58,8,99.8,80.14,11.0,9.7,84,0.512,17.93,0.902,8.9,2471,2470,-0.04,-0.3,Winnipeg Jets,5.74,37,4
22,26.5,294,82,213,184,150,49,12,33,16,6,252,243,49,4,99.5,80.56,9.3,10.9,82,0.5,16.67,0.9109999999999999,8.5,2497,2653,-0.02,-0.39,Carolina Hurricanes,5.56,33,1
23,27.4,258,82,177,158,122,39,5,36,11,9,285,226,51,4,98.9,82.11,12.1,12.2,81,0.494,15.12,0.915,7.6,2174,2513,0.02,-0.58,Minnesota Wild,4.91,35,11
24,28.5,271,82,204,168,152,45,4,36,12,7,283,231,51,5,99.6,81.98,12.0,11.2,80,0.488,16.61,0.905,8.8,2291,2367,0.04,-0.29,Anaheim Ducks,5.3,34,3
25,25.9,267,82,231,195,173,49,5,37,10,5,242,264,55,6,99.5,77.27,10.0,10.3,80,0.488,18.35,0.898,9.8,2322,2499,0.02,-0.38,Toronto Maple Leafs,6.04,35,4
26,27.8,243,82,203,200,147,45,4,37,11,4,236,255,46,5,98.2,80.51,9.3,9.0,79,0.48200000000000004,18.52,0.898,8.1,2410,2469,0.05,-0.58,New York Islanders,5.59,34,7
27,26.8,301,82,212,156,154,43,10,35,16,12,315,226,36,8,100.4,88.57,11.6,10.6,78,0.47600000000000003,14.29,0.912,8.8,2340,2178,0.0,-0.17,Montreal Canadiens,5.34,31,5
28,27.4,262,82,212,170,148,54,5,40,10,7,296,239,52,8,100.1,82.43,11.5,10.0,74,0.451,20.61,0.909,9.5,2186,2493,0.01,-0.32,Edmonton Oilers,5.5,32,5
29,26.7,317,82,202,176,142,49,7,46,7,5,274,262,64,8,99.2,76.64,12.6,13.1,65,0.396,15.46,0.899,8.1,2454,2387,0.08,-0.65,Columbus Blue Jackets,5.66,29,4
