,average_age,chances_pp,games,goals,goals_pp,goals_sh,losses,losses_ot,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team,total_goals_per_game,wins
0,28.8,135,48,134,29,5,12,6,162,115,30,5,101.3,81.48,66,0.688,21.48,0.917,9.9,1347,1336,-0.02,0.43,Anaheim Ducks,5.38,30
1,28.4,169,48,121,25,2,18,9,169,125,34,2,99.9,79.88,51,0.531,14.79,0.917,8.2,1482,1464,0.03,-0.1,Phoenix Coyotes,5.33,21
2,27.8,122,48,127,18,5,14,6,163,106,21,2,100.4,87.12,62,0.6459999999999999,14.75,0.9259999999999999,8.2,1557,1368,-0.02,0.44,Boston Bruins,5.0,28
3,27.3,163,48,118,23,7,21,6,178,139,37,7,100.2,79.21,48,0.5,14.11,0.9159999999999999,8.8,1339,1602,0.07,-0.31,Buffalo Sabres,5.58,21
4,29.0,155,48,128,31,6,25,4,151,157,28,2,99.0,81.46,42,0.43799999999999994,20.0,0.8909999999999999,9.9,1293,1408,0.02,-0.65,Calgary Flames,6.0,19
5,26.9,165,48,127,24,3,25,4,161,159,36,4,98.4,77.64,42,0.43799999999999994,14.55,0.902,8.2,1545,1538,0.02,-0.65,Carolina Hurricanes,6.0,19
6,26.8,150,48,149,25,5,7,5,141,97,18,5,101.9,87.23,77,0.802,16.67,0.924,10.0,1494,1257,-0.07,1.04,Chicago Blackhawks,5.35,36
7,26.7,140,48,114,21,3,25,7,183,150,36,3,98.5,80.33,39,0.406,15.0,0.905,8.1,1415,1501,0.02,-0.73,Colorado Avalanche,5.58,16
8,26.3,155,48,115,22,3,17,7,144,115,25,2,100.9,82.64,55,0.573,14.19,0.924,9.0,1283,1430,0.01,0.03,Columbus Blue Jackets,4.98,24
9,28.2,171,48,128,29,2,22,4,179,141,34,3,100.8,81.01,48,0.5,16.96,0.9079999999999999,10.2,1261,1484,0.05,-0.21,Dallas Stars,5.67,22
10,28.2,185,48,122,34,3,16,8,164,110,30,5,100.2,81.71,56,0.583,18.38,0.9179999999999999,8.4,1447,1320,0.01,0.2,Detroit Red Wings,4.98,24
11,26.4,169,48,123,34,4,22,7,175,131,29,1,101.2,83.43,45,0.469,20.12,0.92,9.6,1285,1567,-0.03,-0.22,Edmonton Oilers,5.4,19
12,27.8,142,48,109,29,4,27,6,151,170,39,1,97.1,74.17,36,0.375,20.42,0.8909999999999999,7.8,1400,1497,0.05,-1.18,Florida Panthers,5.9,15
13,26.5,166,48,131,33,2,16,5,161,114,27,1,99.8,83.23,59,0.615,19.88,0.907,9.2,1431,1195,-0.02,0.29,Los Angeles Kings,5.23,27
14,27.8,151,48,118,27,1,19,3,135,125,26,0,99.2,80.74,55,0.573,17.88,0.905,8.5,1382,1297,-0.05,-0.16,Minnesota Wild,5.19,26
15,27.8,203,48,146,42,0,14,5,173,124,35,2,100.6,79.77,63,0.6559999999999999,20.69,0.905,9.9,1468,1291,-0.02,0.46,Montreal Canadiens,5.73,29
16,27.3,140,48,109,24,1,23,9,139,133,34,4,99.2,75.54,41,0.42700000000000005,17.14,0.904,8.8,1244,1330,0.09,-0.5,Nashville Predators,5.21,16
17,30.8,176,48,110,28,11,19,10,169,122,32,6,97.6,81.07,48,0.5,15.91,0.894,8.1,1362,1105,0.04,-0.31,New Jersey Devils,5.02,19
18,28.7,156,48,135,31,2,17,7,142,136,28,0,99.3,80.28,55,0.573,19.87,0.905,9.1,1485,1344,0.03,0.03,New York Islanders,5.79,24
19,27.2,153,48,126,24,5,18,4,148,108,28,4,100.5,81.08,56,0.583,15.69,0.925,8.5,1483,1346,0.0,0.38,New York Rangers,5.04,26
20,27.4,157,48,112,25,2,17,6,167,100,20,1,100.4,88.02,56,0.583,15.92,0.935,7.0,1591,1500,0.02,0.27,Ottawa Senators,4.58,25
21,27.9,171,48,132,37,2,22,3,184,139,26,3,99.6,85.87,49,0.51,21.64,0.905,9.5,1394,1362,0.03,-0.14,Philadelphia Flyers,5.71,23
22,29.0,170,48,162,42,2,12,0,167,119,34,3,102.5,79.64,72,0.75,24.71,0.917,11.3,1438,1400,-0.05,0.91,Pittsburgh Penguins,5.92,36
23,28.9,169,48,116,34,3,16,7,147,112,22,4,99.7,85.03,57,0.594,20.12,0.922,7.6,1526,1386,0.01,0.17,San Jose Sharks,5.0,25
24,26.3,149,48,124,29,3,17,2,150,114,23,5,99.6,84.67,60,0.625,19.46,0.904,9.3,1336,1158,0.02,0.31,St. Louis Blues,5.08,29
25,27.7,163,48,147,31,0,26,4,155,147,30,4,101.0,80.65,40,0.41700000000000004,19.02,0.903,11.1,1323,1444,-0.07,-0.11,Tampa Bay Lightning,6.21,18
26,26.0,166,48,145,31,1,17,5,157,128,19,4,102.7,87.9,57,0.594,18.67,0.9209999999999999,11.5,1264,1543,0.02,0.27,Toronto Maple Leafs,5.79,26
27,28.2,165,48,122,26,2,15,7,169,115,27,3,100.7,84.02,59,0.615,15.76,0.919,9.0,1350,1386,-0.06,0.07,Vancouver Canucks,5.17,26
28,26.6,164,48,146,44,3,18,3,163,130,36,4,102.2,77.91,57,0.594,26.83,0.917,10.8,1350,1549,-0.09,0.31,Washington Capitals,5.81,27
29,26.4,145,48,126,20,1,21,3,138,141,28,3,99.5,79.71,51,0.531,13.79,0.904,9.1,1389,1419,-0.03,-0.36,Winnipeg Jets,5.67,24
