,average_age,chances_pp,games,goals,goals_against_ev,goals_ev,goals_pp,goals_sh,losses,losses_ot,losses_shootout,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,pen_min_per_game,pen_min_per_game_opp,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team_name,total_goals_per_game,wins,wins_shootout
0,29.4,232,82,252,131,200,39,9,22,7,5,235,192,37,6,101.7,84.26,8.7,7.7,113,0.6890000000000001,16.81,0.922,9.6,2582,2191,-0.04,0.69,New York Rangers*,5.41,53,4
1,28.4,242,82,221,138,167,40,7,22,10,5,257,189,42,4,101.3,83.66,10.2,9.3,110,0.6709999999999999,16.53,0.9259999999999999,9.2,2334,2470,-0.03,0.36,Montreal Canadiens*,5.0,50,7
2,28.3,251,82,248,150,181,56,2,24,7,4,257,201,42,5,100.3,83.66,11.0,10.6,109,0.665,22.31,0.912,9.4,2535,2233,0.02,0.59,St. Louis Blues*,5.48,51,9
3,27.0,236,82,236,163,182,37,9,24,7,5,274,226,52,6,100.2,81.02,10.8,9.8,109,0.665,15.68,0.907,9.3,2458,2367,-0.03,0.1,Anaheim Ducks*,5.63,51,8
4,26.9,282,82,262,150,199,53,7,24,8,5,257,211,42,6,100.8,83.66,9.9,9.9,108,0.659,18.79,0.91,10.7,2428,2137,-0.06,0.57,Tampa Bay Lightning*,5.77,50,3
5,28.4,259,82,232,152,180,42,4,25,10,6,234,208,45,5,101.0,80.77,8.5,9.3,104,0.634,16.22,0.9129999999999999,8.6,2614,2317,0.03,0.33,Nashville Predators*,5.37,47,6
6,29.3,260,82,229,123,171,46,3,28,6,3,211,189,35,7,100.3,83.41,7.3,7.3,102,0.622,17.69,0.925,7.9,2777,2127,0.02,0.51,Chicago Blackhawks*,5.1,48,9
7,29.4,238,82,242,156,184,46,6,29,5,2,266,222,38,2,99.5,85.71,10.9,8.4,101,0.616,19.33,0.907,9.6,2453,1993,-0.05,0.2,Vancouver Canucks*,5.66,48,6
8,27.3,267,82,252,170,185,50,10,28,7,6,217,230,48,3,99.4,77.88,8.5,9.3,101,0.616,18.73,0.904,8.8,2771,2301,-0.01,0.26,New York Islanders*,5.88,47,7
9,28.1,237,82,242,145,173,60,4,26,11,4,266,203,50,4,100.3,81.2,10.5,10.4,101,0.616,25.32,0.9159999999999999,9.8,2419,2368,-0.03,0.44,Washington Capitals*,5.43,45,5
