,Adjusted GAA,Age,GA Pct -,Games Played,Games Started,Goalie Point Shares,Goals Against,Goals Against Average,Goals Saved Above Average,Losses,Minutes,Player,Quality Start Percentage,Quality Starts,Really Bad Starts,Save Percentage,Saves,Shots Against,Shutouts,Team,Ties OT Losses,Wins
55,4.02,23,,4,2,0.2,11,3.40,,1,194,Christopher Gibson,.000,0,1,.882,82,93,0,New York Islanders,1,1
56,2.96,33,94,65,64,12.6,156,2.48,9.52,21,3772,Henrik Lundqvist,.609,39,6,.920,1788,1944,4,New York Rangers,7,35
57,2.66,26,95,25,18,3.4,43,2.24,2.13,6,1145,Antti Raanta,.667,12,4,.919,487,530,1,New York Rangers,2,11
58,6.00,24,,1,0,-0.1,2,6.00,,0,20,Magnus Hellberg,,0,0,.667,4,6,0,New York Rangers,0,0
59,3.33,34,99,60,60,11.6,161,2.78,2.05,23,3477,Craig Anderson,.517,31,8,.916,1754,1915,4,Ottawa Senators,5,31
60,3.17,27,101,24,21,4.2,61,2.65,-0.38,11,1382,Andrew Hammond,.619,13,1,.914,651,712,1,Ottawa Senators,4,7
61,0.00,21,,1,0,0.2,0,0.00,,0,32,Chris Driedger,,0,0,1.000,11,11,0,Ottawa Senators,0,0
62,4.14,23,,1,1,0.2,3,3.10,,1,58,Matt O'Connor,.000,0,0,.912,31,34,0,Ottawa Senators,0,0
63,3.01,27,97,54,53,10.0,132,2.51,4.40,19,3150,Steve Mason,.528,28,5,.918,1470,1602,4,Philadelphia Flyers,10,23
64,2.70,27,89,32,29,6.4,69,2.27,8.31,8,1825,Michal Neuvirth,.586,17,3,.924,839,908,3,Philadelphia Flyers,4,18
65,2.72,31,93,58,58,11.0,132,2.29,9.76,17,3463,Marc-Andre Fleury,.569,33,5,.921,1533,1665,5,Pittsburgh Penguins,6,35
66,2.40,21,83,13,13,2.7,25,2.00,5.23,2,749,Matt Murray,.769,10,0,.930,330,355,1,Pittsburgh Penguins,1,9
67,3.36,28,98,14,11,2.5,34,2.79,0.74,7,732,Jeff Zatkoff,.636,7,3,.917,374,408,0,Pittsburgh Penguins,1,4
68,2.69,26,97,65,65,10.8,143,2.27,4.64,23,3786,Martin Jones,.554,36,9,.918,1591,1734,6,San Jose Sharks,4,37
69,1.99,27,,8,8,1.8,13,1.62,,2,481,James Reimer,.625,5,1,.938,195,208,3,San Jose Sharks,0,6
70,3.47,28,,13,9,0.6,33,2.94,,5,674,Alex Stalock,.222,2,5,.884,252,285,0,San Jose Sharks,2,3
71,2.81,25,94,47,44,8.2,101,2.35,6.28,15,2583,Jake Allen,.591,26,6,.920,1159,1260,6,St. Louis Blues,3,26
72,2.47,30,82,42,38,8.6,78,2.07,16.76,8,2261,Brian Elliott,.684,26,6,.930,1035,1113,4,St. Louis Blues,6,23
73,4.69,22,,1,0,-0.1,1,4.69,,0,13,Jordan Binnington,,0,0,.750,3,4,0,St. Louis Blues,0,0
74,2.46,24,,1,0,0.0,1,2.46,,0,24,Pheonix Copley,,0,0,.833,5,6,0,St. Louis Blues,0,0
75,3.44,25,,3,0,0.2,4,2.75,,1,87,Anders Nilsson,,0,0,.909,40,44,0,St. Louis Blues,0,0
76,2.44,29,86,61,60,12.2,123,2.06,19.36,21,3585,Ben Bishop,.617,37,4,.926,1549,1672,6,Tampa Bay Lightning,4,35
77,3.29,21,105,24,21,3.5,58,2.76,-3.00,10,1259,Andrei Vasilevskiy,.333,7,3,.910,588,646,1,Tampa Bay Lightning,0,11
78,1.00,23,,1,1,0.4,1,1.00,,0,60,Kristers Gudlevskis,1.000,1,0,.969,31,32,0,Tampa Bay Lightning,1,0
79,3.44,27,109,38,36,5.6,103,2.88,-8.15,21,2147,Jonathan Bernier,.528,19,8,.908,1011,1114,3,Toronto Maple Leafs,3,12
80,2.99,27,96,32,29,5.8,75,2.49,3.33,12,1809,James Reimer,.586,17,5,.918,845,920,0,Toronto Maple Leafs,7,11
81,3.63,22,126,17,17,1.5,49,3.02,-10.18,9,975,Garret Sparks,.353,6,4,.893,407,456,1,Toronto Maple Leafs,1,6
82,3.23,35,98,51,51,9.9,137,2.70,2.12,24,3043,Ryan Miller,.490,25,2,.916,1497,1634,1,Vancouver Canucks,9,17
83,3.28,26,100,33,30,5.9,84,2.73,0.12,14,1847,Jacob Markstrom,.567,17,4,.915,904,988,0,Vancouver Canucks,4,13
84,4.01,28,,1,1,0.1,3,3.01,,0,60,Richard Bachman,.000,0,0,.903,28,31,0,Vancouver Canucks,0,1
85,2.62,26,92,66,66,12.1,141,2.20,12.43,9,3841,Braden Holtby,.636,42,6,.922,1661,1802,3,Washington Capitals,7,48
86,2.75,24,97,22,16,3.3,43,2.32,1.53,9,1111,Philipp Grubauer,.438,7,2,.918,480,523,0,Washington Capitals,1,8
87,2.80,22,96,26,26,4.3,56,2.34,2.15,11,1433,Connor Hellebuyck,.538,14,6,.918,627,683,2,Winnipeg Jets,1,13
88,3.32,28,113,33,31,4.3,88,2.78,-9.84,13,1899,Ondrej Pavelec,.452,14,6,.904,830,918,1,Winnipeg Jets,4,13
89,3.40,25,109,30,25,4.0,75,2.84,-6.46,15,1586,Michael Hutchinson,.360,9,3,.907,730,805,0,Winnipeg Jets,3,9
