,Adjusted GAA,Age,GA Pct -,Games Played,Games Started,Goalie Point Shares,Goals Against,Goals Against Average,Goals Saved Above Average,Losses,Minutes,Player,Quality Start Percentage,Quality Starts,Really Bad Starts,Save Percentage,Saves,Shots Against,Shutouts,Team,Ties OT Losses,Wins
0,2.56,30,89,25,23,4.8,52,2.18,6.22,6,1428,Viktor Fasth,.609,14,3,.921,609,661,4,Anaheim Ducks,2,15
1,2.80,30,99,26,25,4.2,59,2.36,0.45,6,1498,Jonas Hiller,.560,14,2,.913,616,675,1,Anaheim Ducks,4,15
2,3.04,30,102,34,34,5.6,84,2.58,-1.38,12,1956,Mike Smith,.500,17,7,.910,854,938,5,Phoenix Coyotes,5,15
3,3.14,33,87,15,10,3.1,32,2.64,4.82,6,726,Jason LaBarbera,.500,5,0,.923,386,418,0,Phoenix Coyotes,2,4
4,1.46,26,,4,4,1.2,5,1.22,,0,247,Chad Johnson,.750,3,0,.954,103,108,1,Phoenix Coyotes,2,2
5,2.34,25,81,36,34,8.0,70,2.00,16.32,10,2104,Tuukka Rask,.735,25,4,.929,910,980,5,Boston Bruins,5,19
6,2.76,26,91,14,14,2.8,31,2.32,3.17,4,803,Anton Khudobin,.571,8,3,.920,357,388,1,Boston Bruins,1,9
7,3.34,32,97,40,39,8.3,108,2.81,3.86,17,2302,Ryan Miller,.538,21,4,.915,1162,1270,0,Buffalo Sabres,5,17
8,3.08,24,92,12,9,2.3,27,2.60,2.24,4,623,Jhonas Enroth,.778,7,1,.919,305,332,1,Buffalo Sabres,1,4
9,3.40,32,111,21,17,2.8,55,2.87,-5.50,9,1148,Joey MacDonald,.412,7,3,.902,507,562,0,Calgary Flames,1,8
10,4.11,36,134,24,24,1.6,77,3.44,-19.75,14,1344,Miikka Kiprusoff,.417,10,9,.882,573,650,0,Calgary Flames,2,8
11,4.00,24,,6,5,0.3,15,3.33,,1,270,Leland Irving,.200,1,2,.883,113,128,0,Calgary Flames,1,2
12,3.50,26,,2,2,0.4,6,3.00,,1,120,Daniel Taylor,.500,1,0,.912,62,68,0,Calgary Flames,0,1
13,3.36,28,105,17,16,2.7,44,2.84,-1.99,6,929,Cam Ward,.500,8,3,.908,433,477,0,Carolina Hurricanes,1,9
14,3.73,32,106,19,16,3.0,52,3.13,-3.12,8,997,Dan Ellis,.500,8,4,.906,503,555,1,Carolina Hurricanes,2,6
15,4.09,26,123,19,16,1.9,55,3.46,-10.43,11,954,Justin Peters,.375,6,3,.891,451,506,1,Carolina Hurricanes,1,4
16,2.28,28,84,30,28,6.0,57,1.94,10.73,5,1761,Corey Crawford,.679,19,1,.926,712,769,3,Chicago Blackhawks,5,19
17,2.26,30,89,21,19,3.4,36,1.94,4.52,1,1116,Ray Emery,.632,12,1,.922,424,460,3,Chicago Blackhawks,0,17
18,4.09,27,,1,1,0.1,3,3.06,,1,59,Carter Hutton,.000,0,0,.893,25,28,0,Chicago Blackhawks,0,0
19,3.57,24,110,35,33,5.1,98,3.02,-9.31,21,1950,Semyon Varlamov,.364,12,7,.903,909,1007,3,Colorado Avalanche,3,11
20,3.37,35,104,18,14,2.7,43,2.84,-1.69,4,908,Jean-Sebastien Giguere,.286,4,1,.908,426,469,0,Colorado Avalanche,4,5
21,2.43,20,,1,1,0.2,2,2.43,,0,49,Sami Aittokallio,1.000,1,0,.920,23,25,0,Colorado Avalanche,0,0
22,2.35,24,78,38,37,9.2,74,2.00,21.48,11,2219,Sergei Bobrovsky,.703,26,4,.932,1010,1084,4,Columbus Blue Jackets,6,21
23,3.45,24,115,13,11,1.6,35,2.95,-4.53,6,712,Steve Mason,.273,3,1,.899,311,346,0,Columbus Blue Jackets,1,3
24,3.14,29,95,36,35,7.0,88,2.66,4.48,14,1986,Kari Lehtonen,.600,21,5,.916,962,1050,1,Dallas Stars,3,15
25,3.84,25,130,13,8,0.9,33,3.25,-7.63,5,609,Richard Bachman,.500,4,3,.885,255,288,0,Dallas Stars,0,6
26,3.71,28,,5,5,0.6,15,3.09,,3,291,Cristopher Nilstorp,.400,2,2,.897,131,146,0,Dallas Stars,1,1
27,2.50,28,87,42,42,8.4,87,2.13,12.44,13,2446,Jimmy Howard,.619,26,7,.923,1042,1129,5,Detroit Red Wings,7,21
28,3.44,28,,7,4,0.3,17,2.92,,2,349,Jonas Gustavsson,.500,2,1,.879,123,140,0,Detroit Red Wings,1,2
29,2.52,20,,2,2,0.4,4,2.01,,1,119,Petr Mrazek,.500,1,0,.922,47,51,0,Detroit Red Wings,0,1
30,3.06,26,90,38,37,8.1,90,2.57,9.70,16,2101,Devan Dubnyk,.541,20,5,.920,1042,1132,2,Edmonton Oilers,6,14
31,2.98,40,88,12,11,2.8,29,2.55,4.12,6,684,Nikolai Khabibulin,.545,6,1,.923,347,376,1,Edmonton Oilers,1,4
32,4.35,31,,3,0,0.1,7,3.81,,0,110,Yann Danis,,0,0,.881,52,59,0,Edmonton Oilers,0,1
33,3.84,23,113,23,23,3.3,68,3.22,-7.67,14,1266,Jacob Markstrom,.391,9,6,.901,617,685,0,Florida Panthers,1,8
34,3.91,36,122,15,14,1.5,42,3.29,-7.56,6,766,Jose Theodore,.357,5,5,.893,349,391,0,Florida Panthers,3,4
35,4.36,35,143,19,11,0.7,53,3.67,-15.92,7,866,Scott Clemmensen,.273,3,4,.874,368,421,0,Florida Panthers,2,3
36,2.90,27,111,37,36,4.4,87,2.45,-8.70,13,2134,Jonathan Quick,.556,20,9,.902,802,889,1,Los Angeles Kings,4,18
37,2.19,24,89,14,12,2.2,24,1.87,2.95,3,768,Jonathan Bernier,.667,8,1,.922,282,306,1,Los Angeles Kings,1,9
38,2.94,34,104,42,41,6.2,98,2.48,-3.58,15,2368,Niklas Backstrom,.439,18,8,.909,974,1072,2,Minnesota Wild,3,24
39,3.89,28,,5,3,0.0,10,3.24,,1,185,Josh Harding,.333,1,2,.863,63,73,1,Minnesota Wild,0,1
40,2.50,22,,6,3,0.8,10,2.08,,2,288,Darcy Kuemper,.667,2,0,.916,109,119,0,Minnesota Wild,0,1
41,6.08,22,,1,1,0.0,5,5.07,,1,59,Matt Hackett,.000,0,1,.848,28,33,0,Minnesota Wild,0,0
42,3.07,25,108,39,38,5.4,97,2.59,-7.34,13,2249,Carey Price,.553,21,8,.905,921,1018,3,Montreal Canadiens,4,21
43,2.74,30,104,13,10,1.6,25,2.28,-0.95,1,656,Peter Budaj,.600,6,2,.908,248,273,1,Montreal Canadiens,1,8
44,2.87,30,102,43,42,6.5,99,2.43,-2.03,16,2444,Pekka Rinne,.524,22,10,.910,1002,1101,5,Nashville Predators,8,15
45,4.37,36,144,11,6,0.4,29,3.73,-8.83,7,467,Chris Mason,.500,3,2,.873,200,229,0,Nashville Predators,1,1
46,2.63,40,113,29,29,3.1,65,2.22,-7.40,9,1757,Martin Brodeur,.517,15,6,.901,589,654,2,New Jersey Devils,7,13
47,3.25,39,133,19,19,1.2,51,2.76,-12.69,10,1108,Johan Hedberg,.474,9,6,.883,384,435,1,New Jersey Devils,3,6
48,0.00,25,,1,0,0.1,0,0.00,,0,19,Jeff Frazee,,0,0,1.000,3,3,0,New Jersey Devils,0,0
49,2.33,23,,1,0,0.1,1,2.33,,0,26,Keith Kinkaid,,0,0,.923,12,13,0,New Jersey Devils,0,0
50,2.96,37,103,41,41,6.7,103,2.50,-2.68,11,2475,Evgeni Nabokov,.488,20,5,.910,1036,1139,3,New York Islanders,7,23
51,3.49,22,,5,4,0.5,13,3.03,,3,258,Kevin Poulin,.500,2,1,.893,109,122,0,New York Islanders,0,1
52,4.78,31,,3,3,-0.1,12,4.10,,3,176,Rick DiPietro,.000,0,1,.855,71,83,0,New York Islanders,0,0
53,2.42,30,84,43,43,9.3,88,2.05,16.81,16,2575,Henrik Lundqvist,.674,29,1,.926,1102,1190,2,New York Rangers,3,24
54,2.68,35,,6,5,1.0,13,2.32,,2,336,Martin Biron,.400,2,1,.917,143,156,0,New York Rangers,1,2
55,1.99,31,67,24,24,6.5,40,1.69,19.63,9,1421,Craig Anderson,.708,17,1,.941,637,677,3,Ottawa Senators,2,12
56,2.93,26,88,13,12,3.0,31,2.45,4.14,5,758,Ben Bishop,.667,8,3,.922,368,399,1,Ottawa Senators,0,8
57,2.61,21,72,12,12,3.8,27,2.20,10.34,3,735,Robin Lehner,.833,10,0,.936,397,424,0,Ottawa Senators,4,5
58,3.32,32,114,40,40,5.0,107,2.79,-13.11,17,2298,Ilya Bryzgalov,.500,20,10,.900,959,1066,1,Philadelphia Flyers,3,19
59,2.22,24,63,7,6,2.2,12,1.90,6.94,2,378,Steve Mason,.667,4,0,.944,203,215,0,Philadelphia Flyers,0,4
60,6.09,31,,1,1,-0.2,5,5.07,,1,59,Michael Leighton,.000,0,1,.808,21,26,0,Philadelphia Flyers,0,0
61,2.92,36,,4,1,0.2,6,2.50,,2,144,Brian Boucher,.000,0,0,.891,49,55,0,Philadelphia Flyers,0,0
62,2.81,28,95,33,31,5.9,74,2.39,3.60,8,1858,Marc-Andre Fleury,.484,15,5,.916,807,881,1,Pittsburgh Penguins,0,23
63,2.92,36,92,20,17,3.6,42,2.45,3.71,4,1029,Tomas Vokoun,.529,9,5,.919,477,519,3,Pittsburgh Penguins,0,13
64,2.56,29,87,43,43,9.2,93,2.16,14.45,12,2581,Antti Niemi,.674,29,3,.924,1127,1220,4,San Jose Sharks,6,24
65,2.92,27,,6,5,1.0,13,2.53,,4,308,Thomas Greiss,.600,3,1,.915,140,153,1,San Jose Sharks,0,1
66,2.87,25,,2,0,0.0,2,2.87,,0,42,Alex Stalock,,0,0,.846,11,13,0,San Jose Sharks,1,0
