,average_age,chances_pp,games,goals,goals_pp,goals_sh,losses,losses_ot,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team,total_goals_per_game,wins
0,28.7,214,82,231,38,10,25,13,274,209,46,4,101.4,83.21,101,0.616,17.76,0.9259999999999999,9.3,2475,2706,0.01,0.24,Anaheim Ducks,5.5,44
1,26.5,243,82,206,41,2,41,12,224,251,46,10,99.2,79.46,70,0.42700000000000005,16.87,0.9109999999999999,8.4,2450,2625,0.05,-0.53,Arizona Coyotes,5.66,29
2,28.6,258,82,267,61,9,20,12,245,211,40,10,101.0,83.67,112,0.6829999999999999,23.64,0.9159999999999999,9.9,2703,2389,-0.07,0.62,Boston Bruins,5.9,50
3,27.1,257,82,198,49,9,45,12,235,278,52,10,97.9,77.87,62,0.37799999999999995,19.07,0.904,7.7,2557,2659,0.01,-0.98,Buffalo Sabres,5.84,25
4,28.4,269,82,216,43,7,35,10,269,243,49,7,98.6,81.78,84,0.512,15.99,0.909,7.8,2759,2542,0.03,-0.33,Calgary Flames,5.68,37
5,27.0,239,82,225,44,3,35,11,191,253,43,6,98.0,77.49,83,0.506,18.41,0.897,8.1,2780,2358,-0.01,-0.35,Carolina Hurricanes,5.9,36
6,28.0,269,82,228,43,5,39,10,236,254,49,7,99.1,79.24,76,0.46299999999999997,15.99,0.9109999999999999,8.2,2793,2683,0.07,-0.26,Chicago Blackhawks,5.91,33
7,26.4,296,82,255,65,7,30,9,269,236,45,13,101.6,83.27,95,0.579,21.96,0.917,10.5,2432,2720,0.04,0.28,Colorado Avalanche,6.02,43
8,26.4,227,82,236,39,4,30,7,214,226,51,7,99.9,76.17,97,0.591,17.18,0.9159999999999999,8.5,2761,2557,-0.04,0.11,Columbus Blue Jackets,5.76,45
9,28.5,244,82,231,47,7,32,8,281,222,54,10,100.0,80.78,92,0.561,19.26,0.915,9.0,2560,2433,0.04,0.17,Dallas Stars,5.61,42
10,30.2,234,82,212,41,9,39,13,259,254,58,5,99.1,77.61,73,0.445,17.52,0.9059999999999999,8.5,2490,2603,-0.01,-0.48,Detroit Red Wings,5.76,30
11,26.8,210,82,229,31,11,40,6,245,262,57,5,98.8,76.73,78,0.47600000000000003,14.76,0.904,8.4,2740,2623,0.03,-0.32,Edmonton Oilers,6.06,36
12,27.8,249,82,245,47,10,30,8,227,243,45,5,100.1,80.18,96,0.585,18.88,0.919,8.7,2822,2826,-0.04,-0.01,Florida Panthers,6.02,44
13,29.1,240,82,237,49,5,29,8,260,202,39,4,101.3,85.0,98,0.598,20.42,0.924,9.3,2544,2528,0.0,0.44,Los Angeles Kings,5.39,45
14,29.5,240,82,250,49,7,26,11,272,229,51,6,101.1,81.25,101,0.616,20.42,0.915,10.1,2476,2556,0.04,0.29,Minnesota Wild,5.91,45
15,27.8,244,82,207,52,7,40,13,263,258,68,6,98.4,74.14,71,0.433,21.31,0.907,7.7,2687,2638,0.0,-0.68,Montreal Canadiens,5.77,29
16,28.4,274,82,261,58,10,18,11,299,204,54,5,101.9,81.94,117,0.713,21.17,0.9259999999999999,9.9,2641,2650,0.03,0.71,Nashville Predators,5.83,53
17,27.7,252,82,243,54,12,29,9,258,240,47,6,100.1,81.78,97,0.591,21.43,0.91,9.3,2599,2610,-0.03,0.02,New Jersey Devils,6.0,44
18,28.4,250,82,261,58,5,37,10,235,293,63,11,100.2,73.19,80,0.488,23.2,0.903,10.1,2572,2907,-0.01,-0.4,New York Islanders,6.83,35
19,28.7,241,82,228,51,5,39,9,247,263,46,5,100.0,81.38,77,0.47,21.16,0.914,9.0,2538,2883,-0.01,-0.46,New York Rangers,6.09,34
20,29.3,248,82,219,41,4,43,11,235,284,56,6,98.6,76.17,67,0.409,16.53,0.899,8.7,2515,2700,0.0,-0.85,Ottawa Senators,6.24,28
21,27.4,261,82,249,54,3,26,14,223,236,54,10,100.0,75.78,98,0.598,20.69,0.907,9.5,2631,2440,-0.03,0.07,Philadelphia Flyers,6.02,42
22,27.7,260,82,270,68,6,29,6,265,248,53,3,99.9,80.0,100,0.61,26.15,0.9059999999999999,9.6,2823,2545,-0.04,0.23,Pittsburgh Penguins,6.37,47
23,28.8,257,82,247,53,8,27,10,224,226,34,3,100.1,84.82,100,0.61,20.62,0.914,9.1,2702,2474,0.0,0.28,San Jose Sharks,5.87,45
24,28.5,246,82,223,38,5,32,6,231,222,47,9,99.5,79.65,94,0.573,15.45,0.914,8.3,2677,2424,0.05,0.1,St. Louis Blues,5.46,44
25,27.5,276,82,290,66,9,23,5,267,234,64,3,101.9,76.03,113,0.6890000000000001,23.91,0.915,10.8,2680,2676,-0.07,0.66,Tampa Bay Lightning,6.49,54
26,28.3,224,82,270,56,4,26,7,231,230,43,5,101.7,81.39,105,0.64,25.0,0.92,10.2,2640,2767,-0.06,0.49,Toronto Maple Leafs,6.21,49
27,28.2,247,82,218,53,7,40,11,276,259,60,10,99.4,78.26,73,0.445,21.46,0.9079999999999999,8.8,2464,2625,0.05,-0.51,Vancouver Canucks,5.88,31
28,28.0,248,82,268,53,8,24,7,237,225,44,5,100.9,81.43,109,0.665,21.37,0.9129999999999999,10.0,2686,2515,-0.01,0.52,Vegas Golden Knights,6.1,51
29,28.4,244,82,256,55,4,26,7,269,238,53,8,101.5,80.3,105,0.64,22.54,0.9129999999999999,10.8,2379,2601,-0.04,0.21,Washington Capitals,6.07,49
30,26.8,274,82,273,64,9,20,10,274,216,50,7,101.8,81.75,114,0.695,23.36,0.919,10.3,2643,2609,0.02,0.74,Winnipeg Jets,6.04,52
