,average_age,chances_pp,games,goals,goals_against_ev,goals_ev,goals_pp,goals_sh,losses,losses_ot,losses_shootout,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,pen_min_per_game,pen_min_per_game_opp,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team_name,total_goals_per_game,wins,wins_shootout
0,32.1,391,82,257,115,166,81,5,21,7,5,357,184,57,7,100.0,84.03,11.4,12.7,115,0.701,20.72,0.907,8.9,2820,1930,0.04,0.93,Detroit Red Wings*,5.38,54,5
1,27.7,374,82,222,134,139,70,7,23,10,6,310,193,44,9,99.1,85.81,13.1,15.7,108,0.659,18.72,0.9059999999999999,8.9,2428,1981,0.12,0.47,San Jose Sharks*,5.06,49,6
2,27.6,374,82,262,151,159,90,8,25,10,6,342,222,60,3,101.3,82.46,13.3,14.1,104,0.634,24.06,0.917,10.8,2382,2589,-0.14,0.35,Montreal Canadiens*,5.9,47,5
3,26.9,378,82,247,134,157,77,6,27,8,4,357,216,68,10,101.9,80.95,14.4,15.1,102,0.622,20.37,0.9159999999999999,10.6,2268,2523,-0.14,0.24,Pittsburgh Penguins*,5.65,47,7
4,29.7,361,82,205,108,129,60,8,27,8,7,408,191,69,7,100.8,83.09,18.1,16.9,102,0.622,16.62,0.92,8.8,2241,2299,0.13,0.3,Anaheim Ducks*,4.83,47,8
5,29.2,320,82,206,133,142,50,6,29,7,4,314,197,54,7,99.7,82.8,11.9,12.0,99,0.604,15.63,0.914,8.4,2362,2257,-0.11,0.0,New Jersey Devils*,4.91,46,8
6,27.7,338,82,223,151,153,64,3,28,10,8,330,218,49,10,100.7,85.15,13.4,14.1,98,0.598,18.93,0.915,9.9,2218,2469,0.1,0.16,Minnesota Wild*,5.38,44,3
7,27.4,370,82,213,130,140,61,4,27,13,9,343,199,53,6,99.8,84.55,14.1,14.3,97,0.591,16.49,0.9109999999999999,7.9,2579,2124,-0.12,0.05,New York Rangers*,5.02,42,8
8,29.0,354,82,242,145,160,64,13,30,7,3,354,207,51,8,100.3,85.59,14.3,14.6,97,0.591,18.08,0.905,10.8,2187,2137,0.11,0.54,Dallas Stars*,5.48,45,5
9,28.1,385,82,248,156,148,84,13,29,11,6,388,233,65,6,100.4,83.25,17.9,17.3,95,0.579,21.82,0.9129999999999999,10.4,2358,2609,-0.12,0.06,Philadelphia Flyers*,5.87,42,3
10,28.5,335,82,231,155,173,49,2,31,7,3,301,219,56,5,100.7,81.4,12.1,12.9,95,0.579,14.63,0.903,9.5,2349,2237,0.09,0.24,Colorado Avalanche*,5.49,44,7
11,28.5,328,82,261,164,180,60,18,31,8,5,380,247,72,6,100.5,81.05,14.3,13.3,94,0.573,18.29,0.9009999999999999,10.4,2471,2456,-0.11,0.06,Ottawa Senators*,6.2,43,3
12,28.1,319,82,212,138,141,56,9,29,12,7,332,222,71,6,100.4,78.61,13.0,12.9,94,0.573,17.55,0.914,8.8,2339,2495,-0.08,-0.2,Boston Bruins*,5.29,41,6
13,29.5,352,82,229,144,158,59,9,30,10,3,389,227,72,8,100.6,81.49,16.4,15.3,94,0.573,16.76,0.904,9.8,2316,2335,0.1,0.13,Calgary Flames*,5.56,42,3
14,27.3,346,82,242,151,168,65,5,31,8,4,349,231,68,8,99.3,80.52,11.9,11.9,94,0.573,18.79,0.9,9.4,2538,2259,-0.19,-0.06,Washington Capitals*,5.77,43,4
15,29.3,420,82,252,158,167,79,4,33,6,3,355,249,75,13,99.7,78.87,14.4,16.6,92,0.561,18.81,0.8959999999999999,9.4,2669,2368,-0.18,-0.15,Carolina Hurricanes,6.11,43,2
16,28.1,358,82,230,165,167,53,7,32,9,5,335,229,49,10,100.2,85.37,12.5,13.4,91,0.555,14.8,0.9079999999999999,9.4,2425,2440,0.12,0.13,Nashville Predators*,5.6,41,3
17,26.8,366,82,255,168,176,66,9,31,12,9,333,242,56,8,100.3,83.18,12.2,13.5,90,0.5489999999999999,18.03,0.9,10.1,2478,2326,-0.11,0.05,Buffalo Sabres,6.06,39,4
18,28.1,369,82,213,135,136,63,8,33,10,9,368,215,64,7,100.4,82.61,18.0,18.6,88,0.537,17.07,0.9129999999999999,9.2,2252,2367,0.11,0.08,Vancouver Canucks,5.22,39,6
19,26.8,365,82,239,156,159,58,17,34,8,4,385,235,69,6,100.6,82.08,16.9,16.1,88,0.537,15.89,0.902,10.2,2298,2346,0.12,0.16,Chicago Blackhawks,5.78,40,5
20,27.1,344,82,235,181,156,57,7,35,6,4,366,251,56,10,99.9,84.7,14.3,13.8,88,0.537,16.57,0.904,10.2,2156,2573,0.12,-0.07,Edmonton Oilers,5.93,41,15
21,28.1,313,82,216,151,147,60,4,35,9,6,374,226,66,3,100.3,82.35,12.5,11.8,85,0.518,19.17,0.92,8.3,2549,2752,-0.17,-0.29,Florida Panthers,5.39,38,5
22,26.5,339,82,214,149,135,63,11,37,7,6,332,231,64,12,99.5,80.72,14.5,13.6,83,0.506,18.58,0.9109999999999999,8.4,2500,2518,0.17,-0.04,Phoenix Coyotes,5.43,38,5
23,28.4,343,82,231,169,163,61,4,35,11,4,352,260,77,10,98.9,78.13,13.3,12.4,83,0.506,17.78,0.893,9.0,2542,2402,-0.06,-0.42,Toronto Maple Leafs,5.99,36,3
24,27.2,356,82,193,142,129,53,8,36,12,8,378,218,63,5,98.7,83.33,16.2,15.2,80,0.488,14.89,0.907,8.0,2381,2249,0.15,-0.16,Columbus Blue Jackets,5.01,34,3
25,28.4,334,82,205,163,152,47,3,36,13,5,359,237,56,13,99.9,84.4,14.1,13.6,79,0.48200000000000004,14.07,0.897,9.4,2141,2249,0.16,-0.24,St. Louis Blues,5.39,33,3
26,28.3,330,82,194,157,131,48,10,38,9,3,375,243,68,15,99.1,81.87,12.7,11.7,79,0.48200000000000004,14.55,0.904,7.8,2431,2488,-0.05,-0.65,New York Islanders,5.33,35,5
27,29.3,316,82,216,181,142,52,13,40,8,6,354,272,75,10,100.0,78.81,13.1,11.4,76,0.46299999999999997,16.46,0.904,9.8,2115,2782,-0.12,-0.8,Atlanta Thrashers,5.95,34,9
28,27.7,367,82,231,191,151,64,11,43,7,3,309,266,68,4,99.5,77.99,11.6,12.7,71,0.433,17.44,0.9,9.6,2349,2625,0.19,-0.24,Los Angeles Kings,6.06,32,5
29,27.9,296,82,223,203,157,57,7,42,9,1,312,267,56,7,98.0,82.05,12.7,11.0,71,0.433,19.26,0.885,9.4,2354,2311,-0.13,-0.67,Tampa Bay Lightning,5.98,31,2
